"","noun"
"1","고송"
"2","이교"
"3","도"
"4","동네사람들"
"5","그"
"6","이교도"
"7","성"
"8","이"
"9","점"
"10","이름"
"11","불확실"
"12","양명학"
"13","현학수"
"14","고상학"
"15","이름"
"16","헛웃음을"
"17","적"
"18","성"
"19","라는"
"20","이름"
"21","생각"
"22","동네사람들"
"23","누구"
"24","그"
"25","이름"
"26","언급"
"27","비난"
"28","의심"
"29","말"
"30","이교도"
"31","이기적"
"32","사람"
"33","어딨어"
"34","이교도"
"35","인사불성"
"36","사람"
"37","이교도"
"38","여자"
"39","친구"
"40","한명"
"41","꼬락서니"
"42","쯧쯧이교도는"
"43","뚜렷하게"
"44","일"
"45","하네이교도"
"46","짓"
"47","어딘가"
"48","이교도"
"49","동네"
"50","사람들"
"51","입"
"52","인물"
"53","그"
"54","언제"
"55","어디"
"56","부정적"
"57","인물"
"58","사람들"
"59","입"
"60","오르내렸으니만치"
"61","그"
"62","사람"
"63","란"
"64","이름"
"65","것"
"66","당연"
"67","나"
"68","비의적"
"69","뉘앙스"
"70","이교도"
"71","이름"
"72","작자"
"73","것"
"74","재작년"
"75","나"
"76","근무"
"77","중소기업"
"78","대대적"
"79","인원"
"80","감축"
"81","단행"
"82","여파"
"83","나"
"84","홍보부"
"85","홍보부"
"86","이름"
"87","부서"
"88","겸함"
"89","몇"
"90","명"
"91","부서"
"92","이전"
"93","나머지"
"94","전원"
"95","퇴직"
"96","나"
"97","홍보부"
"98","감원"
"99","대상"
"100","대"
"101","직함"
"102","끝"
"103","회사"
"104","나"
"105","집"
"106","전세"
"107","보증금"
"108","방값"
"109","비교적"
"110","동네"
"111","이사"
"112","나"
"113","둥지"
"114","곳"
"115","반"
"116","지하"
"117","월세방"
"118","홀몸"
"119","벌이"
"120","취직공부"
"121","전념"
"122","수"
"123","통장"
"124","퇴직금"
"125","일"
"126","남"
"127","것"
"128","반"
"129","지하"
"130","월세방"
"131","방"
"132","세"
"133","개"
"134","중"
"135","한"
"136","방"
"137","이교도"
"138","진작"
"139","나"
"140","이사"
"141","후"
"142","방"
"143","남자"
"144","대학생"
"145","이교도"
"146","철문"
"147","쪽"
"148","대학생"
"149","쪽"
"150","세면장"
"151","쪽"
"152","나"
"153","이교도"
"154","방"
"155","옆"
"156","대학생"
"157","방"
"158","맞은편"
"159","방"
"160","차"
"161","내"
"162","방"
"163","안방"
"164","월세"
"165","방"
"166","몇"
"167","만원"
"168","예전"
"169","방값"
"170","지출"
"171","대수로운"
"172","것"
"173","전"
"174","원룸"
"175","세"
"176","명"
"177","공동"
"178","사용"
"179","월세방"
"180","이사"
"181","불편한"
"182","점"
"183","염려"
"184","시간"
"185","그것"
"186","기우"
"187","판명"
"188","한"
"189","달여"
"190","수인사"
"191","것"
"192","당연"
"193","어쩌다"
"194","계단"
"195","위"
"196","무덤덤한"
"197","표정"
"198","뿐"
"199","세"
"200","명"
"201","한"
"202","공간"
"203","원룸"
"204","것"
"205","효과"
"206","수"
"207","세면장"
"208","세"
"209","명"
"210","수"
"211","상대방"
"212","이용"
"213","시간대"
"214","배"
"215","일"
"216","전공"
"217","불분명한"
"218","대학생"
"219","남"
"220","자신"
"221","일"
"222","세면장"
"223","그"
"224","나"
"225","방문"
"226","열"
"227","경우"
"228","그쪽"
"229","문"
"230","세면장"
"231","경우"
"232","문"
"233","닫아걸었던"
"234","것"
"235","대학생"
"236","이"
"237","이교도"
"238","거실"
"239","나"
"240","일"
"241","그쪽"
"242","기색"
"243","보이진"
"244","대신"
"245","나"
"246","도"
"247","방"
"248","안"
"249","이교도"
"250","세면장"
"251","문"
"252","쪽"
"253","세면"
"254","소리"
"255","밖"
"256","쪽"
"257","나"
"258","문"
"259","고개"
"260","삼분"
"261","일"
"262","가량"
"263","세면장"
"264","문"
"265","쪽"
"266","수돗물"
"267","소리"
"268","문"
"269","세"
"270","명"
"271","한곳"
"272","완벽하게"
"273","프라이버시"
"274","존중"
"275","생활"
"276","이"
"277","나"
"278","이교도"
"279","궁금증"
"280","이곳"
"281","때"
"282","주인아줌마"
"283","이씨라고"
"284","이교도"
"285","총각"
"286","것"
"287","기억"
"288","시작"
"289","이름"
"290","수"
"291","곳"
"292","나"
"293","아침저녁"
"294","해결"
"295","골목"
"296","앞"
"297","분식점"
"298","아주머니"
"299","이교도"
"300","이름"
"301","물론"
"302","앞"
"303","것"
"304","그"
"305","자리"
"306","그"
"307","것"
"308","나"
"309","분식점"
"310","도착"
"311","때"
"312","그"
"313","음식"
"314","값"
"315","지불"
"316","그"
"317","문"
"318","나"
"319","자리"
"320","아주머니"
"321","아르바이트"
"322","여대생"
"323","이교도"
"324","오늘"
"325","김치찌개"
"326","자리"
"327","맨날"
"328","저쪽"
"329","지정석이구"
"330","오늘"
"331","이쑤시개"
"332","둘"
"333","숙덕"
"334","소리"
"335","내"
"336","귀"
"337","인사"
"338","시늉"
"339","전"
"340","인사"
"341","받아주던데요"
"342","하회탈"
"343","표정"
"344","웃음"
"345","이교도"
"346","여대생"
"347","아줌마"
"348","한번"
"349","점심시간"
"350","분식점"
"351","이교도"
"352","그때"
"353","나"
"354","쪽"
"355","구석"
"356","옹색하게"
"357","자리"
"358","볶음밥"
"359","대개"
"360","식당"
"361","점심"
"362","시간대"
"363","식당"
"364","자리"
"365","정도"
"366","마련"
"367","때문"
"368","식당"
"369","측에서는"
"370","손님"
"371","일일"
"372","자리"
"373","지정"
"374","한명"
"375","손님"
"376","경우"
"377","구석"
"378","식탁"
"379","지정"
"380","손님"
"381","확보"
"382","분식점"
"383","마찬가지"
"384","점심시간"
"385","분식점"
"386","아줌마"
"387","문"
"388","이교도보고"
"389","티브이"
"390","앞"
"391","일인용"
"392","식탁"
"393","지정해"
"394","나"
"395","그것"
"396","가"
"397","에"
"398","말투"
"399","이교도"
"400","척도"
"401","티브이가"
"402","대각선"
"403","방향"
"404","주방"
"405","쪽"
"406","인용"
"407","식탁"
"408","턱"
"409","자리"
"410","시선"
"411","티브이에"
"412","고정"
"413","채"
"414","나지막하게"
"415","김치찌개"
"416","손님들이"
"417","주택"
"418","평상복"
"419","입"
"420","사무직"
"421","쪽"
"422","여자들이"
"423","대부분"
"424","여사원"
"425","서너"
"426","명"
"427","한두"
"428","명"
"429","남자"
"430","간부"
"431","끼어들어오곤"
"432","손님들"
"433","식탁"
"434","마주"
"435","삼천오백원"
"436","사천"
"437","원"
"438","식사"
"439","이교도"
"440","그들"
"441","틈바구니"
"442","눈"
"443","수"
"444","저"
"445","명분"
"446","식탁"
"447","독차"
"448","황제"
"449","느긋하게"
"450","식사"
"451","분식점"
"452","아줌마"
"453","분통"
"454","일"
"455","식당"
"456","자리"
"457","차"
"458","나"
"459","계산"
"460","아줌마"
"461","말"
"462","주워들을"
"463","수"
"464","이기적"
"465","사람"
"466","이교도"
"467","그때"
"468","처음"
"469","나"
"470","이교도"
"471","인간"
"472","한"
"473","면모"
"474","이기적"
"475","것"
"476","수"
"477","분식점"
"478","아줌마"
"479","선언"
"480","말"
"481","이후"
"482","나"
"483","그"
"484","관련"
"485","증거"
"486","확보"
"487","수"
"488","기억"
"489","증거"
"490","이전"
"491","나"
"492","것"
"493","그때"
"494","그것들이"
"495","자체"
"496","것"
"497","뿐"
"498","분식점"
"499","아줌마"
"500","선언적"
"501","말"
"502","이후"
"503","그것들은"
"504","하나"
"505","완결"
"506","의미"
"507","시작"
"508","가령"
"509","세면대"
"510","너저분하게"
"511","비누거품"
"512","머리카락"
"513","샤워"
"514","후"
"515","타일"
"516","바닥"
"517","나무문"
"518","물"
"519","범벅이"
"520","냉장고"
"521","식수통"
"522","입"
"523","채"
"524","물"
"525","신발"
"526","두"
"527","켤레"
"528","현관"
"529","입구"
"530","공간"
"531","새벽"
"532","라디오"
"533","내"
"534","달콤함"
"535","잠"
"536","것들이"
"537","하나"
"538","의미"
"539","집약"
"540","이교도"
"541","이기적"
"542","결정적"
"543","주인아줌마"
"544","말"
"545","증거"
"546","힘"
"547","날"
"548","주인아줌마"
"549","이교도"
"550","흔적"
"551","하나하나"
"552","예"
"553","이교도"
"554","총각"
"555","이기적"
"556","사람"
"557","생각"
"558","자기"
"559","것"
"560","말"
"561","이교도"
"562","외출"
"563","중"
"564","나"
"565","방안"
"566","이불"
"567","속"
"568","옴찔거릴"
"569","때"
"570","아줌마"
"571","거실"
"572","냉장고"
"573","세면장"
"574","청소"
"575","말해"
"576","이곳"
"577","월세"
"578","방"
"579","때문"
"580","세"
"581","사람"
"582","자기"
"583","방"
"584","청소"
"585","끝"
"586","세"
"587","사람"
"588","다달"
"589","세탁비"
"590","몇"
"591","만원"
"592","방값"
"593","지불하기"
"594","때문"
"595","아줌마"
"596","삼사일"
"597","한"
"598","번"
"599","세탁한"
"600","옷"
"601","바가지"
"602","방문"
"603","앞"
"604","이"
"605","세"
"606","사람"
"607","청소"
"608","아줌마"
"609","것"
"610","인식"
"611","며칠"
"612","전"
"613","세면대"
"614","때"
"615","주인아줌마"
"616","동네"
"617","종합"
"618","수리점"
"619","주인"
"620","수리"
"621","이교도"
"622","푸념"
"623","비난"
"624","이기적"
"625","여자"
"626","하나"
"627","총각"
"628","인사성"
"629","온순해서"
"630","여자"
"631","이교도"
"632","총각"
"633","웃어른"
"634","인사"
"635","안"
"636","세면장"
"637","청소"
"638","한번"
"639","총각"
"640","그렇잖우"
"641","총각"
"642","사람"
"643","세"
"644","나"
"645","좋구"
"646","말"
"647","이교도"
"648","인간"
"649","월세"
"650","안줬어봐라"
"651","나"
"652","사람"
"653","상대"
"654","총각"
"655","아줌마"
"656","말"
"657","번뜩"
"658","의문"
"659","하나"
"660","아주머니"
"661","이교도"
"662","사람"
"663","이름"
"664","본래"
"665","이름"
"666","이교도"
"667","이교도"
"668","본명"
"669","세탁"
"670","옷"
"671","바구니"
"672","아줌마"
"673","고개"
"674","자기"
"675","이름"
"676","이씨라고"
"677","이씨"
"678","이씨"
"679","앞"
"680","분식점"
"681","이교도"
"682","나"
"683","이교도"
"684","거긴"
"685","이교도"
"686","단골집"
"687","말"
"688","나"
"689","단골집"
"690","그"
"691","본명"
"692","생각"
"693","아줌마"
"694","대"
"695","그"
"696","본명"
"697","이교도"
"698","일"
"699","하숙집"
"700","명"
"701","사이"
"702","집"
"703","배달"
"704","각종"
"705","우편물"
"706","상대방"
"707","이름"
"708","수"
"709","이상하게"
"710","몇"
"711","달"
"712","나"
"713","그"
"714","배달"
"715","우편물"
"716","그"
"717","이름"
"718","수"
"719","보험료"
"720","납부고지"
"721","휴대폰"
"722","사용내역"
"723","것"
"724","수"
"725","나"
"726","세"
"727","방"
"728","호"
"729","우편함"
"730","수취인"
"731","이름"
"732","라고"
"733","우편물"
"734","보긴"
"735","남자"
"736","대학생"
"737","성"
"738","최이니까"
"739","우편물"
"740","주인"
"741","이교도"
"742","그때"
"743","우편함"
"744","그"
"745","배달"
"746","우편물"
"747","수"
"748","그"
"749","우편물"
"750","배달"
"751","수거"
"752","것"
"753","애초"
"754","우편물"
"755","통"
"756","배달"
"757","것"
"758","이교도"
"759","본명"
"760","의문"
"761","대수로운"
"762","것"
"763","즈음"
"764","내"
"765","생활"
"766","단순"
"767","무료하게"
"768","반복되다보니"
"769","심상치"
"770","내"
"771","마음"
"772","한"
"773","귀퉁이"
"774","아홉시"
"775","전후"
"776","잠자리"
"777","세면"
"778","골목"
"779","앞"
"780","분식점"
"781","아침"
"782","인근"
"783","도서관"
"784","자리"
"785","것"
"786","반복"
"787","일과"
"788","구석"
"789","자리"
"790","토익공부"
"791","시작해"
"792","시사"
"793","상식"
"794","등"
"795","공부"
"796","정도"
"797","준비"
"798","회사"
"799","시험"
"800","걱정"
"801","것"
"802","치열한"
"803","경쟁률"
"804","나이"
"805","문제"
"806","점심시간"
"807","전후해서"
"808","정기"
"809","간행물실"
"810","종류"
"811","신문"
"812","열시"
"813","가까이"
"814","집"
"815","티브이를"
"816","것"
"817","즈음"
"818","내"
"819","일상"
"820","미래"
"821","불안함"
"822","잔잔한"
"823","일상"
"824","이"
"825","나"
"826","이교도"
"827","본명"
"828","의문"
"829","갈증"
"830","강렬하게"
"831","시작"
"832","본명"
"833","뭐"
"834","그것"
"835","것"
"836","벽"
"837","하나"
"838","사이"
"839","두"
"840","한"
"841","달여"
"842","살다보니"
"843","호기심"
"844","집요한"
"845","의혹"
"846","결정적"
"847","나"
"848","그"
"849","이름"
"850","의문"
"851","집착하게"
"852","것"
"853","인근"
"854","지역"
"855","발생한"
"856","연쇄"
"857","살"
"858","사건"
"859","때문"
"860","빗줄기"
"861","유리창"
"862","저녁"
"863","새벽"
"864","귀가"
"865","이십대"
"866","초반"
"867","여성들이"
"868","둔기"
"869","절명한"
"870","사건"
"871","발생한"
"872","것"
"873","사건"
"874","현장"
"875","일"
"876","킬로미터"
"877","반경"
"878","나"
"879","벽돌집"
"880","빌라"
"881","경찰"
"882","피의자"
"883","정신질환"
"884","독신"
"885","남성"
"886","것"
"887","추정"
"888","그"
"889","합동"
"890","수사본부"
"891","인근"
"892","원룸"
"893","지역"
"894","집중적"
"895","탐문"
"896","수사"
"897","벌"
"898","뿐"
"899","으슥한"
"900","골목"
"901","귀퉁이"
"902","형사"
"903","잠복근무"
"904","경찰"
"905","주변"
"906","중국집"
"907","상대"
"908","남자"
"909","곳"
"910","중"
"911","의심"
"912","곳"
"913","음식"
"914","배달한"
"915","적"
"916","지"
"917","탐문"
"918","기지"
"919","발휘하기"
"920","요란하게"
"921","방송"
"922","사건"
"923","뉴스"
"924","벽"
"925","기대"
"926","나"
"927","생각"
"928","나"
"929","머리"
"930","벽"
"931","너머"
"932","미지"
"933","남자"
"934","이교도"
"935","자"
"936","의심"
"937","심각하게"
"938","문제"
"939","고려"
"940","것"
"941","이교도"
"942","의심"
"943","정도"
"944","하루"
"945","분식집"
"946","아침"
"947","주인아줌마"
"948","이교도"
"949","사람"
"950","이름"
"951","김밥"
"952","아줌마"
"953","눈"
"954","한번"
"955","찡긋거리고"
"956","말"
"957","나"
"958","언제"
"959","이교도"
"960","이름"
"961","사람"
"962","이교도"
"963","나"
"964","이교도"
"965","거지"
"966","총각"
"967","주인아줌마"
"968","그때"
"969","아르바이트하는"
"970","여학생"
"971","주방"
"972","앞"
"973","카운터"
"974","사슴"
"975","아줌마"
"976","그거"
"977","아줌마"
"978","것"
"979","줄"
"980","진짜"
"981","이름"
"982","이교도"
"983","김밥"
"984","옆"
"985","김밥"
"986","위"
"987","아줌마"
"988","채"
"989","의자"
"990","나"
"991","언제"
"992","이름"
"993","나"
"994","언제"
"995","나"
"996","누군가"
"997","것"
"998","이교도"
"999","벽돌집"
"1000","아줌마"
"1001","총각"
"1002","이름"
"1003","이교도"
"1004","한"
"1005","것"
"1006","나"
"1007","누군가"
"1008","나"
"1009","것"
"1010","이교도"
"1011","나"
"1012","볶음밥"
"1013","당근"
"1014","한"
"1015","토막"
"1016","포크"
"1017","포크"
"1018","티브이에"
"1019","시선"
"1020","고정"
"1021","연쇄"
"1022","살"
"1023","사건"
"1024","현장"
"1025","경찰"
"1026","피의자"
"1027","정신질환자"
"1028","가능성"
"1029","염두"
"1030","두"
"1031","인근"
"1032","지역"
"1033","정신질환자"
"1034","소재"
"1035","파악"
"1036","것"
"1037","나"
"1038","형사"
"1039","양"
"1040","머릿속"
"1041","살"
"1042","사건"
"1043","이교도"
"1044","연관성"
"1045","추측해"
"1046","자리"
