"","noun"
"1","폐쇄"
"2","로"
"3","창문"
"4","앞"
"5","때"
"6","사람"
"7","눈앞"
"8","것"
"9","주차장"
"10","주차장"
"11","것"
"12","분노"
"13","때문"
"14","걱정"
"15","때문"
"16","불안"
"17","때문"
"18","겁"
"19","채"
"20","주차장"
"21","주차장"
"22","있었다차들은"
"23","목적지"
"24","어디"
"25","브레이크"
"26","지"
"27","못했다미끄러지는"
"28","차"
"29","사람"
"30","위태"
"31","그"
"32","속도"
"33","것"
"34","아침"
"35","여덟"
"36","시"
"37","사람"
"38","창문"
"39","창밖"
"40","자동차"
"41","가득"
"42","시동"
"43","것"
"44","소리"
"45","기화"
"46","가솔린"
"47","엔진"
"48","소리"
"49","차"
"50","빼달라고"
"51","전화벨"
"52","누군가"
"53","차"
"54","행렬"
"55","씨줄"
"56","줄"
"57","아파트"
"58","입구"
"59","동안"
"60","경비"
"61","수신호"
"62","순종"
"63","경차"
"64","참다못해"
"65","차창"
"66","내"
"67","경비"
"68","조심"
"69","푸념"
"70","머리"
"71","모"
"72","경비"
"73","사람"
"74","웃음"
"75","손바닥"
"76","허리"
"77","외제차"
"78","수신호"
"79","사람"
"80","창문"
"81","밖"
"82","손"
"83","내"
"84","액셀을"
"85","시작"
"86","경차"
"87","뒤"
"88","장난감"
"89","자동차"
"90","손가락"
"91","승합차"
"92","피곤한"
"93","듯"
"94","스물스물"
"95","자리"
"96","주차한"
"97","뒤"
"98","짐승"
"99","한동안"
"100","조용"
"101","사람"
"102","인터넷"
"103","서핑"
"104","외국"
"105","신문"
"106","사이트"
"107","연예"
"108","스포츠"
"109","가십"
"110","기사"
"111","출처"
"112","소문들"
"113","열시"
"114","반"
"115","정도"
"116","눈길"
"117","기사"
"118","두세"
"119","개"
"120","번역"
"121","이메일을"
"122","하루"
"123","지루함"
"124","시작"
"125","열한"
"126","시"
"127","인터넷"
"128","신문"
"129","기사"
"130","목록"
"131","인생"
"132","지루함"
"133","시작"
"134","오후"
"135","세"
"136","시"
"137","지릿지릿한"
"138","기사"
"139","목록"
"140","하루"
"141","끝날까가"
"142","시작"
"143","오후"
"144","다섯"
"145","시"
"146","때"
"147","시시한"
"148","이야기들이"
"149","누군가"
"150","엉덩이"
"151","마음"
"152","정도"
"153","수"
"154","오후"
"155","여섯"
"156","시"
"157","사람"
"158","창문"
"159","밖"
"160","아침"
"161","차"
"162","것"
"163","확신"
"164","수"
"165","퇴근"
"166","시간"
"167","몇몇"
"168","자동차"
"169","주차장"
"170","모습"
"171","사람"
"172","사람"
"173","거실"
"174","엉망진창"
"175","일"
"176","드라마"
"177","뉴스"
"178","세상"
"179","이야기"
"180","한동안"
"181","다음"
"182","날"
"183","아침"
"184","기삿거리"
"185","몇"
"186","개"
"187","사람"
"188","이불"
"189","속"
"190","그날"
"191","아침"
"192","주차장"
"193","소리"
"194","내"
"195","반쯤"
"196","눈"
"197","사람"
"198","몸"
"199","이불"
"200","속"
"201","따뜻하게"
"202","물"
"203","한"
"204","잔"
"205","창문"
"206","앞"
"207","때"
"208","사람"
"209","눈앞"
"210","것"
"211","주차장"
"212","주차장"
"213","웅성웅성하는"
"214","소리"
"215","아파트"
"216","이"
"217","것"
"218","분노"
"219","때문"
"220","걱정"
"221","때문"
"222","불안"
"223","때문"
"224","겁"
"225","채"
"226","주차장"
"227","주차장"
"228","경비"
"229","모습"
"230","경비"
"231","시간"
"232","오래전"
"233","사람"
"234","때"
"235","것"
"236","사람"
"237","집"
"238","명절날"
"239","친척들이"
"240","뉴스"
"241","광경"
"242","마루"
"243","가득"
"244","누구"
"245","한"
"246","명"
"247","화장실"
"248","엉망진창"
"249","것"
"250","밀집"
"251","지구"
"252","뉴스"
"253","명절"
"254","도"
"255","상황"
"256","사람"
"257","명절에는"
"258","길"
"259","차"
"260","때문"
"261","누군가"
"262","대답해"
"263","사람"
"264","수"
"265","친척들"
"266","이야깃거리"
"267","사람"
"268","신경"
"269","아무"
"270","수"
"271","소리"
"272","사람"
"273","차"
"274","각자"
"275","자기"
"276","길"
"277","것"
"278","말"
"279","누구"
"280","대답"
"281","년"
"282","그때"
"283","기시감"
"284","속"
"285","사람"
"286","창문"
"287","밖"
"288","풍경"
"289","그때"
"290","자동차들"
"291","어디"
"292","길"
"293","사람"
"294","수"
"295","문"
"296","길"
"297","자동차들이"
"298","사람"
"299","뒤"
"300","차"
"301","차례"
"302","뿐"
"303","오전"
"304","일"
"305","환기"
"306","창문"
"307","때"
"308","주차장"
"309","차"
"310","주차"
"311","경비"
"312","사이"
"313","멈칫한"
"314","경비"
"315","차"
"316","차"
"317","유리"
"318","손"
"319","차"
"320","안"
"321","뒤"
"322","발걸음"
"323","경비실"
"324","후"
"325","경비"
"326","차"
"327","쪽"
"328","손"
"329","종이"
"330","반"
"331","차"
"332","유리"
"333","손바닥"
"334","외부"
"335","차량"
"336","경고장"
"337","붉은색"
"338","자극적"
"339","검은색"
"340","냉철해"
"341","하얀색"
"342","허무해"
"343","경비"
"344","경비"
"345","앞"
"346","의자"
"347","담배"
"348","광경"
"349","사람"
"350","넉"
"351","달"
"352","전"
"353","책상"
"354","위"
"355","한"
"356","초콜릿"
"357","손"
"358","사람"
"359","일"
"360","집중"
"361","수"
"362","때쯤"
"363","창밖"
"364","큰소리"
"365","사람"
"366","의자"
"367","창밖"
"368","경비"
"369","앞"
"370","경고장"
"371","차"
"372","차"
"373","주인"
"374","경비"
"375","대화"
"376","아파트"
"377","차"
"378","주인"
"379","손가락질"
"380","말"
"381","경비"
"382","조곤조곤하면서도"
"383","목소리"
"384","뚝뚝한"
"385","말투"
"386","손가락"
"387","이야기"
"388","아파트를"
"389","방문하시"
"390","경비실"
"391","방문증"
"392","발부"
"393","아니"
"394","경비실"
"395","아무"
"396","한참"
"397","방문증"
"398","하루"
"399","기다"
"400","말요"
"401","그러면"
"402","메모"
"403","규정"
"404","것"
"405","수"
"406","내가"
"407","내"
"408","어머니"
"409","것"
"410","누구"
"411","보고"
"412","한단"
"413","말요"
"414","천년만년"
"415","주차하는"
"416","것"
"417","그거"
"418","것"
"419","당신"
"420","부모"
"421","없소"
"422","차"
"423","주인"
"424","삿대질"
"425","제가"
"426","사장님"
"427","어머님"
"428","것"
"429","근데"
"430","뭐"
"431","어쩌란"
"432","말"
"433","길"
"434","아파트"
"435","경비"
"436","의자"
"437","채"
"438","따박따박"
"439","말"
"440","이"
"441","경고장"
"442","이거"
"443","뭐요"
"444","이거"
"445","전"
"446","그거"
"447","그거"
"448","물"
"449","뒤"
"450","아니"
"451","사람"
"452","잘못한"
"453","것"
"454","나"
"455","저는"
"456","규정"
"457","뭐"
"458","한"
"459","것"
"460","다음"
"461","테"
"462","아파트"
"463","민원"
"464","민원이라니"
"465","나"
"466","말"
"467","거"
"468","민원"
"469","아파트"
"470","사람"
"471","사람"
"472","사람"
"473","불편하게"
"474","책임"
"475","차"
"476","주인"
"477","반말"
"478","말투"
"479","자꾸"
"480","경찰"
"481","연락"
"482","말"
"483","거"
"484","큰소리"
"485","내"
"486","하"
"487","경찰"
"488","한번"
"489","뭐"
"490","하나"
"491","것"
"492","오란다고"
"493","놈"
"494","놈"
"495","오겠구먼"
"496","경찰"
"497","좋겠소"
"498","운전석"
"499","문"
"500","소리"
"501","나"
"502","차"
"503","연기"
"504","경비"
"505","연기"
"506","곳"
"507","하얀색"
"508","담배"
"509","가래침"
"510","옆"
"511","화분"
"512","퇴근"
"513","시간"
"514","차"
"515","소리"
"516","나"
"517","시작"
"518","사람"
"519","일"
"520","갈무리"
"521","창밖"
"522","소형차"
"523","주차"
"524","공간"
"525","흰색"
"526","박스"
"527","앞"
"528","주차"
"529","곳"
"530","주차할"
"531","공간"
"532","지하"
"533","주차장"
"534","계단"
"535","건물"
"536","채"
"537","소형차"
"538","흰색"
"539","박스"
"540","사람"
"541","창밖"
"542","손"
"543","엄지"
"544","검지"
"545","소형차"
"546","흰색"
"547","박스"
"548","안"
"549","헛손질"
"550","차"
"551","한"
"552","대"
"553","주차할"
"554","수"
"555","그곳"
"556","소형차"
"557","가로세로"
"558","그"
"559","규칙적"
"560","들"
"561","이질적"
"562","모습"
"563","그때"
"564","경비"
"565","순찰"
"566","반대편"
"567","경비실"
"568","커피"
"569","한잔"
"570","익숙"
"571","모습"
"572","어색"
"573","어딘지"
"574","마음"
"575","사람"
"576","주차장"
"577","차"
"578","차"
"579","것"
"580","곳"
"581","주차"
"582","아무"
"583","경적"
"584","불평"
"585","날"
"586","지"
"587","주차장"
"588","소형차"
"589","자리"
"590","후"
"591","아파트"
"592","가로등"
"593","불빛"
"594","검은색"
"595","세단"
"596","주차장"
"597","이상"
"598","자리"
"599","소형차"
"600","자리만"
"601","검은색"
"602","세단"
"603","소형차"
"604","근처"
"605","문"
"606","너머"
"607","누군가"
"608","소형차"
"609","앞"
"610","앞"
"611","유리"
"612","기웃기웃"
"613","손"
"614","차창"
"615","대"
"616","차"
"617","안"
"618","차"
"619","뒤쪽"
"620","한번"
"621","경비"
"622","쪽"
"623","모습"
"624","경비실"
"625","검은색"
"626","세단"
"627","주인"
"628","시동"
"629","검은색"
"630","세단"
"631","주인"
"632","소형차"
"633","한번"
"634","차"
"635","소형차"
"636","옆"
"637","듯"
"638","말"
"639","듯"
"640","거리"
"641","차"
"642","도"
"643","한복판"
"644","것"
"645","차"
"646","사방"
"647","신세"
"648","차"
"649","수"
"650","곳"
"651","주차해주기를"
"652","흰색"
"653","박스"
"654","안"
"655","주차"
"656","공간"
"657","검은색"
"658","세단"
"659","사이드브레이크"
"660","소리"
"661","요란한"
"662","소리"
"663","검은색"
"664","세단"
"665","전조등"
"666","눈"
"667","그"
"668","사람"
"669","초콜릿"
"670","한"
"671","개"
"672","포장"
"673","뒤"
"674","알맹이"
"675","동안"
"676","자리"
"677","포장"
"678","뒤"
"679","쩝쩝거리며"
"680","침대"
"681","위"
"682","이불"
"683","아래"
"684","그날"
"685","사람"
"686","일할"
"687","생각"
"688","해"
"689","후"
"690","느지막이"
"691","폭식"
"692","듯"
"693","냉장고"
"694","찬장"
"695","만한"
"696","것"
"697","위액"
"698","맛"
"699","우유"
"700","눈밑"
"701","색깔"
"702","햄"
"703","머리칼"
"704","부스럭거리는"
"705","식빵"
"706","사과"
"707","검버섯"
"708","그"
"709","사람"
"710","밖"
"711","어디"
"712","수"
"713","엘리베이터"
"714","현관문"
"715","나"
"716","앞"
"717","그곳"
"718","자리"
"719","사람"
"720","차"
"721","차"
"722","차"
"723","사이"
"724","주차"
"725","몇"
"726","주"
"727","자리"
"728","상주"
"729","차"
"730","배기가스"
"731","경계석"
"732","화단"
"733","손상"
"734","후"
"735","주차"
"736","지양해달라는"
"737","벽보"
"738","간절한"
"739","마음"
"740","채"
"741","사람"
"742","후"
"743","주차"
"744","태도"
"745","당당"
"746","사람"
"747","차"
"748","차"
"749","거리"
"750","때"
"751","도로"
"752","질주"
"753","차"
"754","전"
"755","자리"
"756","차"
"757","사람"
"758","누구"
"759","치사"
"760","생각"
"761","것"
"762","사람"
"763","편리함"
"764","선택"
"765","대신"
"766","평범함"
"767","포기"
"768","공평한"
"769","일"
"770","사람"
"771","차"
"772","마트나"
"773","시장"
"774","근처"
"775","화랑"
"776","현관"
"777","신문"
"778","더미"
"779","위"
"780","전"
"781","단지"
"782","전"
"783","사람"
"784","그곳"
"785","것"
"786","자동차"
"787","진동"
"788","장기"
"789","허리"
"790","건강"
"791","배출기관"
"792","보호"
"793","엉치뼈"
"794","안마하듯"
"795","한가한"
"796","시간"
"797","도로"
"798","차"
"799","몇"
"800","대"
"801","정도"
"802","어디"
"803","일"
"804","때문"
"805","도로"
"806","나"
"807","속도"
"808","사람"
"809","줄"
"810","끼어들어"
"811","액셀을"
"812","액셀을"
"813","수"
"814","일정한"
"815","속도"
"816","수"
"817","일"
"818","때문"
"819","사람"
"820","피곤"
"821","규칙"
"822","것"
"823","규칙"
"824","규칙"
"825","사람"
"826","운전"
"827","규칙"
"828","이외"
"829","목적"
"830","의미"
"831","규칙"
"832","것"
"833","화"
"834","주차장"
"835","차"
"836","넉"
"837","대"
"838","정도"
"839","주차할"
"840","수"
"841","공간"
"842","사람"
"843","남"
"844","두"
"845","자리"
"846","가운데"
"847","구석"
"848","자리"
"849","차"
"850","대"
"851","주택가"
"852","화"
"853","앞"
"854","한산하지만"
"855","입구"
"856","호화"
"857","벽"
"858","햇빛"
"859","황금색"
"860","조명"
"861","입구"
"862","장식"
"863","붉은색"
"864","철제"
"865","기둥들이"
"866","모양"
"867","붉은색"
"868","페인트"
"869","칠"
"870","한"
"871","지"
"872","듯"
"873","어색하게"
"874","구조물"
"875","들러붙어"
"876","사람"
"877","접수대"
"878","돈"
"879","내"
"880","표"
"881","전시장"
"882","스무"
"883","점"
"884","남짓한"
"885","사진"
"886","관람객"
"887","혼자"
"888","관람"
"889","전시"
"890","조용"
"891","난잡"
"892","사진"
"893","한"
"894","바퀴"
"895","벽"
"896","중앙"
"897","패널"
"898","순환"
"899","진로"
"900","자"
"901","모양"
"902","무한대"
"903","표지"
"904","모양"
"905","들"
"906","꿀"
"907","때"
"908","춤"
"909","모양"
"910","사진들"
"911","전쟁터"
"912","폐허"
"913","도시"
"914","뒷모습"
"915","그곳"
"916","사람"
"917","고통"
"918","절망"
"919","유약함"
"920","한"
"921","포기"
"922","포기들"
"923","담"
"924","채"
"925","황금색"
"926","조명들"
"927","세"
"928","바퀴"
"929","사람"
"930","사진들"
"931","집중하기"
"932","시작"
"933","가이드"
"934","사람"
"935","전시장"
"936","여자"
"937","키"
"938","큐레이터"
"939","사람"
"940","것"
"941","두"
"942","손"
"943","앞"
"944","사람"
"945","작품을"
"946","해설"
"947","사람"
"948","무신경하게"
"949","대답"
"950","혼자"
"951","미인"
"952","큐레이터"
"953","해설"
"954","독차"
"955","에도"
"956","불구"
"957","앞"
"958","일"
"959","기대감"
"960","모양"
"961","단체"
"962","관람객"
"963","입장"
"964","가이드"
"965","귀"
"966","무선"
"967","이어폰"
"968","목소리"
"969","아"
"970","손님"
"971","죄송합니다만"
"972","관람객들"
"973","이동하시"
"974","전시"
"975","사진들이"
"976","작품들이"
"977","설명"
"978","익숙"
"979","한국어"
"980","중고생"
"981","한"
"982","무리"
"983","사람"
"984","그"
"985","뒤"
"986","가이드"
"987","작가"
"988","이력"
"989","경향"
"990","말"
"991","작품"
"992","이야기"
"993","학생들"
"994","학생"
"995","평소"
"996","사진"
"997","관심"
"998","아니요"
"999","저희"
"1000","방학"
"1001","숙제"
"1002","작품"
"1003","설명"
"1004","학생들"
"1005","가이드"
"1006","기념사진"
"1007","사진"
"1008","전시장"
"1009","사람"
"1010","여섯"
"1011","바퀴"
"1012","사진들"
"1013","때"
"1014","학생들"
"1015","무리"
"1016","한"
"1017","바퀴"
"1018","전시장"
"1019","경쾌한"
"1020","그"
"1021","관람"
"1022","전시장"
"1023","사람"
"1024","한동안"
"1025","한"
"1026","사진"
"1027","앞"
"1028","발"
"1029","소녀"
"1030","나"
"1031","열"
"1032","살"
"1033","남짓"
"1034","사진"
"1035","밑"
"1036","카불"
"1037","거리"
"1038","소녀"
"1039","팻말"
"1040","괄호"
"1041","안"
"1042","원제"
"1043","소녀"
"1044","지저분"
"1045","전쟁통"
"1046","아프간치고는"
"1047","화려한"
"1048","옷"
"1049","손"
"1050","앞"
"1051","치마"
"1052","앞자락"
"1053","멋"
"1054","머릿결"
"1055","삐쳐있었지만"
"1056","입술"
"1057","빛깔"
"1058","카메라"
"1059","렌즈"
"1060","눈빛"
"1061","거리"
"1062","소녀"
"1063","몸"
"1064","소녀"
"1065","눈빛"
"1066","전쟁"
"1067","소녀"
"1068","사진"
"1069","카메라맨"
"1070","몸"
"1071","어른들"
"1072","전쟁"
"1073","어른들"
"1074","돈"
"1075","몸"
"1076","눈빛"
"1077","카메라맨"
"1078","유혹"
"1079","수"
"1080","눈빛"
"1081","소녀"
"1082","눈"
"1083","눈물"
"1084","흔적"
"1085","분노"
"1086","절망"
"1087","눈"
"1088","카불"
"1089","거리"
"1090","소녀"
"1091","카불"
"1092","거리"
"1093","였겠지만"
"1094","팻말"
"1095","전시장"
"1096","사람"
"1097","소녀"
"1098","동안"
"1099","발길"
"1100","출구"
"1101","직전"
"1102","사진"
"1103","앞"
"1104","사람"
"1105","발"
"1106","수도승"
"1107","탁자"
"1108","왼손"
"1109","채"
"1110","의자"
"1111","사진"
"1112","그"
"1113","앞"
"1114","탁자"
"1115","반쯤"
"1116","콜라병"
"1117","수도승"
"1118","뒤"
"1119","콜라"
"1120","상표"
"1121","사진"
"1122","정도"
"1123","보시"
"1124","콜라"
"1125","수도승"
"1126","눈빛"
"1127","참선"
"1128","허공"
"1129","사람"
"1130","화랑"
"1131","그"
"1132","사람"
"1133","시동"
"1134","한산한"
"1135","도로"
"1136","차"
"1137","아파트"
"1138","때"
"1139","주차장"
"1140","자리"
"1141","사람"
"1142","후진"
"1143","주차"
"1144","주차"
"1145","공간"
