"","noun"
"1","황혜"
"2","련"
"3","숨"
"4","남자"
"5","백일홍"
"6","가지"
"7","꺾어들고"
"8","구부정한"
"9","그"
"10","등"
"11","뒤"
"12","저녁"
"13","해"
"14","남자"
"15","배드민턴"
"16","길"
"17","배롱나무"
"18","둥치"
"19","큼직한"
"20","라켓"
"21","가방"
"22","나"
"23","남자"
"24","멀찍이서"
"25","그"
"26","남자"
"27","오른손"
"28","백일홍다발"
"29","왼손"
"30","한"
"31","가지"
"32","바닥"
"33","대"
"34","끼적거렸다"
"35","가지"
"36","때"
"37","분홍꽃잎"
"38","한들거렸다"
"39","남자"
"40","나"
"41","동안"
"42","무료함"
"43","꽃가지들"
"44","지루해서"
"45","소일"
"46","것"
"47","남자"
"48","그것"
"49","시들한지"
"50","허리"
"51","고개"
"52","하늘"
"53","남자"
"54","고개"
"55","때"
"56","사장"
"57","모습"
"58","오버랩"
"59","나"
"60","도리질쳤다"
"61","사장"
"62","리"
"63","사장"
"64","나"
"65","적"
"66","꽃"
"67","거"
"68","적"
"69","바람"
"70","배롱나무"
"71","가지"
"72","백일홍꽃잎"
"73","부스스"
"74","남자"
"75","머리"
"76","위"
"77","집"
"78","앞"
"79","벤치"
"80","나와달라"
"81","남자"
"82","문자"
"83","때"
"84","나"
"85","당황"
"86","나"
"87","남자"
"88","마음"
"89","준비"
"90","나"
"91","문자메시지"
"92","십자수"
"93","감"
"94","집어들었다"
"95","오늘"
"96","드레스"
"97","윗부분"
"98","완성"
"99","남자"
"100","배드민턴"
"101","것"
"102","나"
"103","아이보리색"
"104","바늘"
"105","꿰어가슴"
"106","쪽"
"107","나"
"108","십자수"
"109","웨딩"
"110","도안"
"111","를"
"112","한"
"113","달"
"114","이걸"
"115","십칠만원"
"116","수고"
"117","낮"
"118","액수"
"119","이것"
"120","사장"
"121","밥상"
"122","갈비살"
"123","수"
"124","짓"
"125","것"
"126","위기감"
"127","전"
"128","눈"
"129","일"
"130","시력"
"131","것"
"132","전"
"133","사물"
"134","십자수"
"135","몇"
"136","동안"
"137","은연"
"138","중"
"139","이젠"
"140","수예감"
