"","noun"
"1","김정"
"2","진"
"3","바람"
"4","옆"
"5","분"
"6","남자"
"7","메일"
"8","얼굴"
"9","내일"
"10","제출"
"11","견적"
"12","자료"
"13","것"
"14","계약"
"15","물"
"16","말"
"17","아이템"
"18","종류"
"19","때"
"20","닷새"
"21","소요"
"22","작업"
"23","입"
"24","욕"
"25","그동안"
"26","남자"
"27","계약"
"28","공"
"29","생각하자"
"30","이"
"31","빠드득"
"32","만"
"33","인간"
"34","것"
"35","정도"
"36","받아먹었다면"
"37","이럴"
"38","수"
"39","일"
"40","비행기"
"41","기차"
"42","밑"
"43","자신"
"44","행적들이"
"45","적나라하게"
"46","눈앞"
"47","남자"
"48","얼굴"
"49","웃음"
"50","나"
"51","세상"
"52","만만하게"
"53","혼잣말"
"54","메일"
"55","삭제"
"56","그날"
"57","밤"
"58","전화"
"59","윤과"
"60","질기디질긴"
"61","인연"
"62","한"
"63","모퉁이"
"64","남자"
"65","후회"
"66","후회"
"67","것"
"68","마련"
"69","그"
"70","것"
"71","개월"
"72","전"
"73","시작한"
"74","골프"
"75","재미"
"76","골프"
"77","생각"
"78","틈"
"79","나"
"80","연습장"
"81","필드"
"82","몸살기"
"83","잠자리"
"84","날"
"85","핸드폰"
"86","진저리"
"87","방바닥"
"88","잠자리"
"89","핸드폰"
"90","일"
"91","깜박했나보다"
"92","바닥"
"93","남자"
"94","끙"
"95","짜증"
"96","신음"
"97","내"
"98","방바닥"
"99","핸드폰"
"100","윤이었다"
"101","시각"
"102","전화"
"103","위인"
"104","신호음"
"105","위인"
"106","윤이"
"107","불가능한"
"108","일"
"109","남자"
"110","헛기침"
"111","한"
"112","번"
"113","통화버튼"
"114","윤"
"115","부장님"
"116","오랜만"
"117","남자"
"118","자기"
"119","목소리"
"120","말"
"121","이"
"122","야심한"
"123","밤"
"124","윤은"
"125","상태"
"126","어이"
"127","사장"
"128","우리"
"129","사이"
"130","윤"
"131","부장님"
"132","친구"
"133","우리"
"134","친구"
"135","아이"
"136","남자"
"137","실소"
"138","것"
"139","윤이"
"140","친구"
"141","운운"
"142","다음"
"143","이야기"
"144","돈"
"145","윤이"
"146","오늘"
"147","밤"
"148","술값"
"149","남자"
"150","지불"
"151","계산"
"152","윤은"
"153","자기과시"
"154","때"
"155","시간"
"156","따위"
"157","상관"
"158","남자"
"159","전화"
"160","술값이야기"
"161","친구"
"162","나"
"163","때"
"164","술"
"165","사달"
"166","술"
"167","사주"
"168","친구"
"169","사람"
"170","세상"
"171","사람"
"172","어딨냐고"
"173","믿는기라"
"174","나"
"175","화"
"176","전화"
"177","윤은"
"178","술"
"179","사투리"
"180","서울살이가"
"181","십년"
"182","사투리"
"183","수"
"184","모양"
"185","남자"
"186","액수"
"187","공치사"
"188","윤"
"189","혀"
"190","소리"
"191","중간"
"192","전화"
"193","남자"
"194","문명"
"195","발달"
"196","요즘세상"
"197","아무데서나"
"198","때"
"199","통화"
"200","가능"
"201","것"
"202","마음"
"203","아무데서나"
"204","때"
"205","송금"
"206","가능한"
"207","환경"
"208","마음"
"209","핸드폰"
"210","덤터기"
"211","억울"
"212","윤이라면"
"213","내"
"214","아침"
"215","수금"
"216","것"
"217","생각"
"218","한숨"
"219","한"
"220","번"
"221","송금"
"222","아내"
"223","남자"
"224","폰뱅킹이나"
"225","인터넷뱅킹"
"226","것"
"227","적"
"228","그것"
"229","여자들"
"230","몫"
"231","경리"
