"","noun"
"1","나푸"
"2","름"
"3","로드"
"4","냄비"
"5","멸치"
"6","우리"
"7","냄새"
"8","아내"
"9","식탁"
"10","시금치"
"11","끝단"
"12","점심"
"13","준비"
"14","아내"
"15","뒷모습"
"16","남자"
"17","저"
"18","여자"
"19","누구"
"20","생각"
"21","부엌"
"22","아내"
"23","남자"
"24","낯섦이"
"25","아내"
"26","자신"
"27","발견"
"28","아침"
"29","시간"
"30","소파"
"31","모습"
"32","분명"
"33","저"
"34","것"
"35","그"
"36","자신"
"37","모습"
"38","소화하기"
"39","무릎"
"40","위"
"41","신문"
"42","사회면"
"43","문장들이"
"44","명치"
"45","한"
"46","남자는"
"47","아내"
"48","부엌"
"49","쪽"
"50","시선"
"51","등"
"52","뒷모습"
"53","다리"
"54","부근"
"55","시선"
"56","아내"
"57","뒷모습"
"58","회사"
"59","여직원"
"60","고깃덩어리"
"61","시선"
"62","아내"
"63","종아리"
"64","무릎"
"65","발목"
"66","주름"
"67","만"
"68","몇"
"69","년"
"70","아내"
"71","팔목"
"72","잡아끌"
"73","의욕"
"74","것"
"75","숟가락"
"76","밥"
"77","일"
"78","욕구"
"79","아내"
"80","여성호르몬"
"81","때문"
"82","나"
"83","탓"
"84","얘기"
"85","생각"
"86","말"
"87","무엇"
"88","나이"
"89","정도"
"90","거"
"91","회사"
"92","권고사직"
"93","통보"
"94","때"
"95","인정하기"
"96","일"
"97","무능함"
"98","것"
"99","텐데"
"100","회사"
"101","구색"
"102","정년"
"103","남자"
"104","나이"
"105","핑계"
"106","퇴직"
"107","종용"
"108","시간"
"109","동안"
"110","그"
"111","아내"
"112","수"
"113","것"
"114","그녀"
"115","식사"
"116","때문"
"117","남자"
"118","자신"
"119","몇"
"120","분간"
"121","신문"
"122","기사"
"123","줄"
"124","사실"
"125","깨달았다"
"126","신문"
"127","밥상"
"128","앞"
"129","배"
"130","아침"
"131","음식"
"132","소화"
"133","상태"
"134","그"
"135","일"
"136","때"
"137","지금"
"138","나이"
"139","교외"
"140","나"
"141","낚시"
"142","여행"
"143","수"
"144","것"
"145","생각"
"146","밖"
"147","의욕"
"148","그"
"149","자신"
"150","식탁"
"151","신경"
"152","아내"
"153","뒷모습"
"154","감상"
"155","여자"
"156","수십년"
"157","무엇"
"158","결혼"
"159","감감"
"160","나"
"161","여자"
"162","다리"
"163","빗어올린"
"164","머리"
"165","수"
"166","아내"
"167","도덕적"
"168","여자"
"169","남자"
"170","아버지"
"171","가정"
"172","충실한"
"173","편"
"174","가정"
"175","붕괴"
"176","지경"
"177","가지"
"178","거"
"179","어머니"
"180","덕"
"181","어머니"
"182","것"
"183","사람"
"184","때"
"185","그"
"186","존경"
"187","남편"
"188","것"
"189","끼니"
"190","아내"
"191","정도"
"192","꿈"
"193","것"
"194","아내"
"195","가정"
"196","충실"
"197","정오"
"198","거실"
"199","창문"
"200","사이"
"201","빛발"
"202","여름"
"203","더위"
"204","해"
"205","그"
"206","겨드랑이"
"207","무릎"
"208","사이"
"209","땀"
"210","거"
"211","퇴직"
"212","나"
"213","당연"
"214","것들이"
"215","회사"
"216","근무시간"
"217","에어컨"
"218","바람"
"219","창문"
"220","틈"
"221","사이"
"222","바람"
"223","관자놀이"
"224","땀방울"
"225","남자"
"226","더위"
"227","땀"
"228","한여름"
"229","속옷"
"230","일쑤"
"231","그"
"232","자신"
"233","체취"
"234","대부분"
"235","사람"
"236","저"
"237","자신"
"238","악취"
"239","수"
"240","없다지만"
"241","그"
"242","몸"
"243","참"
"244","수"
"245","만큼"
"246","냄새"
"247","나"
"248","것"
"249","날씨"
"250","땀"
"251","나"
"252","땀"
"253","입"
"254","옷"
"255","때"
"256","곳"
"257","기억들이"
"258","사방"
"259","목"
"260","땀"
"261","손"
"262","남자"
"263","부유"
"264","기억들"
"265","무시"
"266","그것들은"
"267","불쾌한"
"268","냄새"
"269","몸"
"270","이곳저곳"
"271","달라붙었다"
"272","부분"
"273","선명"
"274","부분"
"275","물"
"276","기억"
"277","땀"
"278","반소매"
"279","와이셔츠"
"280","모습"
"281","아무"
"282","도로"
"283","운전"
"284","모습"
"285","이"
"286","그"
"287","살갗"
"288","소름"
"289","수"
"290","물체"
"291","바퀴"
"292","차체"
"293","때"
"294","괴로움"
"295","계속"
"296","차"
"297","것"
"298","과속방지턱"
"299","이전"
"300","남자"
"301","번"
"302","길"
"303","순간"
"304","가지"
"305","생각"
"306","그"
"307","차"
"308","쓰레기"
"309","운"
"310","주인"
"311","개"
"312","고양이"
"313","것"
"314","그"
"315","동물들이"
"316","위험하게"
"317","차도"
"318","치"
"319","죽"
"320","시체"
"321","번"
"322","차"
"323","내장"
"324","살점"
"325","납작하게"
"326","거"
"327","남자"
"328","길가"
"329","물체"
"330","평생"
"331","죄책감"
"332","만한"
"333","사람"
"334","기억"
"335","생활"
"336","곳곳"
"337","고장"
"338","브레이크"
"339","그"
"340","생활"
"341","방해"
"342","짜증"
"343","나"
"344","일"
"345","신경"
"346","그"
"347","일"
"348","원인"
"349","아내"
"350","전가"
"351","머릿속"
"352","공상"
"353","생각들이"
"354","입"
"355","밖"
"356","내"
"357","것"
"358","것"
"359","상상"
"360","남자"
"361","입"
"362","말"
"363","생각"
"364","일"
"365","원인"
"366","남자"
"367","아내"
"368","뒷모습"
"369","시선"
"370","된장국"
"371","간"
"372","밥"
"373","마른반찬"
"374","아내"
"375","모습"
"376","수십년"
"377","반복"
"378","아내"
"379","일"
"380","아내"
"381","일"
"382","오랫동안"
"383","그녀"
"384","시간"
"385","동안"
"386","밥"
"387","청소"
"388","소변"
"389","일"
"390","이외"
"391","줄"
"392","것"
"393","사람"
"394","남편"
"395","자기"
"396","생각"
"397","자리"
"398","것"
"399","도리"
"400","생각"
"401","아내"
"402","친정"
"403","식구들"
"404","몇"
"405","전"
"406","미국으로"
"407","친정어머니"
"408","지"
"409","비교적"
"410","근거리"
"411","때"
"412","데면데면하던"
"413","사이"
"414","이혼"
"415","바다"
"416","신세"
"417","수"
"418","남자"
"419","속내"
"420","아내"
"421","자신"
"422","말"
"423","꼼짝달싹하지"
"424","비난"
"425","감내"
"426","장면"
"427","눈앞"
"428","당장"
"429","아내"
"430","자신"
"431","생각"
"432","폭"
"433","입"
"434","근질근질했다"
"435","대단치"
"436","상상"
"437","아내"
"438","모욕감"
"439","것"
"440","국은"
"441","아내"
"442","식탁"
"443","시금치나물"
"444","겉절이"
"445","남자"
"446","남편"
"447","머릿속"
"448","뭐"
"449","의심"
"450","그녀"
"451","나이"
"452","정도"
"453","순수해"
"454","나이"
"455","순수함"
"456","장점"
"457","그"
"458","아내"
"459","남편"
"460","무관심한"
"461","것"
"462","생각"
"463","여름"
"464","외근"
"465","남자"
"466","일"
"467","집"
"468","출발"
"469","샤워"
"470","아내"
"471","밥"
"472","점심시간"
"473","전"
"474","회사"
"475","수"
"476","것"
"477","그"
"478","머릿속"
"479","땀"
"480","와이셔츠"
"481","생각"
"482","아내"
"483","연락"
"484","박할"
"485","것"
"486","연락"
"487","일"
"488","거"
"489","집"
"490","조용"
"491","남자"
"492","아내"
"493","장"
"494","연락"
"495","것"
"496","후회하기"
"497","샤워"
"498","사이"
"499","아내"
"500","것"
"501","속옷"
"502","와이셔츠"
"503","가지"
"504","안방"
"505","침대"
"506","장"
"507","생각한"
