"","noun"
"1","경"
"2","뱀뱀을"
"3","이상한"
"4","색"
"5","낮"
"6","들"
"7","사이"
"8","기"
"9","것"
"10","것"
"11","내"
"12","옆"
"13","다리"
"14","것"
"15","불가능한"
"16","것"
"17","아랫배"
"18","수"
"19","도"
"20","위"
"21","죽"
"22","뱀"
"23","한가득하였다"
"24","차"
"25","치"
"26","차"
"27","치"
"28","상태"
"29","숨"
"30","햇빛"
"31","나"
"32","수"
"33","이유"
"34","것"
"35","것"
"36","그것"
"37","아이들"
"38","궁지"
"39","발악"
"40","저주"
"41","아무"
"42","개의치"
"43","것"
"44","아이들"
"45","모습"
"46","돌멩이"
"47","뱀"
"48","대부분"
"49","머리"
"50","내장"
"51","채"
"52","혀"
"53","때"
"54","나"
"55","뱀"
"56","얘기들"
"57","낮"
"58","목소리"
"59","나중"
"60","거래"
"61","아이들"
"62","나"
"63","돌멩이"
"64","목숨"
"65","구걸"
"66","라"
"67","생각"
"68","무릎"
"69","두"
"70","손"
"71","아이들"
"72","저"
"73","무릎"
"74","시작"
"75","아스팔트"
"76","위"
"77","것"
"78","무료하기"
"79","짝"
"80","덤프트럭"
"81","한"
"82","대"
"83","내"
"84","옆"
"85","바람"
"86","지난겨울"
"87","도로"
"88","통학하기"
"89","시작"
"90","버스"
"91","한"
"92","시간"
"93","한"
"94","대"
"95","시간"
"96","때문"
"97","물론"
"98","그것"
"99","큰어머니"
"100","한"
"101","핑계"
"102","사실"
"103","경주"
"104","언니"
"105","때문"
"106","경주"
"107","언니"
"108","언니"
"109","속눈썹"
"110","볼"
"111","점"
"112","키"
"113","어깨"
"114","누구"
"115","언니"
"116","운동장"
"117","축구"
"118","발야구"
"119","모습"
"120","말"
"121","것"
"122","언니"
"123","남자애"
"124","리"
"125","골"
"126","운동장"
"127","끝"
"128","공"
"129","축구"
"130","골대"
"131","근처"
"132","나"
"133","첫눈"
"134","경주"
"135","언니"
"136","언니"
"137","내"
"138","말"
"139","그때"
"140","눈"
"141","날"
"142","나"
"143","한"
"144","마디"
"145","수"
"146","라"
"147","마음"
"148","언니"
"149","뒤"
"150","시작"
"151","언니"
"152","빨간색"
"153","점퍼"
"154","시야"
"155","만큼"
"156","눈"
"157","나"
"158","정류장"
"159","도"
"160","갓길"
"161","언니"
"162","시작"
"163","말"
"164","수"
"165","것"
"166","인사해"
"167","수"
"168","것"
"169","언니"
"170","뒷모습"
"171","그녀"
"172","발자국"
"173","것"
"174","중요한"
"175","일"
"176","듯"
"177","집중해서"
"178","뿐"
"179","경주"
"180","언니"
"181","중학생"
"182","읍내"
"183","학교"
"184","버스"
"185","도로"
"186","아이들"
"187","덤프트럭"
"188","버스"
"189","도"
"190","위"
"191","햇빛"
"192","햇볕"
"193","그것"
"194","아이들"
"195","열"
"196","열"
"197","아이들"
"198","아이들"
"199","뒷모습"
"200","나"
"201","남"
"202","수수리"
"203","할머니"
"204","큰아버지"
"205","큰어머니"
"206","번지수"
"207","집"
"208","뒤"
"209","밤나무"
"210","밤나무"
"211","뒤"
"212","묘지"
"213","서너"
"214","개"
"215","묘지"
"216","묘지"
"217","묘지"
"218","묘지"
"219","풀이"
"220","묘지"
"221","돌"
"222","묘지"
"223","아이들"
"224","때"
"225","묘지들"
"226","틈"
"227","숨바꼭질"
"228","아이들"
"229","서로서로"
"230","형제"
"231","자매"
"232","남매"
"233","때문"
"234","모양"
"235","나"
"236","얄짤없기"
"237","때문"
"238","나"
"239","숨"
"240","때"
"241","묘지"
"242","속"
"243","심정"
"244","해"
"245","집"
"246","나"
"247","묘지"
"248","틈"
"249","눈"
"250","홉뜨고"
"251","술래"
"252","술래"
"253","아무"
"254","아무"
"255","술래"
"256","채"
"257","하루"
"258","것"
"259","서늘한"
"260","저녁"
"261","공기"
"262","내"
"263","머리"
"264","위"
"265","나"
"266","두"
"267","눈"
"268","힘"
"269","눈물"
"270","날"
"271","것"
"272","눈물"
"273","눈"
"274","눈"
"275","큰아버지"
"276","등"
"277","나"
"278","두"
"279","팔"
"280","큰아버지"
"281","목"
"282","거기"
"283","큰아버지"
"284","목소리"
"285","등"
"286","나"
"287","짚"
"288","냄새"
"289","솔"
"290","냄새"
"291","돼지"
"292","똥"
"293","냄새"
"294","범벅"
"295","큰아버지"
"296","등"
"297","머리"
