"","noun"
"1","김"
"2","경"
"3","프리바이"
"4","터"
"5","빚"
"6","한"
"7","여성"
"8","바"
"9","재기"
"10","꿈꾼다온"
"11","국민"
"12","신정"
"13","연휴"
"14","지금"
"15","나"
"16","서울"
"17","곳곳"
"18","상가수첩"
"19","동네"
"20","상가"
"21","전화번호"
"22","물론"
"23","곳"
"24","이름"
"25","가게"
"26","전화번호"
"27","상가수첩"
"28","상가수첩"
"29","피자"
"30","치킨"
"31","짜장면"
"32","수"
"33","십수"
"34","년"
"35","전"
"36","스물셋"
"37","신용불량자"
"38","서른세"
"39","살"
"40","개인파산자가"
"41","용돈"
"42","한"
"43","달"
"44","만원"
"45","이상"
"46","적"
"47","나"
"48","이유"
"49","무엇"
"50","때"
"51","사업가"
"52","어머니"
"53","구치소"
"54","면회소"
"55","우리들을"
"56","였다고"
"57","첫"
"58","번째"
"59","직장"
"60","티셔츠"
"61","사이"
"62","문신"
"63","덩치"
"64","회사"
"65","두"
"66","번째"
"67","직장"
"68","채권자"
"69","사장"
"70","전화"
"71","원만한"
"72","직장생활"
"73","수"
"74","나"
"75","아르바이트"
"76","전전"
"77","로"
"78","결심"
"79","삶"
"80","날"
"81","조종"
"82","두"
"83","나"
"84","내"
"85","앞"
"86","길"
"87","생각"
"88","결심"
"89","멋진"
"90","가"
"91","것"
"92","상위"
"93","직장인"
"94","것"
"95","선물가게"
"96","인간"
"97","사탕"
"98","포장"
"99","내레이터"
"100","모델"
"101","보습학원"
"102","강사"
"103","미술학원"
"104","두상모델"
"105","레스토랑"
"106","서빙"
"107","위장손님"
"108","아르바이트"
"109","가발가게"
"110","점원"
"111","고시원"
"112","총무"
"113","텝스"
"114","시험"
"115","스태프"
"116","일"
"117","사람"
"118","어디"
"119","무엇"
"120","나"
"121","지탱"
"122","꿈"
"123","화가"
"124","것"
"125","나"
"126","달과"
"127","찰스"
"128","스트릭랜드처럼"
"129","전"
"130","걸작"
"131","꿈"
"132","아무"
"133","학창시절"
"134","이후"
"135","적"
"136","붓"
"137","꿈"
"138","수"
