"","noun"
"1","이연"
"2","초"
"3","천"
"4","여자"
"5","쪽창"
"6","의자"
"7","오금지에"
"8","힘"
"9","고개"
"10","창가"
"11","밀착"
"12","화단가에서"
"13","나뭇가지"
"14","생뚱한"
"15","하나"
"16","여자"
"17","시선"
"18","허공"
"19","팔"
"20","상체"
"21","쪽"
"22","도"
"23","노인"
"24","모습"
"25","여섯시"
"26","분"
"27","전"
"28","시계바늘"
"29","지팡이"
"30","짚"
"31","오른손"
"32","머그잔"
"33","것"
"34","한"
"35","손"
"36","때문"
"37","여자"
"38","긴장감"
"39","저"
"40","여자"
"41","두"
"42","손"
"43","횡격막"
"44","평소"
"45","화장실"
"46","뒤"
"47","야채수"
"48","시간"
"49","여자"
"50","입술"
"51","그"
"52","어디"
"53","어디"
"54","말"
"55","나"
"56","곳"
"57","없다네"
"58","곳"
"59","고집"
"60","영감탱이라"
"61","여자"
"62","모노드라마"
"63","배우"
"64","표정"
"65","손가락"
"66","창틈"
"67","먼지뭉치"
"68","화단"
"69","목련"
"70","꽃잎"
"71","화르르"
"72","노인"
"73","기우뚱한"
"74","어깨위로"
"75","누구"
"76","보호소"
"77","나"
"78","햇살"
"79","따스한"
"80","곳"
"81","여자"
"82","실내"
"83","서늘한"
"84","기운"
"85","몸"
"86","푸르뎅뎅한"
"87","맨발"
"88","꼼지락거리던"
"89","여자"
"90","몸"
"91","움직이란"
"92","여자"
"93","방광"
"94","것"
"95","망"
"96","노인네"
"97","노인"
"98","요지부동"
"99","가증"
"100","한"
"101","마리"
"102","꽃뱀"
"103","화단"
"104","속"
"105","민달팽이"
"106","햇빛"
"107","속"
"108","여자"
"109","종말"
"110","통증"
"111","등뼈"
"112","여자"
"113","숨"
"114","노인"
"115","한"
"116","마리"
"117","새"
"118","여자"
"119","손등"
"120","눈물"
"121","노인"
"122","허수아비"
"123","누구"
"124","그녀"
"125","누군가"
"126","경비"
"127","담벼락"
"128","기대"
"129","담배"
"130","한"
"131","개비"
"132","입"
"133","오늘"
"134","햇살"
"135","말"
"136","통증"
"137","등뼈"
"138","사타구니"
"139","노인"
"140","움찔했다"
"141","허공"
"142","왼팔"
"143","여자"
"144","한숨"
"145","자유"
"146","손목"
"147","노인"
"148","엉덩이"
"149","옆"
"150","화단가에서"
"151","꽃"
"152","수"
"153","것"
"154","여자"
"155","쪽창"
"156","턱받이에"
"157","탁상시계"
"158","의자"
"159","몸"
"160","방광"
"161","가슴"
"162","위"
"163","등뼈"
"164","열"
"165","손가락"
"166","마디마디"
"167","아우성"
"168","그"
"169","순간"
"170","기우뚱한"
"171","노인"
"172","얼굴"
"173","여자"
"174","쪽"
"175","노인"
"176","하회탈"
"177","그"
"178","분명"
"179","사월"
"180","아침"
"181","햇살"
"182","노인"
"183","얼굴위로"
"184","노인"
"185","것"
"186","저"
"187","첫"
"188","햇살"
"189","연인"
"190","듯"
"191","흐뭇한"
"192","얼굴"
"193","햇살"
"194","애무"
"195","온몸"
"196","저"
"197","포즈"
"198","변덕심한"
"199","노인"
"200","완고한"
"201","고집"
"202","노인"
"203","유순해"
"204","각도"
"205","저"
"206","몸"
"207","어디"
"208","기운"
"209","노인"
"210","당당"
"211","두"
"212","다리"
"213","해바라기"
"214","아파트"
"215","쪽문"
"216","옆"
"217","공터"
"218","빨랫줄"
"219","화단"
"220","수국"
"221","덩치"
"222","사내"
"223","주먹"
"224","잎사귀"
"225","옆"
"226","누군가"
"227","재미삼아"
"228","심"
"229","보릿대"
"230","오소소"
"231","시퍼런"
"232","기운"
"233","공터"
"234","햇빛"
"235","반사"
"236","시멘트"
"237","바닥"
"238","눈"
"239","여자"
"240","눈"
"241","화단"
"242","진초록"
"243","빛"
"244","대조적"
"245","공터"
"246","노인"
"247","동그마니"
"248","혼자"
"249","담벼락"
"250","그"
"251","등산용"
"252","지팡이"
"253","끝"
"254","저"
"255","끝"
"256","시계추"
"257","왕복"
"258","빨랫줄"
"259","몸"
"260","노인"
"261","그"
"262","선"
"263","고압선"
"264","듯"
"265","인간"
"266","을"
"267","안전"
"268","평화"
"269","질"
"270","행복"
"271","경계선"
"272","법"
"273","도덕"
"274","관습"
"275","교양"
"276","예의"
"277","각종"
"278","이름"
"279","선"
"280","위태"
"281","위태"
"282","햇빛"
"283","빨랫줄"
"284","저"
"285","햇빛"
"286","빛"
"287","저것"
"288","고압선"
"289","고압선"
"290","여자"
"291","눈"
"292","어지럼증"
"293","며칠"
"294","전"
"295","노인"
"296","쪽문"
"297","문턱"
"298","얼굴"
"299","무릎"
"300","노인"
"301","초등생"
"302","할머니"
"303","등산"
"304","누구"
"305","예"
"306","나오라했어"
"307","내"
"308","할머니"
"309","목소리"
"310","쌀쌀맞았다"
"311","여자"
"312","땅바닥"
"313","베레모를"
"314","할머니"
"315","그날"
"316","빨랫줄"
"317","것"
"318","할머니"
"319","쪽문"
"320","옆"
"321","공터"
"322","줄"
"323","등산"
"324","동안"
"325","노인"
"326","두"
"327","시간쯤"
"328","안"
"329","손목"
"330","머그잔"
"331","라디오"
"332","달랑거린다"
"333","노인"
"334","시간"
"335","청각"
"336","해결"
"337","여편네"
"338","오늘"
"339","노인"
"340","라디오"
"341","나"
"342","도와주시오"
"343","도움"
"344","호소"
"345","여자"
"346","존재"
"347","허공"
"348","내"
"349","소리"
