"","noun"
"1","정정"
"2","화"
"3","담"
"4","장"
"5","담장"
"6","너머"
"7","앞집"
"8","굴착기"
"9","기와집"
"10","뭉개고"
"11","있었다내가"
"12","집"
"13","것"
"14","기분"
"15","예전"
"16","우리"
"17","터"
"18","곳"
"19","담"
"20","것"
"21","아제가"
"22","돈"
"23","땅"
"24","글카면"
"25","귀"
"26","듯"
"27","쇳소리"
"28","잠"
"29","창문"
"30","바닥"
"31","미세한"
"32","진동"
"33","나"
"34","불편한"
"35","손님"
"36","맞이한"
"37","주인"
"38","옷"
"39","밖"
"40","담장"
"41","너머"
"42","앞집"
"43","굴착기"
"44","기와집"
"45","뭉개고"
"46","집"
"47","공사"
"48","시작한"
"49","모양"
"50","소"
"51","소리"
"52","소"
"53","나"
"54","몸동작"
"55","눈"
"56","암소"
"57","여덟"
"58","마리"
"59","수송아지"
"60","두"
"61","마리"
"62","나"
"63","소"
"64","전부"
"65","몇"
"66","놈"
"67","습관"
"68","꼬리"
"69","좌우"
"70","등짝"
"71","짚"
"72","바가지"
"73","사료"
"74","구유"
"75","소"
"76","우적우적"
"77","씹"
"78","소리"
"79","소리"
"80","소"
"81","분뇨냄새"
"82","아침"
"83","공기"
"84","콧속"
"85","구제역"
"86","때문"
"87","소"
"88","돼지"
"89","땅"
"90","시작하기"
"91","고비"
"92","매끼"
"93","놈"
"94","멀쩡하게"
"95","눈"
"96","놈"
"97","때"
"98","눈앞"
"99","두"
"100","번"
"101","짐승"
"102","고집"
"103","일"
"104","그것"
"105","소"
"106","구제역"
"107","발생"
"108","때"
"109","소"
"110","매몰"
"111","채"
"112","굴착기"
"113","구덩이"
"114","파고"
"115","수백"
"116","마리"
"117","돼지"
"118","굴착기"
"119","쇳덩이"
"120","돼지"
"121","구덩이"
"122","처음"
"123","땅"
"124","돼지들이"
"125","숫자"
"126","듯"
"127","비명"
"128","틈"
"129","돼지들이"
"130","앞발"
"131","사람"
"132","기립"
"133","상태"
"134","절규"
"135","돼지들"
"136","귀"
"137","듯"
"138","울음소리"
"139","아비규환"
"140","죽"
"141","힘"
"142","돼지"
"143","돼지들"
"144","압사당한다"
"145","위"
"146","돼지들"
"147","흙"
"148","시간"
"149","어제"
"150","일"
"151","나"
"152","눈"
"153","고개"
"154","굴착기"
"155","진동"
"156","돈사"
"157","바람"
"158","그때"
"159","기억"
"160","재생"
"161","앞집"
"162","길"
"163","우리"
"164","집"
"165","경계"
"166","담"
"167","길"
"168","쪽"
"169","담벼락"
"170","담쟁이들이"
"171","무성"
"172","잎"
"173","아침"
"174","이슬"
"175","햇빛"
"176","은빛"
"177","무리"
"178","것"
"179","씩씩한"
"180","군"
"181","행렬"
"182","흡착근"
"183","벽"
"184","얽히고설켜"
"185","적"
"186","영남"
"187","형"
"188","담쟁이잎"
"189","아래"
"190","눈꺼풀"
"191","눈"
"192","장난"
"193","쌍꺼풀진"
"194","눈"
"195","형수"
"196","입"
"197","팔짱"
"198","채"
"199","작업"
"200","나"
"201","목례"
"202","구릿빛"
"203","피부"
"204","영남"
"205","형"
"206","눈가"
"207","주름"
"208","얼굴"
"209","나"
"210","인자"
"211","집"
"212","응"
"213","동생"
"214","나"
"215","뭐"
"216","데"
"217","집사람"
"218","불편해서"
"219","살"
"220","수"
"221","수"
"222","영남"
"223","형"
"224","아쉬움"
"225","듯"
"226","모호한"
"227","표정"
"228","지"
"229","쪽"
"230","망와가"
"231","기와집"
"232","지난날"
"233","팔작지붕"
"234","자랑"
"235","위풍당당한"
"236","모습"
"237","영남"
"238","형"
"239","마을"
"240","집"
"241","축"
"242","기와집"
"243","집"
"244","깨끗해서"
"245","집"
"246","느지막이"
"247","양옥"
"248","마음"
"249","것"
"250","그것"
"251","형"
"252","형수"
"253","결혼"
"254","않았다"
"255","마음"
"256","얘기"
"257","형"
"258","사람"
"259","착실"
"260","혼처"
"261","나"
"262","마흔"
"263","노총각"
"264","년"
"265","전"
"266","형수"
"267","결혼"
"268","형수"
"269","전남편"
"270","사이"
"271","아들"
"272","하나"
"273","이혼녀"
"274","형"
"275","식당"
"276","어릴"
"277","때"
"278","나"
"279","영남"
"280","형"
"281","집"
"282","형"
"283","작은방"
"284","대청마루"
"285","기억"
"286","선명"
"287","작은방"
"288","만화책"
"289","흥미"
"290","만"
"291","것들을"
"292","시간"
"293","햇살"
"294","실"
"295","빛"
"296","뿌리"
"297","대청마루"
"298","딱지치"
"299","윷놀이"
"300","코피"
"301","기억"
"302","한"
"303","편"
"304","애틋한"
"305","추억들"
"306","것"
"307","쉬"
"308","자리"
"309","하루"
"310","만"
"311","아래채"
"312","공간"
"313","현대적"
"314","장비"
"315","사람"
"316","수"
"317","몇"
"318","사람"
"319","몫"
"320","일"
"321","순식간"
"322","점"
"323","새삼"
"324","소여물"
"325","주려"
"326","일"
"327","진척"
"328","궁금해서"
"329","앞집"
"330","담벼락"
"331","터"
"332","담쟁이"
"333","밑동"
"334","서너"
"335","장"
"336","잎"
"337","매단"
"338","채"
"339","시골"
"340","담벼락"
"341","운치"
"342","영화"
"343","날"
"344","어제"
"345","일"
"346","담쟁이"
"347","흔적"
"348","앞집"
"349","마음"
"350","우리"
"351","집"
"352","외양간"
"353","발길"
"354","외국산"
"355","쇠고기"
"356","수입"
"357","구제역"
"358","여파"
"359","소값"
"360","소"
"361","인건비"
"362","사료비"
"363","충당"
"364","실정"
"365","특별한"
"366","대안"
"367","이제나저제나"
"368","소값"
"369","한우"
"370","고기값"
"371","수요"
"372","공급"
"373","원활하게"
"374","중간"
"375","폭리"
"376","사람"
"377","그"
"378","일"
"379","흔치"
"380","언론"
"381","한"
"382","번"
"383","순간"
"384","꼬리"
"385","농사가"
"386","천직"
"387","세월"
"388","농민"
"389","삶"
"390","도박"
"391","사람"
"392","굴곡"
"393","고추"
"394","양파"
"395","배추"
"396","가격변동"
"397","수확"
"398","한"
"399","배추"
"400","갈아엎는"
"401","농가"
"402","속출"
"403","흙"
"404","배추"
"405","속병"
"406","수"
"407","예전"
"408","배"
"409","요즘"
"410","빚더미"
"411","날"
"412","여름"
"413","한"
"414","달"
"415","집짓는"
"416","일"
"417","진행"
"418","나"
"419","집짓는"
"420","구경"
"421","새참"
"422","막걸리"
"423","한"
"424","잔"
"425","앞집"
"426","일"
"427","내"
"428","일"
"429","것"
"430","마누라"
"431","나"
"432","집안일"
"433","지청구"
"434","맹렬"
"435","뙤약볕"
"436","찬바람"
"437","시작"
"438","앞집"
"439","건물"
"440","외장"
"441","페인트"
"442","작업"
"443","집"
"444","완공"
"445","나"
"446","집"
"447","것"
"448","기분"
"449","앞집"
"450","길"
"451","담쟁이덩굴"
"452","밑동"
"453","잎"
"454","담장"
"455","곳"
"456","허방다리"
"457","허공"
"458","손"
"459","모습"
"460","생명력"
"461","자랑"
"462","녀석들이"
"463","길"
"464","공중"
"465","곡예"
"466","영남"
"467","형"
"468","집"
"469","거"
"470","축하"
"471","인사"
"472","담쟁이"
"473","생각"
"474","마음"
"475","형"
"476","개구리"
"477","눈"
"478","리"
"479","열"
"480","내일"
"481","블록"
"482","담장"
"483","작업"
"484","저만치"
"485","형수"
"486","형석이"
"487","아빠"
"488","내"
"489","우리"
"490","담장"
"491","작업"
"492","예전"
"493","우리"
"494","터"
"495","곳"
"496","담"
"497","것"
"498","그기"
"499","아따"
"500","사람"
"501","말"
"502","알아듣노"
"503","우리"
"504","땅"
"505","터"
"506","담장"
"507","것"
"508","경운기"
"509","밖"
"510","그거는"
"511","그때"
"512","아제"
"513","십시일반으로"
"514","돈"
"515","땅"
"516","글카면"
"517","내사"
"518","마"
"519","호"
"520","담배"
"521","시절"
"522","이야기"
"523","우리"
"524","땅"
"525","우리"
"526","건사하는"
"527","것"
"528","당연"
"529","생각"
"530","거"
"531","그카면"
"532","우리"
"533","그러니까"
"534","경운기"
"535","마을회관"
"536","도시"
"537","티"
"538","내"
"539","형수"
"540","말투"
"541","나"
"542","화"
"543","가래침"
