"","noun"
"1","한정"
"2","아돌프와"
"3","알버트"
"4","언"
"5","어"
"6","그"
"7","아돌프"
"8","히틀러"
"9","나"
"10","이나"
"11","알버트"
"12","아인슈타인"
"13","특수상대성"
"14","에"
"15","책"
"16","그"
"17","책"
"18","페이지"
"19","줄"
"20","그"
"21","시간"
"22","뒤"
"23","노트"
"24","적"
"25","구절"
"26","수학"
"27","법칙"
"28","현실"
"29","설명하기"
"30","확실치"
"31","확실한"
"32","수학"
"33","법칙"
"34","현실"
"35","관련"
"36","이것"
"37","아인슈타인이"
"38","특수상대성"
"39","이론"
"40","완성한"
"41","직후"
"42","말"
"43","사실"
"44","학창"
"45","시절"
"46","아인슈타인은"
"47","수학"
"48","낙제생"
"49","그"
"50","가설"
"51","때"
"52","그"
"53","곁"
"54","수학"
"55","공식"
"56","대"
"57","친구"
"58","사람"
"59","뉴턴"
"60","법칙"
"61","신봉"
"62","지"
"63","일"
"64","그런가하면"
"65","나"
"66","뒤편"
"67","구절"
"68","수"
"69","나"
"70","누구"
"71","수"
"72","이것"
"73","히틀러가"
"74","자신"
"75","가족"
"76","조사"
"77","나치스"
"78","친위대장"
"79","힘러에게"
"80","말"
"81","게르만"
"82","민족만"
"83","최고"
"84","믿음"
"85","나치스"
"86","히틀러"
"87","혈통"
"88","조사"
"89","결과"
"90","참담"
"91","히틀러"
"92","큰형"
"93","미치광이"
"94","조카"
"95","그"
"96","집요한"
"97","구애"
"98","자살"
"99","동생들"
"100","히틀러에게"
"101","총"
"102","전력"
"103","히틀러"
"104","아버지"
"105","오스트리아인은"
"106","그"
"107","친아버지"
"108","확실치"
"109","사실"
"110","훗날"
"111","히틀러가"
"112","자신"
"113","여인"
"114","에바"
"115","브라운"
"116","지하"
"117","벙커"
"118","자살한"
"119","후"
"120","그녀"
"121","존재"
"122","내용"
"123","그"
"124","히틀러와"
"125","에바"
"126","브라운"
"127","이십여"
"128","년"
"129","뒤"
"130","구절"
"131","내용"
"132","수"
"133","시간"
"134","무색"
"135","만큼"
"136","구절"
"137","수"
"138","수"
"139","그"
"140","구절들"
"141","마음"
"142","이유"
"143","설명"
"144","수"
"145","나"
"146","과"
"147","특수상대성"
"148","에"
"149","심취"
"150","수"
"151","생각해"
"152","히틀러와"
"153","아인슈타인은"
"154","차"
"155","세계대전"
"156","인물들"
"157","것"
"158","이외"
"159","공통점"
"160","무엇"
"161","히틀러는"
"162","나치스"
"163","아인슈타인은"
"164","유대인"
"165","그"
"166","구절들"
"167","반복적"
"168","시절"
"169","그"
"170","자신"
"171","군인"
"172","물리학자"
"173","것"
"174","생각"
"175","조국"
"176","호주"
"177","그것"
"178","전장"
"179","우주"
"180","탐험"
"181","때문"
"182","것"
"183","짐작"
"184","가능한"
"185","일"
"186","그"
"187","책"
"188","심취해"
"189","시절"
"190","소련"
"191","흐루쇼프는"
"192","쿠바에"
"193","핵미사일"
"194","배치하기"
"195","결심"
"196","케네디는"
"197","그"
"198","해상"
"199","봉쇄"
"200","선언"
"201","말"
"202","년대"
"203","소련과"
"204","미국이"
"205","경쟁"
"206","달"
"207","우주선"
"208","년대"
"209","미국"
"210","젊은이들이"
"211","핵"
"212","에이즈"
"213","나"
"214","이나"
"215","특수상대성"
"216","보다는"
"217","앤"
"218","클라우드와"
"219","청춘영화"
"220","스냅사진"
"221","잡지"
"222","때"
"223","그"
"224","호주"
"225","거"
"226","히틀러나"
"227","아인슈타인"
"228","때문"
"229","그"
"230","군인"
"231","물리학자"
"232","것"
"233","그"
"234","언어학자"
"235","호주"
"236","그"
"237","지원한"
"238","국가"
"239","한국은"
"240","전장"
"241","달"
"242","뒷면도"
"243","동북"
"244","끝"
"245","위치한"
"246","생소한"
"247","언어"
"248","나라"
"249","뿐"
"250","그것"
"251","그"
"252","한국에"
"253","전부"
"254","한국에"
"255","지원하기"
"256","몇"
"257","달"
"258","전"
"259","그"
"260","박사"
"261","과정"
"262","마무리하기"
"263","학위"
"264","논문"
"265","논문"
"266","연구"
"267","대상"
"268","호주"
"269","북부"
"270","원주민들"
"271","언어"
"272","카야르딜드어였다"
"273","언어"
"274","카야르딜드어에도"
"275","고유"
"276","법칙"
"277","존재"
"278","카야르딜드어"
"279","화자들"
"280","자신"
"281","감각"
"282","나침반"
"283","방위"
"284","기준"
"285","언어"
"286","구사"
"287","그"
"288","카야르딜드어를"
"289","것"
"290","부분"
"291","카야르딜드어를"
"292","사용"
"293","거"
"294","세상"
"295","것"
"296","중"
"297","것"
"298","때문"
"299","그"
"300","자신"
"301","표현"
"302","대상"
"303","우선시하"
"304","자세"
"305","때"
"306","연구"
"307","논문"
"308","마지막"
"309","장"
"310","중단"
"311","카야르딜드어"
"312","마지막"
"313","화자"
"314","순간"
"315","대화"
"316","정도"
"317","노쇠해지"
"318","마지막"
"319","화자"
"320","죽음"
"321","것"
"322","오해"
"323","말"
"324","언어"
"325","하나"
"326","소멸"
"327","논문"
"328","완성"
"329","심사"
"330","기일"
"331","채"
"332","연구"
"333","주제"
"334","언급"
"335","지도교수"
"336","그"
"337","카야르딜드어"
"338","마지막"
"339","화자"
"340","대화"
"341","카야르딜드어를"
"342","부족"
"343","언어"
"344","부족"
"345","혼인"
"346","전통"
"347","이유"
"348","가정"
"349","평균"
"350","여섯"
"351","개"
"352","정도"
"353","언어"
"354","사용"
"355","부족"
"356","언어"
"357","인정"
"358","것"
"359","그들"
"360","동쪽"
"361","해"
"362","것"
"363","자연"
"364","일"
"365","언어"
"366","사용"
"367","유럽이나"
"368","아시아의"
"369","국가들"
"370","오"
"371","하나"
"372","언어만"
"373","사용"
"374","그"
"375","카야르딜드어"
"376","마지막"
"377","화자"
"378","진심"
"379","의아한"
"380","표정"
"381","하나"
"382","언어"
"383","세상"
"384","것"
"385","설명"
"386","수"
"387","그"
"388","단일어"
"389","유럽과"
"390","아시아"
"391","국가들"
"392","조사하기"
"393","시작"
"394","한국이란"
"395","나라"
"396","언어적"
"397","특이점"
"398","하나"
"399","발견하게"
"400","한국어"
"401","중"
"402","일부"
"403","한국전쟁"
"404","이후"
"405","의미"
"406","사용"
"407","것"
"408","남한에서는"
"409","빨강"
"410","제복"
"411","동무"
"412","단어들이"
"413","북한에서는"
"414","반동분자"
"415","단어들이"
"416","삼십여"
"417","년"
"418","전"
"419","의미"
"420","사용"
"421","그"
"422","한"
"423","번"
"424","관심"
"425","적"
"426","한국이라는"
"427","나라"
"428","결심"
"429","그"
"430","한국에"
"431","한국어"
"432","바"
"433","그것"
"434","고려"
"435","대상"
"436","시간"
"437","연구해"
"438","카야르딜드어에"
"439","그"
"440","말"
"441","수"
"442","거"
"443","아무것"
"444","것"
"445","때문"
"446","중략"
"447","개월"
"448","후"
"449","그"
"450","한국"
"451","땅"
"452","데이비드"
"453","쉐이퍼"
"454","호주"
"455","국립대학"
"456","문화역사"
"457","언어학"
"458","전공"
"459","학생증"
"460","위"
"461","두"
"462","문장만"
"463","그"
"464","입증해"
"465","줄"
"466","수"
"467","전부"
"468","그"
"469","비행기"
"470","전"
"471","학생증"
"472","여행가방"
"473","쪽"
"474","여권"
"475","방구석"
"476","나"
"477","과"
"478","특수상대성"
"479","을"
"480","발견"
"481","그"
"482","가방"
"483","비행기"
"484","편"
"485","선택"
"486","한국에"
"487","도착"
"488","무렵"
"489","그"
"490","자신"
"491","아버지"
"492","않았다"
"493","사실"
"494","깨달았다"
"495","아버지"
"496","죽"
"497","뒤"
"498","자신"
"499","평생"
"500","이와이자어를"
"501","호주"
"502","북부"
"503","아넘랜드"
"504","한"
"505","마을"
"506","아버지"
"507","꿈"
"508","그곳"
"509","이중"
"510","이중"
"511","문화"
"512","학교"
"513","설립"
"514","것"
"515","아버지"
"516","학교"
"517","가치"
"518","말"
"519","때"
"520","라는"
"521","은유"
"522","사용"
"523","란"
"524","강"
"525","민물"
"526","기류"
"527","반대"
"528","유입"
"529","바닷물"
"530","특별한"
"531","혼합"
"532","단어"
"533","그"
"534","아버지"
"535","때"
"536","얼굴"
"537","말투"
"538","행동"
"539","체취"
"540","라는"
"541","단어"
"542","시절"
"543","아버지"
"544","몇"
"545","번"
"546","마을"
"547","방문한"
"548","적"
"549","그곳"
"550","어머니"
"551","곳"
"552","때문"
"553","당연하게"
"554","그"
"555","이와이자어를"
"556","하나"
"557","수"
"558","발끝"
"559","입"
"560","그"
"561","마을"
"562","사람"
"563","염려"
"564","눈길"
"565","그"
"566","인간"
"567","누구"
"568","아버지"
"569","를"
"570","부"
"571","생각"
"572","때문"
"573","때"
"574","아버지"
"575","누구든"
"576","이와이자어를"
"577","수"
"578","아이"
"579","여러분"
"580","이야기"
"581","수"
"582","라고"
"583","유창한"
"584","이와이자어로"
"585","그"
"586","당시"
"587","마을"
"588","사람들"
"589","자유"
"590","소통"
"591","아버지"
"592","그"
"593","아버지"
"594","성공한"
"595","삶"
"596","생각"
"597","자신과"
"598","아들"
"599","언어"
"600","이와이자어를"
"601","로서"
"602","말"
"603","중략"
"604","부"
"605","소식"
"606","때"
"607","그"
"608","전날"
"609","학교"
"610","축제"
"611","여자"
"612","관계"
"613","가지"
"614","참"
"615","발기"
"616","페니스"
"617","때문"
"618","지퍼"
"619","한달음에"
"620","아버지"
"621","아버지"
"622","죽음"
"623","확인"
"624","그"
"625","장례식"
"626","직후"
"627","성당"
"628","구석"
"629","여자"
"630","관계"
"631","것"
"632","성공"
"633","눈물"
"634","아버지"
"635","생각"
"636","얼굴"
"637","체취"
"638","대"
"639","이와이자어가"
"640","때문"
"641","그"
"642","아버지"
"643","유품"
"644","정리"
"645","집"
"646","것"
"647","장례식"
"648","한참"
"649","지나서였다"
"650","특별한"
"651","이유"
"652","어디선가"
"653","이와이자어로"
"654","말"
"655","방문객"
"656","등장"
"657","것"
"658","때문"
"659","집"
"660","그"
"661","아버지"
"662","방문"
"663","때"
"664","이와이자어로"
"665","말"
"666","화자"
"667","데이비드"
"668","쉐이퍼"
"669","그"
"670","눈"
"671","눈물"
"672","뿐"
"673","곰팡이"
"674","시작한"
"675","빵조각"
"676","옆"
"677","말라붙은"
"678","딸기잼"
"679","채"
"680","책상"
"681","밑"
"682","양말들"
"683","평범하기"
"684","짝"
"685","중년"
"686","남성"
"687","소지품들"
"688","정리"
"689","이상하게"
"690","눈물"
"691","조금씩"
"692","시작"
"693","눈물"
"694","책상"
"695","위"
"696","소지품들"
"697","정리"
"698","마지막"
"699","서랍"
"700","때"
"701","그"
"702","서랍"
"703","안"
"704","사진"
"705","한"
"706","장"
"707","사진"
"708","속"
"709","그"
"710","나"
"711","또래"
"712","여자"
"713","그"
"714","엇비슷한"
"715","또래"
"716","아버지"
"717","아버지"
