"","noun"
"1","김정"
"2","고속도로"
"3","소"
"4","타"
"5","오전"
"6","시"
"7","밖"
"8","트렁크"
"9","차체"
"10","데"
"11","정도"
"12","층"
"13","대형"
"14","아이스박스"
"15","허리"
"16","트렁크"
"17","안"
"18","후"
"19","두"
"20","손바닥"
"21","셔츠"
"22","이마"
"23","땀줄기"
"24","턱"
"25","끝"
"26","쥐색"
"27","섬유"
"28","재질"
"29","바닥"
"30","타들어가듯"
"31","이"
"32","두"
"33","아이"
"34","샌들"
"35","신고"
"36","각자"
"37","가방"
"38","트렁크"
"39","첫째"
"40","일곱"
"41","살"
"42","아들"
"43","녀석"
"44","가방"
"45","물놀이"
"46","필요한"
"47","튜브"
"48","물안경"
"49","따위"
"50","것"
"51","둘째"
"52","다섯"
"53","살"
"54","딸아이"
"55","가방"
"56","모래놀이"
"57","수"
"58","장난감"
"59","팔"
"60","이마"
"61","땀"
"62","하늘"
"63","여름"
"64","나"
"65","두"
"66","아이"
"67","가장"
"68","층"
"69","세"
"70","번"
"71","트렁크"
"72","바캉스"
"73","가족"
"74","짐"
"75","트렁크"
"76","년"
"77","진주색"
"78","소나타"
"79","승용차"
"80","로고"
"81","결혼"
"82","시작"
"83","무렵"
"84","차"
"85","당시"
"86","차"
"87","뉴"
"88","소나타"
"89","명칭"
"90","중형차"
"91","어디"
"92","리"
"93","정도"
"94","세월"
"95","수"
"96","소나타"
"97","상흔"
"98","나"
"99","안전운전주의자"
"100","때문"
"101","사고"
"102","적"
"103","아내"
"104","주차"
"105","실수"
"106","차"
"107","긁어먹은"
"108","적"
"109","뿐"
"110","알파벳"
"111","자"
"112","어디론가"
"113","곳곳"
"114","칠"
"115","상태"
"116","세차"
"117","어제"
"118","뭐"
"119","한"
"120","거야"
"121","아내"
"122","계단"
"123","아내"
"124","나"
"125","대화"
"126","아내"
"127","잔소리"
"128","거리낌"
"129","말"
"130","나"
"131","어제"
"132","무엇"
"133","반성"
"134","마음"
"135","절"
"136","어제"
"137","일"
"138","직장"
"139","박상무"
"140","얼굴"
"141","밖"
"142","떠오르질"
"143","눈"
"144","박상무가"
"145","검지"
"146","안경"
"147","나"
"148","모욕적"
"149","말"
"150","회사"
"151","그"
"152","두"
"153","강요"
"154","분위기"
"155","사실"
"156","나"
"157","어제"
"158","회사"
"159","그"
"160","둘"
"161","것"
"162","결심"
"163","아내"
"164","말"
"165","이번"
"166","여름휴가"
"167","중간"
"168","눈치"
"169","말"
"170","생각"
"171","아이스박스에"
"172","생수"
"173","커피"
"174","나"
"175","트렁크"
"176","아이스박스"
"177","아내"
"178","나"
"179","생각"
"180","차"
"181","에어컨"
"182","시동"
"183","라"
"184","말"
"185","귀"
"186","아이스박스"
"187","뚜껑"
"188","양념"
"189","식재료들이"
"190","일회용"
"191","비닐"
"192","팩"
"193","사각"
"194","통"
"195","빈틈하나"
"196","식재료들이"
"197","균형"
"198","땀"
"199","트렁크"
"200","바닥"
"201","내비게이션"
"202","강릉"
"203","해수욕장"
"204","나"
"205","소나타"
"206","차"
"207","거리"
"208","개의치"
"209","엄마"
"210","언제"
"211","도착해"
"212","수영해도"
"213","엄마"
"214","모래놀이"
"215","아이들"
"216","아내"
"217","일정"
"218","설명"
"219","도착"
"220","숙소"
"221","것"
"222","식사"
"223","한"
"224","후"
"225","바닷가"
"226","것"
"227","나"
"228","말"
"229","투"
"230","다정"
"231","정성"
"232","말"
"233","얼굴"
"234","크림"
"235","립스틱"
"236","첫째"
"237","뒤"
"238","투덜대자"
"239","아내"
"240","신경질적"
"241","에어컨"
"242","바람"
"243","쾌쾌한"
"244","냄새"
"245","공기"
"246","중"
"247","장거리"
"248","정비"
"249","나"
"250","한"
"251","달"
"252","전"
"253","얘기"
"254","한"
"255","달"
"256","야근한"
"257","것"
"258","너"
"259","출발"
"260","말다툼"
"261","입"
"262","애들"
"263","나"
"264","무심해"
"265","아내"
"266","실내"
"267","짜증"
"268","가득한"
"269","표정"
"270","언제부턴가"
"271","아내"
"272","나"
"273","소나타"
"274","결혼한"
"275","지"
"276","년"
"277","차"
"278","한"
"279","대"
"280","능력"
"281","거"
"282","소리"
"283","차"
"284","생각"
"285","중고차"
"286","시세"
"287","적"
"288","나"
"289","소나타"
"290","만원"
"291","수"
"292","차"
"293","문제"
"294","거"
"295","아이"
"296","둘"
"297","우리"
"298","집"
"299","평수는"
"300","아내"
"301","생각"
