"","noun"
"1","문"
"2","밤"
"3","소"
"4","리"
"5","나"
"6","밤"
"7","소리"
"8","수"
"9","남"
"10","소리"
"11","수"
"12","그것"
"13","밤"
"14","한해"
"15","가능"
"16","잎사귀"
"17","잎사귀들이바람"
"18","가랑가랑한"
"19","기침"
"20","소리"
"21","내"
"22","것"
"23","둥치"
"24","매미"
"25","허물"
"26","소리"
"27","철"
"28","대문"
"29","위"
"30","싸그락"
"31","싸그락"
"32","소리"
"33","트럭"
"34","차"
"35","위"
"36","고양이"
"37","소리"
"38","납작"
"39","고양이"
"40","차"
"41","위에서마지막"
"42","신음"
"43","내"
"44","소리들"
"45","수"
"46","나는"
"47","왼쪽"
"48","귀가"
"49","귀가"
"50","곳"
"51","수박씨만한"
"52","구멍"
"53","벽을"
"54","마주보고"
"55","모"
"56","나"
"57","어둠"
"58","속"
"59","손바닥"
"60","벽"
"61","돌올한"
"62","것들이"
"63","베이지색"
"64","바탕"
"65","노란색"
"66","꽃"
"67","엠보싱"
"68","벽지"
"69","꽃잎들이"
"70","손"
"71","나"
"72","그것들을"
"73","귀"
"74","상상"
"75","세"
"76","천여"
"77","개"
"78","꽃잎들"
"79","새끼"
"80","짐승"
"81","귀"
"82","꽃잎들"
"83","귀"
"84","끝"
"85","꽃잎들"
"86","톱니바퀴"
"87","동물"
"88","귀"
"89","생각"
"90","귀"
"91","방안"
"92","내"
"93","몸"
"94","머리카락"
"95","손톱"
"96","끝"
"97","어깨"
"98","둔부"
"99","음모"
"100","위"
"101","천"
"102","개"
"103","귀"
"104","천"
"105","개"
"106","상처"
"107","나"
"108","위무"
"109","시간"
"110","나"
"111","그것들을"
"112","천"
"113","개"
"114","귓속"
"115","차도"
"116","소음들이"
"117","사람"
"118","소리"
"119","희명"
"120","맨날"
"121","밤"
"122","근무"
"123","자청해서"
"124","자원"
"125","봉사자"
"126","반납"
"127","도"
"128","카트"
"129","책"
"130","저"
"131","자리"
"132","꽂다말고"
"133","철학"
"134","코너"
"135","수당을"
"136","주니깐"
"137","는"
"138","당연한"
