"","noun"
"1","박이"
"2","선"
"3","볼"
"4","바닷바람"
"5","부두"
"6","등진"
"7","월명산에도"
"8","연푸른"
"9","빛깔"
"10","한"
"11","달"
"12","벚꽃"
"13","산"
"14","꽃구경"
"15","사람들"
"16","산"
"17","터"
"18","산"
"19","고개"
"20","왼쪽"
"21","군산시내와"
"22","항구"
"23","이"
"24","해망굴이"
"25","자동차"
"26","한"
"27","대"
"28","수"
"29","정도"
"30","굴이"
"31","굴이"
"32","터널"
"33","해망굴은"
"34","일제강점기"
"35","우마차"
"36","통행"
"37","것"
"38","굴속"
"39","습기"
"40","서늘한"
"41","기분"
"42","입구"
"43","출구"
"44","몇"
"45","번"
"46","때쯤"
"47","밖"
"48","해망굴에서"
"49","이"
"50","길"
"51","양편"
"52","언제"
"53","집들이"
"54","허술하게"
"55","자리"
"56","신호등"
"57","내항"
"58","소쿠리"
"59","생선"
"60","리"
"61","생선가게"
"62","이"
"63","몇"
"64","마리"
"65","개"
"66","도둑고양이"
"67","가게"
"68","아낙들"
"69","좌판"
"70","노점"
"71","지점"
"72","이란"
"73","간판"
"74","군산항은"
"75","하루"
"76","두"
"77","번"
"78","밀물"
"79","썰물"
"80","물"
"81","가"
"82","저"
"83","아래"
"84","뻘밭"
"85","것"
"86","요런"
"87","날"
"88","있을랑게"
"89","삭신"
"90","모자를"
"91","눌러쓴"
"92","노인"
"93","도선장"
"94","대기실문"
"95","소리"
"96","말"
"97","그"
"98","가래"
"99","기세"
"100","황"
"101","선장님"
"102","심심하시지라"
"103","부교"
"104","숨"
"105","박"
"106","기사"
"107","그"
"108","부교"
"109","정박한"
"110","배"
"111","홋줄을"
"112","소일"
"113","사람"
"114","물이"
"115","찰라믄"
"116","벌써"
"117","시작"
"118","자"
"119","시간이믄"
"120","물"
"121","방방해질"
"122","것"
"123","황"
"124","선장"
"125","노인"
"126","눈"
"127","장항을"
"128","제련소"
"129","굴뚝"
"130","위용"
"131","고개"
"132","오른쪽"
"133","금강하구둑"
"134","내항"
"135","물"
"136","때"
"137","어선"
"138","여객선"
"139","입출항"
"140","물"
"141","때문"
"142","배"
"143","배"
"144","한"
"145","뿐"
"146","그것"
"147","퇴적토"
"148","준설선"
"149","날"
"150","군산"
"151","앞바다"
"152","모래"
"153","수"
"154","그것"
"155","선박"
"156","입출항이"
"157","그동안"
"158","퇴적토"
"159","외항"
"160","쪽"
"161","그"
"162","인공"
"163","하나"
"164","그곳"
"165","여"
"166","개발해서"
"167","말"
"168","미쳤다고"
"169","물길"
"170","저"
"171","염병"
"172","허능가"
"173","황선장은"
"174","뿌연"
"175","봄기운속"
"176","희미하게"
"177","금강하구둑"
"178","퉁명"
"179","말"
"180","못마땅한"
"181","표정"
"182","준설선"
"183","한마디"
"184","것"
"185","안"
"186","혀"
"187","일"
"188","황"
"189","선장"
"190","말"
"191","박"
"192","기사"
"193","하루"
"194","하구둑"
"195","준설선"
"196","악담"
"197","것"
"198","때문"
"199","박"
"200","기사"
"201","통"
"202","담배"
"203","선장님이"
"204","물길"
"205","수"
"206","그는"
"207","담배연기"
"208","황"
"209","선장"
"210","얼굴"
"211","주름"
"212","소금기"
"213","쩔어"
"214","인생"
"215","도선장"
"216","문"
"217","것"
"218","않소"
"219","나"
"220","시절"
"221","한번"
"222","세월"
"223","황"
"224","선장"
"225","대꾸"
"226","박"
"227","기사"
"228","통"
"229","부교"
"230","낚시"
"231","망둥어와"
"232","놀래미"
"233","몇"
"234","마리"
"235","거품"
"236","황"
"237","선장"
"238","군침"
"239","박"
"240","기사"
"241","재촉"
"242","가서"
"243","요기"
"244","앞장서서"
"245","휘적휘적"
"246","시작"
"247","박"
"248","기사"
"249","담배"
"250","지"
"251","황"
"252","선장"
"253","두"
"254","사람"
"255","해주식당이라"
"256","문"
"257","저녁손님"
"258","준비"
"259","해주댁이"
"260","고개"
"261","눈인사"
"262","어서"
"263","여기"
"264","쐬주"
"265","한"
"266","병"
"267","주구"
"268","안주"
"269","있응게"
"270","마치"
"271","자기"
"272","안사람"
"273","듯"
"274","목소리"
"275","황"
"276","선장"
"277","말투"
"278","해주댁은"
"279","불평"
"280","박"
"281","기사"
"282","생선"
"283","에구"
"284","손질"
"285","복잡헌디"
"286","앉아계시요"
"287","나"
"288","하나"
"289","황"
"290","선장"
"291","맥주잔"
"292","두개"
"293","소주"
"294","후"
"295","물마시듯"
"296","한"
"297","모금"
"298","조개젓갈"
"299","짭짤한"
"300","맛"
"301","그것"
"302","성"
"303","차"
"304","한"
"305","모금"
"306","두"
"307","모금"
"308","다음"
"309","황"
"310","선장"
"311","입"
"312","박"
"313","기사"
"314","자네도"
"315","여그를"
"316","박기사는"
"317","웃음"
"318","선장님이"
"319","똥"
"320","강아지"
"321","맨키로"
"322","여그를"
"323","것"
"324","이치"
"325","아니것소"
"326","도선장"
"327","일해"
"328","것"
"329","몇"
"330","년인디"
"331","디"
"332","하긴"
"333","도선장"
"334","문"
"335","이후"
"336","박"
"337","기사"
"338","일"
"339","전전"
"340","어선"
"341","부"
"342","염전"
"343","일"
"344","얼마"
"345","것"
"346","선장님이"
"347","군장정기선"
"348","운항헐"
"349","때"
"350","박기사는"
"351","눈"
"352","때"
"353","황"
"354","선장"
"355","군산과"
"356","장항을"
"357","오"
"358","정기선"
"359","선장"
"360","금강하구둑"
"361","전"
"362","하루"
"363","회"
"364","운항"
"365","아침저녁"
"366","학생들이"
"367","군산으로"
"368","물건"
"369","장사치"
"370","장항제련소에서"
"371","일"
"372","노동자들"
"373","황"
"374","선장"
"375","운항하는"
"376","정기선"
"377","이용"
"378","금강하구둑"
"379","이용객"
"380","몇"
"381","년"
"382","전"
"383","도선장"
"384","문"
"385","것"
"386","그"
"387","때"
"388","좋았재"
"389","자네"
"390","맨키로"
"391","홋줄"
"392","사람"
"393","황"
"394","선장"
"395","고개"
"396","박"
"397","기사"
"398","말"
"399","맞장구"
"400","때"
"401","군장정기선"
"402","조수"
"403","사람"
"404","박"
"405","기사"
"406","사람"
"407","고리"
"408","뱃머리"
"409","채비"
"410","사람"
"411","파도"
"412","뱃머리"
"413","홋줄을"
"414","한손"
"415","정확하게"
"416","부교"
"417","볼라드에"
"418","것"
"419","신기"
"420","정도"
"421","파도"
"422","날"
"423","홋줄작업에"
"424","시간"
"425","그"
"426","정박"
"427","때문"
"428","황"
"429","선장"
"430","박"
"431","기사"
"432","인자"
"433","홋줄"
"434","일"
"435","일"
"436","밖"
"437","박"
"438","기사"
"439","힘줄"
"440","주먹"
"441","치켜들며"
"442","목소리"
"443","이상"
"444","배"
"445","홋줄"
"446","일"
"447","부교"
"448","낚시"
"449","정박하러온"
"450","배"
"451","홋줄을"
"452","볼라드에"
"453","일"
"454","전부"
"455","안면"
"456","어선"
"457","생선"
"458","해주식당으로"
"459","모습"
"460","때"
"461","황"
"462","선장"
"463","안쓰러운"
"464","마음"
"465","두"
"466","사람"
"467","이야기"
"468","술잔"
"469","바닥"
"470","해주댁이"
"471","냄비"
"472","하나"
"473","빈속에"
"474","술"
"475","이"
"476","냄비속"
"477","얼큰한"
"478","매운탕"
"479","군침"
"480","황"
"481","선장"
"482","군침"
"483","것"
"484","해주댁이"
"485","토라진"
"486","표정"
"487","말"
"488","선장님"
"489","세월"
"490","까묵고"
"491","내"
"492","고향"
"493","언제"
"494","데"
"495","줄"
"496","거유"
"497","황"
"498","선장"
"499","국물"
"500","입"
"501","오리"
"502","쩝쩝거리고"
"503","해주댁은"
"504","대답"
"505","자리"
"506","어허"
"507","보랑께"
"508","세상"
"509","변하믄"
"510","나"
"511","데"
"512","또"
"513","기다"
"514","말유"
"515","꼬부랑"
"516","할망구"
"517","되"
"518","시원치는"
"519","대답"
"520","투"
"521","도"
"522","위"
"523","생선"
"524","손질하기"
"525","시작"
"526","황"
"527","선장"
"528","해주댁"
"529","뒷모습"
"530","해주댁이"
"531","식당일"
"532","시작한"
"533","것"
"534","황해도"
"535","해주에서"
"536","배"
"537","피난"
"538","남편"
"539","이후"
"540","남편"
"541","조선기술자"
"542","군산에"
"543","터"
"544","배"
"545","아이들"
"546","여기"
"547","학교"
"548","세상사"
"549","재미"
"550","시작"
"551","때"
"552","선거"
"553","배"
"554","바람"
"555","남편"
"556","추락"
