"","noun"
"1","지"
"2","얼룩"
"3","주머니"
"4","수"
"5","그날"
"6","나"
"7","공항"
"8","소도시"
"9","여백"
"10","책"
"11","한"
"12","권"
"13","참새"
"14","애인"
"15","결별"
"16","통보"
"17","이사한"
"18","지"
"19","한"
"20","달"
"21","채"
"22","날"
"23","날씨"
"24","하와이처럼"
"25","청명"
"26","하와이에"
"27","적"
"28","말"
"29","문제"
"30","발단"
"31","밥솥"
"32","팬암사"
"33","로고"
"34","밥솥"
"35","세상"
"36","빈티"
"37","실용성"
"38","밥물"
"39","보온성"
"40","것"
"41","밥"
"42","중"
"43","전원"
"44","이사한"
"45","지"
"46","얼마"
"47","않아서였다"
"48","밥솥"
"49","것"
"50","집"
"51","안"
"52","전원"
"53","나"
"54","바람"
"55","두꺼비집"
"56","문제"
"57","줄"
"58","꼭대기"
"59","층"
"60","주인"
"61","할머니"
"62","말"
"63","할머니"
"64","수리공"
"65","대동"
"66","대답"
"67","나"
"68","어떤"
"69","제품"
"70","문제"
"71","것"
"72","였다"
"73","밥솥"
"74","분명"
"75","전원"
"76","것"
"77","밥솥"
"78","클라이맥스"
"79","밥"
"80","칙칙"
"81","연기"
"82","나"
"83","시작"
"84","순간"
"85","때문"
"86","문제"
"87","밥솥"
"88","애인"
"89","선물"
"90","거"
"91","상상"
"92","수"
"93","이사"
"94","후"
"95","뜸해지긴"
"96","거"
"97","그녀"
"98","취미"
"99","생활"
"100","주의해"
"101","애인"
"102","밥솥"
"103","하나"
"104","얼마"
"105","창조적"
"106","수"
"107","여자"
"108","그녀"
"109","선물"
"110","임의"
"111","오랫동안"
"112","것"
"113","소리"
"114","옷장"
"115","비"
"116","한밤중"
"117","밥"
"118","내"
"119","어깨"
"120","목욕"
"121","불길한"
"122","예감"
"123","방언"
"124","그녀"
"125","모습"
"126","상상"
"127","거"
"128","일"
"129","나"
"130","여섯"
"131","살"
"132","그녀"
"133","신경증"
"134","성격장애"
"135","신경증"
"136","사람"
"137","배려"
"138","과해"
"139","자신"
"140","성격장애인"
"141","사람"
"142","남"
"143","망정"
"144","본인"
"145","태연자약하기"
"146","마련"
"147","그녀"
"148","신기하게"
"149","둘"
"150","한"
"151","몸"
"152","자연"
"153","장착"
"154","의심"
"155","흥분"
"156","타입"
"157","문자"
"158","답"
"159","무슨"
"160","일"
"161","로"
"162","시작해"
"163","이제"
"164","나"
"165","거지"
"166","것"
"167","로"
"168","채"
"169","분"
"170","그녀"
"171","직업"
"172","나"
"173","인"
"174","셈"
"175","아침"
"176","밤"
"177","자신"
"178","일상"
"179","그것"
"180","자신"
"181","때"
"182","시시콜콜"
"183","후"
"184","반응"
"185","내"
"186","질문"
"187","한"
"188","후"
