"","noun"
"1","임아"
"2","라"
"3","디타"
"4","일"
"5","토요일"
"6","토요일"
"7","토요일"
"8","나"
"9","노래"
"10","가사"
"11","나"
"12","토요일"
"13","단순한"
"14","닉네임"
"15","닉네임"
"16","이름"
"17","매력적"
"18","나"
"19","동경"
"20","스트립"
"21","댄서"
"22","이름"
"23","두"
"24","글자"
"25","닉네임"
"26","디타"
"27","나"
"28","매표소"
"29","구멍"
"30","동전"
"31","전"
"32","재산"
"33","풍선껌"
"34","나"
"35","은박지"
"36","껌"
"37","껌"
"38","입"
"39","은박지"
"40","그것"
"41","수"
"42","버스정거장"
"43","버스"
"44","할머니"
"45","내"
"46","치마"
"47","혀"
"48","나"
"49","보"
"50","듯"
"51","은박지"
"52","도로"
"53","약속시간"
"54","그"
"55","그"
"56","것"
"57","마지막"
"58","껌"
"59","입"
"60","때"
"61","나"
"62","택시"
"63","그"
"64","토요일"
"65","거"
"66","그"
"67","말"
"68","택시"
"69","노란색"
"70","너"
"71","디타니"
"72","그"
"73","나"
"74","나"
"75","대답"
"76","대"
"77","껌"
"78","보도블럭"
"79","껌"
"80","새똥"
"81","나"
"82","택시"
"83","택시"
"84","출발하자"
"85","은박지"
"86","가루"
"87","사방"
"88","나"
"89","땀"
"90","앞머리"
"91","그"
"92","버튼"
"93","에어컨"
"94","작동"
"95","몇"
"96","살"
"97","데"
"98","대학생"
"99","것"
"100","그"
"101","것"
"102","나"
"103","불쾌"
"104","아저씨"
"105","돈"
"106","줄"
"107","수"
"108","것"
"109","택시"
"110","것"
"111","돈"
"112","데"
"113","이번"
"114","그"
"115","불쾌"
"116","택시"
"117","안"
"118","공기"
"119","백미러"
"120","커피콩"
"121","자루"
"122","그"
"123","건물"
"124","주차장"
"125","차"
"126","것"
"127","건물"
"128","적"
"129","한적"
"130","우리"
"131","확실하게"
"132","탈"
"133","그"
"134","말"
"135","나"
"136","서류"
"137","그"
"138","그"
"139","나"
"140","신분"
"141","신중하게"
"142","검토"
