"","noun"
"1","류희"
"2","병"
"3","회전목"
"4","마"
"5","청운고시원"
"6","푸른빛"
"7","구름"
"8","이름"
"9","것"
"10","구름"
"11","이상"
"12","빨강이"
"13","파랑"
"14","노랑이"
"15","마찬가지"
"16","거창한"
"17","입신출세"
"18","뜻"
"19","것"
"20","군사부일체"
"21","고물상"
"22","지"
"23","한참"
"24","시대"
"25","훈장노릇"
"26","벼슬"
"27","청운"
"28","꿈"
"29","운운"
"30","무보증"
"31","월"
"32","만원"
"33","밥"
"34","김치제공"
"35","푸른빛"
"36","구름"
"37","출세"
"38","의미"
"39","별개"
"40","어딘가"
"41","탈속적"
"42","신비주의적"
"43","뭔가"
"44","몽롱한"
"45","이름"
"46","세속적"
"47","현실적"
"48","이유"
"49","그"
"50","이곳"
"51","선택"
"52","곳"
"53","이곳"
"54","누구"
"55","자신"
"56","이곳"
"57","것"
"58","사람"
"59","믿음"
"60","의지만"
"61","이곳"
"62","힘"
"63","자신"
"64","삶"
"65","고시원"
"66","바닥"
"67","전전"
"68","인생들"
"69","근본적"
"70","확신"
"71","그들"
"72","모두"
"73","눈빛"
"74","그래서였을"
"75","것"
"76","이곳"
"77","관계"
"78","것"
"79","뿐"
"80","벽"
"81","쪽"
"82","미세한"
"83","옆방"
"84","녀석"
"85","여자"
"86","친구"
"87","모양"
"88","벽"
"89","합판"
"90","위"
"91","벽지"
"92","것"
"93","전부"
"94","그"
"95","입맞춤"
"96","몸놀림"
"97","하나하나"
"98","딴"
"99","신경"
"100","소리"
"101","자제"
"102","듯"
"103","숨소리"
"104","파편"
"105","시원하게"
"106","신음소리"
"107","신경"
"108","이"
"109","민폐"
"110","말"
"111","여기"
"112","자기들"
"113","안방"
"114","고시원"
"115","기침"
"116","방귀"
"117","것"
"118","법도"
"119","남"
"120","가지"
"121","슬기"
"122","조절"
"123","알레르기성"
"124","비염"
"125","자신"
"126","처음"
"127","적응"
"128","애"
"129","재채기"
"130","한"
"131","번"
"132","시작"
"133","서너"
"134","번"
"135","예닐곱"
"136","번"
"137","열"
"138","번"
"139","속사포"
"140","형국"
"141","눈치"
"142","수"
"143","것"
"144","개발한"
"145","방법"
"146","이"
"147","였다"
"148","재채기"
"149","때"
"150","입술"
"151","채"
"152","이"
"153","재채기"
"154","폭발력"
"155","대부분"
"156","콧구멍"
"157","대포"
"158","대"
"159","소총"
"160","격"
"161","소리"
"162","콧구멍"
"163","귓구멍"
"164","먹먹한"
"165","것"
"166","감수"
"167","옆방"
"168","진동"
"169","성질"
"170","주먹"
"171","벽"
"172","한"
"173","번"
"174","쾅"
"175","저"
"176","인간"
"177","분노"
"178","사랑"
"179","공간"
"180","부재한"
"181","한"
"182","청춘남녀"
"183","현실"
"184","주먹질"
"185","포기하게"
"186","이것"
"187","수양"
"188","그"
"189","눈"
"190","잠"
"191","옆방"
"192","진동"
"193","상상력"
"194","발휘"
"195","자신"
"196","의사"
"197","아랫도리"
"198","수"
"199","입대하기"
"200","전"
"201","소주잔"
"202","날"
"203","예비역"
"204","선배"
