"","noun"
"1","권"
"2","항"
"3","농담"
"4","충분한"
"5","밤"
"6","주소"
"7","동생"
"8","집"
"9","여섯"
"10","평"
"11","원룸"
"12","냉장고"
"13","구식"
"14","텔레비전"
"15","것"
"16","옵션"
"17","처분"
"18","옷가지들"
"19","나"
"20","것"
"21","대부분"
"22","책"
"23","일기장"
"24","것"
"25","동생"
"26","사흘"
"27","전"
"28","월세"
"29","지불"
"30","집주인"
"31","하루"
"32","동생"
"33","자취"
"34","없애주길"
"35","의도"
"36","분명"
"37","나"
"38","열쇠"
"39","정리"
"40","말"
"41","주인"
"42","하루"
"43","한"
"44","번"
"45","오층"
"46","계단"
"47","재촉"
"48","하루"
"49","이틀"
"50","사실"
"51","말"
"52","한두"
"53","시간"
"54","정리"
"55","시간"
"56","충분한"
"57","것"
"58","동생"
"59","자살한"
"60","것"
"61","배려"
"62","때문"
"63","말"
"64","어제"
"65","마지막"
"66","이틀"
"67","시간"
"68","해달라고"
"69","말하기"
"70","애매한"
"71","주인"
"72","여자"
"73","방"
"74","두"
"75","자매"
"76","시체"
"77","일"
"78","거"
"79","염려"
"80","남편"
"81","아이"
"82","전화"
"83","집"
"84","그저께"
"85","어제"
"86","짜증"
"87","동생"
"88","유골함"
"89","일"
"90","방"
"91","귀퉁이"
"92","꿈"
"93","사내"
"94","내"
"95","말"
"96","어제"
"97","밤"
"98","오늘"
"99","새벽"
"100","시간"
"101","나"
"102","벽"
"103","사내"
"104","눈"
"105","동생"
"106","방"
"107","밤"
"108","낮"
"109","밤"
"110","창"
"111","암막"
"112","커튼"
"113","동면하는"
"114","짐승"
"115","만큼"
"116","소음"
"117","밤낮"
"118","귀"
"119","컹컹"
"120","어디선가"
"121","개"
"122","두"
"123","번"
"124","나"
"125","것"
"126","창문"
"127","어둠"
"128","속"
"129","도시"
"130","달"
"131","별"
"132","도시"
"133","산"
"134","실루엣"
"135","불빛"
"136","새"
"137","창"
"138","허공"
"139","속"
"140","사내"
"141","나"
"142","창문"
"143","때"
"144","거미"
"145","벽"
"146","나"
"147","눈"
"148","순간"
"149","그"
"150","벽"
"151","몸"
"152","밀착"
"153","채"
"154","누군가"
"155","눈길"
"156","것"
"157","보호색"
"158","거대한"
"159","파충류"
"160","벽"
"161","벽"
"162","일부"
"163","사내"
"164","오른손"
"165","배관"
"166","왼손"
"167","검지"
"168","입술"
"169","아래"
"170","사내"
"171","입술"
"172","가로"
"173","사내"
"174","나"
"175","순간"
"176","나"
"177","우리"
"178","숨바꼭질"
"179","중"
"180","아이들"
"181","술래"
"182","나"
"183","마지막"
"184","아이"
"185","것"
"186","단순"
"187","놀이"
"188","한"
"189","아이"
"190","모두들"
"191","아이"
"192","놀이"
"193","집"
"194","사내"
"195","나"
"196","체격"
"197","가늠"
"198","수"
"199","눈동자"
"200","빛"
"201","내"
"202","어둠"
"203","속"
"204","것"
"205","외국인"
"206","고개"
"207","사내"
"208","아래"
"209","쓰레기들이"
"210","벽돌담"
"211","공장"
"212","굴뚝"
"213","연기"
"214","어둠"
"215","속"
"216","년"
"217","만"
"218","동생"
"219","때"
"220","나"
"221","우리"
"222","자매"
"223","사실"
"224","의심"
"225","아버지"
"226","어머니"
"227","이혼"
"228","날"
"229","동생"
"230","어머니"
"231","옷자락"
"232","나"
"233","아버지"
"234","등"
"235","뒤"
"236","이유"
"237","우리"
"238","각자"
"239","어머니"
"240","아버지"
"241","두"
"242","분"
"243","일"
"244","동생"
"245","나"
"246","애초"
"247","인연"
"248","사람"
"249","한번"
"250","두"
"251","분"
"252","세상"
"253","사람"
"254","때"
"255","동생"
"256","의아하게"
"257","나"
"258","기억"
"259","모습"
"260","원피스"
"261","구두"
"262","나비"
"263","리본"
"264","머리띠"
"265","내"
"266","남"
"267","동생"
"268","이미지는"
"269","얼굴"
"270","색"
"271","색"
"272","강렬해서"
"273","나"
"274","동생"
"275","화려한"
"276","여자"
"277","것"
"278","막연하게"
"279","생각"
"280","열두"
"281","살"
"282","아이"
"283","기억"
"284","정도"
"285","동생"
"286","바바리"
"287","뒤"
"288","탄력"
"289","머리카락"
"290","나"
"291","남"
"292","기차"
"293","시간"
"294","손가락"
"295","세"
"296","눈물"
"297","질금거리며"
"298","동생"
"299","이모"
"300","기억"
"301","밖"
"302","모습이긴"
"303","마찬가지"
"304","나"
"305","아줌마"
"306","카페"
"307","창밖"
"308","벚꽃잎"
"309","팔공산"
"310","자락"
"311","산골짜기"
"312","오후"
"313","나"
"314","기억"
"315","그날"
"316","아이"
"317","문제"
"318","학교"
"319","담"
"320","전화"
"321","혈액투석"
"322","시어머니"
"323","응급실"
"324","시누이"
"325","전화"
"326","담"
"327","전화"
"328","대구역"
"329","때쯤"
"330","시누이"
"331","전화"
"332","찻집"
"333","동생"
"334","때쯤"
"335","향기로운"
"336","산내음을"
"337","나"
"338","동생"
"339","얼굴"
"340","년"
"341","동생"
"342","방"
"343","나"
"344","오전"
"345","지면"
"346","소리"
"347","투다다다다"
"348","어디선가"
"349","굴착"
"350","공사"
"351","도"
"352","소리"
"353","뙤약볕"
"354","야구장"
"355","함성"
"356","실책"
"357","한"
"358","수"
"359","수천"
"360","명"
"361","관중"
"362","일시"
"363","야유"
"364","우와와와와"
"365","날"
"366","날"
"367","동생"
"368","전날"
"369","밤"
"370","일"
"371","말"
"372","어젯밤"
"373","쥐"
"374","지난밤"
"375","유산"
"376","식"
"377","말"
"378","나"
"379","니가"
"380","쥐"
"381","나"
"382","코끼리"
"383","라"
"384","나"
"385","인간"
"386","하나씩"
"387","오늘"
"388","명"
"389","대꾸"
"390","날"
"391","동생"
"392","간밤"
"393","아이"
"394","라"
"395","아랫배"
"396","업"
"397","아이"
"398","등"
"399","뒤"
"400","나"
"401","전"
"402","동생"
"403","자궁"
"404","수술"
"405","것"
"406","나"
"407","애"
"408","어디"
"409","나"
"410","대꾸"
"411","것"
"412","데"
"413","동생"
"414","진지한"
"415","표정"
"416","그때"
"417","나"
"418","동생"
"419","줄"
"420","나"
"421","농담"
"422","뿐"
"423","의미"
"424","거"
"425","것"
"426","농담"
"427","농담"
"428","의미"
"429","거"
"430","부"
"431","동생"
"432","어머니"
"433","것"
"434","나"
"435","아버지"
"436","것"
"437","우리"
"438","년"
"439","것"
"440","일"
"441","년"
"442","두세"
"443","번"
"444","사이"
"445","것"
"446","누군가"
"447","작정"
"448","상황"
"449","것"
"450","우스꽝"
"451","농담"
"452","한"
"453","마디"
"454","만한"
"455","것"
"456","것"
"457","그날"
"458","마찬가지"
"459","동생"
"460","내"
"461","집"
"462","나"
"463","서울엔"
"464","일"
"465","것"
"466","잘못"
"467","동생"
"468","볼일"
"469","대답"
"470","때"
"471","볼일"
"472","거"
"473","잘못"
"474","나"
"475","언니"
"476","동생"
"477","볼일"
"478","나"
"479","여행"
"480","하와이에서"
"481","구입한"
"482","코"
"483","커피"
"484","동생"
"485","잔"
"486","커피"
"487","잔"
"488","소파"
"489","깊숙하게"
"490","몸"
"491","채"
"492","하와이가"
"493","향"
"494","기"
"495","감탄"
"496","언니"
"497","마지막"
"498","순간"
"499","향"
"500","눈"
"501","수"
"502","텐데"
"503","그치"
"504","황홀"
"505","것"
"506","캐나다에서"
"507","때"
"508","인기"
"509","자살"
"510","방법"
"511","뭔"
"512","줄"
"513","나"
"514","때"
"515","동생"
"516","눈치"
"517","방법"
"518","커피"
"519","관련"
"520","것"
"521","질소"
"522","관련"
"523","것"
"524","나"
"525","동생"
"526","잔"
"527","커피"
"528","말"
"529","것"
"530","너"
"531","거"
"532","탈출봉지"
"533","마지막"
"534","비상구"
"535","오스트레일리아"
"536","봉지"
"537","한다나"
"538","나라"
"539","시판"
"540","했대잖아"
"541","법"
"542","탈출"
"543","봉지"
"544","근데"
"545","질소"
"546","뭐"
"547","비닐봉지"
"548","것"
"549","드로스트링을"
"550","이용"
"551","것"
"552","산소"
"553","부족"
"554","페닉"
"555","상태"
"556","줄"
"557","질소"
"558","봉지"
"559","안"
"560","넣어준대"
"561","숨"
"562","것"
"563","나"
"564","어디선가"
"565","얘기"
"566","인간"
"567","돈벌이"
"568","환장한"
"569","인간"
"570","죽음"
"571","자유"
"572","구속"
"573","법"
"574","말"
"575","것"
"576","하와이와"
"577","커피"
"578","농담"
"579","동생"
"580","나"
"581","농담"
"582","사이"
"583","질소"
"584","대"
"585","커피"
"586","황홀"
"587","거"
"588","뭐"
"589","얘기"
"590","말"
"591","동생"
"592","그날"
"593","밤"
"594","죽"
"595","사람"
"596","동생"
"597","커피"
"598","불현"
"599","듯"
"600","베트남"
"601","쌀국수가"
"602","집"
"603","근처"
"604","식당"
"605","베트남"
"606","쌀국수"
"607","맛"
"608","기"
"609","한"
"610","번"
"611","나"
"612","나"
"613","음식"
"614","국수"
"615","한"
"616","그릇"
"617","서울에서"
"618","대구"
"619","수"
"620","일"
"621","언제"
"622","기회"
"623","동생"
"624","나"
"625","뭐"
"626","말"
"627","말"
"628","언제"
"629","한"
"630","번"
"631","기약"
"632","무방한"
"633","약속"
"634","동생"
"635","남편"
"636","퇴근하기"
"637","전"
"638","나"
"639","식"
"640","말"
"641","동생"
"642","남편"
"643","한번"
"644","어색하게"
"645","자리"
"646","정도"
"647","예의"
"648","표"
"649","동생"
"650","거실"
"651","남편"
"652","안방"
"653","채"
"654","필요한"
"655","것"
"656","때"
"657","나"
"658","동생"
"659","방"
"660","남편"
"661","거실"
"662","파자마"
"663","소파"
"664","텔레비전"
"665","남편"
"666","태도"
"667","트집"
"668","생각"
"669","그"
"670","동생"
"671","날"
"672","옆집"
"673","아줌마"
"674","바"
"675","거"
"676","나"
"677","나"
"678","동생"
"679","것"
"680","적"
"681","동생"
"682","한"
"683","번"
"684","내"
"685","집"
"686","적"
"687","나"
"688","남편"
"689","승진"
"690","아이"
"691","진학"
"692","문제"
"693","주부"
"694","가정"
"695","때문"
"696","동생"
"697","집"
"698","적"
"699","커피"
"700","동생"
"701","뒤"
"702","소파"
"703","동생"
"704","비닐봉지"
"705","그날"
"706","밤"
"707","밤"
"708","길"
"709","것"
"710","잘못"
"711","어제"
"712","밤"
"713","원룸"
"714","뒤쪽"
"715","골목"
"716","한"
"717","바퀴"
"718","것"
"719","그"
"720","길"
"721","각종"
"722","폐지"
"723","고철덩어리들이"
"724","채"
"725","고물상"
"726","고물상"
"727","마당"
"728","허리"
"729","노인"
"730","리어카"
"731","옆"
"732","조악한"
"733","글씨"
"734","베트남"
"735","쌀국수"
"736","간판"
"737","몇몇"
"738","외국"
"739","사내들이"
"740","앞"
"741","담배"
"742","고물상"
"743","뒤"
"744","산재한"
"745","조립식"
"746","건물들"
"747","굴뚝"
"748","연기"
"749","연기들"
"750","회색"
"751","푸른빛"
"752","한"
"753","방향"
"754","허공"
"755","속"
"756","공단"
"757","소음덩어리들이"
"758","무리"
"759","몰려다니다가"
"760","무수한"
"761","자동차"
"762","소리"
"763","동생"
"764","방"
"765","창"
"766","풍경들이"
"767","소리들이"
"768","곳"
"769","길"
"770","줄"
"771","동생"
"772","방"
"773","내"
"774","곳"
"775","거기"
"776","동생"
"777","방"
"778","창문"
"779","마땅"
"780","창문"
"781","곳"
"782","곳"
"783","것"
"784","문제"
"785","밤"
"786","어둠"
"787","완강한"
"788","질서"
"789","굴복"
"790","방"
"791","불"
"792","층"
"793","주차장"
"794","포함"
"795","층"
"796","동생"
"797","방"
"798","창"
"799","데"
"800","나"
"801","곳"
"802","나"
"803","가늠한"
"804","방향"
"805","수"
"806","쓰레기"
"807","봉지"
"808","발"
"809","건물"
"810","끼"
"811","고물상"
"812","베트남"
"813","쌀국수"
"814","간판"
"815","일"
"816","전"
"817","동생"
"818","유골"
"819","지하철역"
"820","수"
"821","것"
"822","지하철역"
"823","길"
"824","물"
"825","데"
"826","외국"
"827","사내들"
"828","자기"
"829","나"
"830","말"
"831","리어카"
"832","노인"
"833","아무"
"834","순간"
"835","동네"
"836","건물"
"837","불"
"838","창"
"839","불빛"
"840","서너"
"841","번"
"842","그것"
"843","시작"
"844","창"
"845","저"
"846","창"
"847","신호"
"848","불"
"849","시작"
"850","동네"
"851","전체"
"852","불꽃놀이"
"853","수천"
"854","개"
"855","불빛들이"
"856","고개"
"857","치켜들고"
"858","동생"
"859","방"
"860","창"
"861","나"
"862","멀미"
"863","오른쪽"
"864","방향"
"865","왼쪽"
"866","골목"
"867","원룸"
"868","일주일"
"869","나"
"870","창"
"871","골목"
"872","곳"
"873","나"
"874","골목"
"875","것"
"876","건물"
"877","굴뚝"
"878","하늘"
"879","것"
"880","골목"
"881","모퉁이"
"882","벽"
"883","나"
"884","조롱"
"885","나"
"886","위협적"
"887","이"
"888","것"
"889","나"
"890","골목"
"891","골목"
"892","수십"
"893","번"
"894","동생"
"895","집"
"896","엉뚱한"
"897","곳"
"898","내"
"899","눈"
"900","건물"
"901","이름"
"902","것"
"903","생각지"
"904","지점"
"905","건물"
"906","나"
"907","한번"
"908","밤"
"909","방향"
"910","작정"
"911","정황상"
"912","동생"
"913","죽음"
"914","자살"
"915","죽"
"916","동생"
"917","왼발"
"918","검정색"
"919","오른발"
"920","빨간색"
"921","양말"
"922","짝짝이"
"923","신고"
"924","것"
"925","정상적"
"926","정신상태"
"927","말"
"928","결정적"
"929","증거"
"930","새도우나"
"931","루즈"
"932","개통"
"933","휴대폰"
"934","것들이"
"935","때"
"936","마트나"
"937","전자대리점"
"938","것"
"939","분명"
"940","경찰"
"941","말"
"942","동생"
"943","두"
"944","번"
"945","절"
"946","전과"
"947","절"
"948","수배"
"949","중"
"950","나"
"951","동생"
"952","방"
"953","새끼손가락"
"954","끝"
"955","마디만한"
"956","물건"
"957","개"
"958","때"
"959","동생"
"960","불면증"
"961","것"
"962","생각"
"963","커피"
"964","잠"
"965","상관관계"
"966","대해"
"967","귀마개와"
"968","짝짝이"
"969","양말"
"970","관계"
"971","생각"
"972","인터폰"
"973","화"
"974","남자"
"975","얼굴"
"976","신분증"
"977","사람"
"978","둘"
"979","경찰"
"980","아침"
"981","아홉"
"982","시"
"983","지난밤"
"984","새벽인가"
"985","창밖"
"986","소리"
"987","것"
"988","나"
"989","인상"
"990","그"
"991","입"
"992","때"
"993","나"
"994","귀"
"995","속"
"996","손가락"
"997","귀마개를"
"998","뭐"
"999","경찰"
"1000","중"
"1001","하나"
"1002","짜증내"
"1003","소리"
"1004","건물"
"1005","사람"
"1006","밤"
"1007","소리"
"1008","비명"
"1009","소리라"
"1010","소리라"
"1011","뭐"
"1012","소리"
"1013","것"
"1014","그"
"1015","높이"
"1016","몇"
"1017","층"
"1018","말"
"1019","나"
"1020","손바닥"
"1021","그들"
"1022","두"
"1023","경찰"
"1024","내"
"1025","손바닥"
"1026","원뿔형"
"1027","귀마개"
"1028","두"
"1029","개"
"1030","손바닥"
"1031","이"
"1032","얼굴"
"1033","경찰"
"1034","귀마개를"
"1035","거"
"1036","말"
"1037","곁"
"1038","경찰"
"1039","눈"
"1040","그"
"1041","동료"
"1042","질문"
"1043","자신"
"1044","질문"
"1045","수사"
"1046","도움"
"1047","눈치"
"1048","죄송한데"
"1049","얼마"
"1050","전"
"1051","동생분"
"1052","여기"
"1053","주인"
"1054","그거"
"1055","상관"
"1056","일"
"1057","뭐"
"1058","거"
"1059","것"
"1060","데"
"1061","정리"
"1062","내"
"1063","말"
"1064","경찰"
"1065","집안"
"1066","내"
"1067","연락처"
"1068","휴대폰"
"1069","번호"
"1070","이름"
"1071","적"
"1072","그"
"1073","고개"
"1074","소리"
"1075","말"
"1076","라"
"1077","차트"
"1078","뭔가"
"1079","끄적였다"
"1080","소리"
"1081","볼펜"
"1082","차트"
"1083","야릇한"
"1084","눈빛"
"1085","나"
"1086","인터폰"
"1087","소리"
"1088","저"
"1089","인터폰"
"1090","소리"
"1091","문"
"1092","말"
"1093","전"
"1094","차트"
"1095","뭔가"
"1096","기입"
"1097","남자"
"1098","고개"
"1099","뭔가"
"1100","뭐"
"1101","이리"
"1102","연락"
"1103","나"
"1104","명함"
"1105","다음"
"1106","신발장"
"1107","위"
"1108","그"
"1109","뒤"
"1110","몸"
"1111","밖"
"1112","귀마개"
"1113","위험"
"1114","그때"
"1115","경찰관"
"1116","앞집"
"1117","초인종"
"1118","나"
"1119","문"
"1120","걸쇠"
"1121","인터폰"
"1122","현관"
"1123","버튼"
"1124","센티"
"1125","가량"
"1126","화면"
"1127","경찰"
"1128","뒤통수"
"1129","문"
"1130","고개"
"1131","앞집"
"1132","사람"
"1133","필리핀"
"1134","남자"
"1135","나"
"1136","문"
"1137","쪽"
"1138","귀"
"1139","컴"
"1140","히에우"
"1141","우리"
"1142","모"
"1143","바"
"1144","밤"
"1145","일"
"1146","일"
"1147","화면"
"1148","눈길"
"1149","필리핀"
"1150","남자"
"1151","양손"
"1152","남자"
"1153","어깨"
"1154","쪽"
"1155","얼굴"
"1156","가무잡잡한"
"1157","여자"
"1158","경찰"
"1159","무언가"
"1160","끄적였다"
"1161","두"
"1162","남자"
"1163","윗층"
"1164","계단"
"1165","쪽"
"1166","몸"
"1167","앞집"
"1168","현관"
"1169","나"
"1170","인터폰"
"1171","화면"
"1172","두"
"1173","남자"
"1174","웃음소리"
"1175","발소리"
"1176","나"
"1177","귀마개를"
"1178","신경질적"
"1179","귀"
"1180","속"
"1181","햇빛"
"1182","눈"
"1183","방"
"1184","볕"
"1185","환"
"1186","커튼"
"1187","봉"
"1188","천정"
"1189","의자"
"1190","위"
"1191","못이"
"1192","봉"
"1193","끝부분"
"1194","창문틀"
"1195","대"
"1196","의자"
"1197","못"
"1198","말라붙은"
"1199","핏자국"
"1200","소름"
"1201","꿈"
"1202","꿈"
"1203","것"
"1204","생각"
"1205","것"
"1206","어젯밤"
"1207","남자"
"1208","봉"
"1209","못"
"1210","거"
"1211","물티슈를"
"1212","피"
"1213","나"
"1214","고개"
"1215","치켜들고"
"1216","못이"
"1217","자리"
"1218","찾다말고"
"1219","창문"
"1220","고개"
"1221","밑"
"1222","담벼락"
"1223","아래"
"1224","페트병"
"1225","담뱃갑"
"1226","쓰레기들이"
"1227","주위"
"1228","폴리스"
"1229","라인"
"1230","어디선가"
"1231","꽃잎들이"
"1232","쓰레기"
"1233","바닥"
"1234","허공"
"1235","벚꽃"
"1236","속임수"
"1237","라일락"
"1238","향기"
"1239","나"
"1240","상체"
"1241","창밖"
"1242","채"
"1243","몸"
"1244","위"
"1245","시멘트벽"
"1246","위"
"1247","한"
"1248","층"
"1249","벽"
"1250","주먹"
"1251","견고"
"1252","동생"
"1253","말"
"1254","어머니"
"1255","세"
"1256","번"
"1257","동거"
"1258","세"
"1259","번"
"1260","이별"
"1261","아버지"
"1262","포함"
"1263","번"
"1264","아버지"
"1265","평생"
"1266","어머니"
"1267","바람기"
"1268","확인"
"1269","것"
"1270","동안"
"1271","동생"
"1272","무엇"
"1273","무엇"
"1274","나"
"1275","상상"
"1276","수"
"1277","우리"
"1278","년"
"1279","이후"
"1280","년"
"1281","동생"
"1282","시간"
"1283","생각"
"1284","것"
"1285","엽서"
"1286","한"
"1287","장"
"1288","편지"
"1289","하나"
"1290","발견"
"1291","때"
"1292","편지"
"1293","동생"
"1294","코트"
"1295","주머니"
"1296","사람"
"1297","동생"
"1298","사람"
"1299","술리스또"
"1300","달"
"1301","전"
"1302","엽서"
"1303","엽서"
"1304","사진"
"1305","빌딩"
"1306","수백"
"1307","개"
"1308","창문"
"1309","때"
"1310","그것"
"1311","빌딩"
"1312","암산"
"1313","균형"
"1314","절벽"
"1315","블록"
"1316","듯"
"1317","기우뚱해보였다"
"1318","암벽"
"1319","가운데"
"1320","창문"
"1321","꼴"
"1322","구멍"
"1323","나"
"1324","구멍들마"
"1325","형체"
"1326","파악"
"1327","수"
"1328","기괴한"
"1329","모형"
"1330","술라웨시"
"1331","토라자무덤"
"1332","사진"
"1333","아래쪽"
"1334","글씨"
"1335","여기"
"1336","내"
"1337","고향"
"1338","당신"
"1339","한"
"1340","곳"
"1341","사람"
"1342","돌산"
"1343","구멍"
"1344","내"
"1345","시체"
"1346","사진"
"1347","안보"
"1348","해골들이"
"1349","절벽"
