"","noun"
"1","이해"
"2","슾"
"3","름"
"4","단"
"5","눈"
"6","때"
"7","병실"
"8","아무"
"9","세"
"10","개"
"11","침대"
"12","말끔하게"
"13","정리"
"14","옆"
"15","침대"
"16","윤성"
"17","여름"
"18","재킷"
"19","반"
"20","채"
"21","단"
"22","그"
"23","다행"
"24","생각"
"25","기분"
"26","그녀"
"27","머리"
"28","창문"
"29","쪽"
"30","맞은편"
"31","병동"
"32","복도"
"33","사람"
"34","오"
"35","것"
"36","매미"
"37","소리"
"38","바깥"
"39","한낮"
"40","폭염"
"41","속"
"42","그녀"
"43","몸"
"44","조금씩"
"45","한기"
"46","시작"
"47","지난번"
"48","수술"
"49","때"
"50","단"
"51","오른손"
"52","한"
"53","번"
"54","걸"
"55","말"
"56","대신"
"57","담당의"
"58","습관성"
"59","유산"
"60","것"
"61","우려섞인"
"62","목소리"
"63","말"
"64","습관성"
"65","유산"
"66","치료"
"67","시험관"
"68","시술"
"69","의미"
"70","것"
"71","말"
"72","습관성"
"73","유산"
"74","말"
"75","공식화"
"76","것"
"77","사람들"
"78","그녀"
"79","맥락"
"80","의문"
"81","단어"
"82","그녀"
"83","일"
"84","말"
"85","것"
"86","자기"
"87","속"
"88","연민"
"89","사람"
"90","삶"
"91","운율"
"92","내재"
"93","사실"
"94","시절"
"95","미래의"
"96","아이"
"97","그것"
"98","납득"
"99","것"
"100","두"
"101","시간"
"102","전"
"103","뉴스"
"104","앵커"
"105","목소리"
"106","단"
"107","저녁"
"108","만화영화"
"109","방송"
"110","상상"
"111","시절"
"112","상상"
"113","현실"
"114","그녀"
"115","뉴스채널만"
"116","게임"
"117","캐릭터"
"118","상상"
"119","데"
"120","실제"
"121","인물들"
"122","그것"
"123","뉴스"
"124","등장"
"125","만한"
"126","행위"
"127","한"
"128","실제"
"129","인물들"
"130","영감"
"131","때문"
"132","몇"
"133","달"
"134","전"
"135","남편"
"136","시신"
"137","베란다"
"138","고무통"
"139","여섯"
"140","살"
"141","아들"
"142","한"
"143","달"
"144","두"
"145","번"
"146","것"
"147","여자"
"148","이야기"
"149","단"
"150","여자"
"151","인칭"
