"","noun"
"1","양태"
"2","기"
"3","어머니"
"4","큰오빠"
"5","곁"
"6","육십여"
"7","년"
"8","집"
"9","그"
"10","더께"
"11","살림살이"
"12","부엌"
"13","정리"
"14","막걸리"
"15","사발"
"16","놋그릇"
"17","비롯"
"18","나무주걱"
"19","꽃무늬"
"20","접시"
"21","장롱"
"22","맏며느리"
"23","상이불"
"24","개켜져"
"25","한"
"26","쪽"
"27","사십"
"28","대"
"29","꽃구경"
"30","때"
"31","개나리색"
"32","한복"
"33","팔십"
"34","길"
"35","때"
"36","조금씩"
"37","정리"
"38","말"
"39","번"
"40","자리"
"41","물건"
"42","담"
"43","마음"
"44","때문"
"45","이사"
"46","시간"
"47","마당"
"48","물건"
"49","것"
"50","구석구석"
"51","사소한"
"52","물건들"
"53","눈"
"54","이야기"
"55","반복"
"56","장롱"
"57","밑"
"58","싸구려"
"59","비녀"
"60","은비녀"
"61","그날"
"62","엄마"
"63","안녕"
"64","앉은뱅이"
"65","책상서랍"
"66","오남매"
"67","통지표"
"68","상장"
"69","천지분간"
"70","날"
"71","작별"
"72","단출한"
"73","이삿짐"
"74","한나절"
"75","보자기"
"76","상이불"
"77","트럭"
"78","이불"
"79","속"
"80","바람"
"81","발"
"82","시라다고"
"83","한"
"84","아버지"
"85","생각"
"86","이불"
"87","호청"
"88","조금만"
"89","하고"
"90","숨"
"91","적"
"92","번"
"93","한"
"94","번"
"95","이불"
"96","한"
"97","번"
"98","이불"
"99","것"
"100","어머니"
"101","마지막"
"102","길"
"103","아버지"
"104","것"
"105","나"
"106","가슴"
"107","뒤"
"108","몇"
"109","개"
"110","보따리"
"111","차"
"112","전"
"113","엄마"
"114","찬찬한"
"115","눈길"
"116","집"
"117","이별을을"
"118","차에"
"119","어머니"
"120","손"
"121","보퉁이"
"122","그"
"123","뭐"
"124","별거"
"125","형제"
"126","각자"
"127","구역"
"128","청소"
"129","정리"
"130","어머니"
"131","무엇"
"132","무얼까"
"133","무엇"
"134","어머니"
"135","보자기"
"136","속"
"137","궁금해"
"138","나"
"139","책보"
"140","팔랑거리는"
"141","소녀"
"142","초등학교"
"143","책보"
"144","교과서"
"145","통"
"146","때문"
"147","도시락"
"148","때문"
"149","하게"
"150","학교"
"151","도착"
"152","물건들이"
"153","한"
"154","쪽"
"155","보자기"
"156","끝"
"157","느슨"
"158","책보"
"159","엉덩이"
"160","소풍날"
"161","책"
"162","대"
"163","계란"
"164","사이"
"165","도시락"
"166","과자"
"167","보자기"
"168","덕분"
"169","계란"
"170","반찬"
"171","국물"
"172","새"
"173","시큼한"
"174","냄새"
"175","걱정"
"176","일"
"177","꾸중"
"178","깨끗"
"179","엄마"
"180","새"
"181","운동"
"182","시골"
"183","변화"
"184","마을"
"185","전기"
"186","친구들이"
"187","책가방"
"188","시작"
"189","가방"
"190","친구"
"191","자랑"
"192","우리"
"193","구경"
"194","약간"
"195","부러움"
"196","거짓말"
"197","철부지"
"198","집안"
"199","형편"
"200","터"
"201","것"
"202","떼"
"203","재주"
"204","군말"
"205","책보"
"206","시름"
"207","학교"
"208","시절"
"209","하나"
"210","것"
"211","책보"
"212","나"
"213","소리"
"214","나"
"215","달음박질"
"216","달각달각"
"217","리듬"
"218","음악"
"219","시간"
"220","수"
"221","풍금"
"222","소리"
"223","연상"
"224","동요"
"225","타박타박"
"226","때"
"227","책보"
"228","생각"
"229","나"
"230","보자기"
"231","연"
"232","책보"
"233","대"
"234","책가방"
"235","연"
"236","줄"
"237","고등학생"
"238","때"
"239","시작"
"240","자취생"
"241","보자기"
"242","안"
"243","내"
"244","먹거리"
"245","쌀"
"246","장류"
"247","비롯"
"248","산나물"
"249","여름"
"250","오이김치"
"251","가을"
"252","콩잎무침"
"253","겨울"
"254","시래기"
"255","등"
"256","철마"
"257","것"
"258","간식거리"
"259","엄마"
"260","것"
"261","넣다보니"
"262","위"
"263","불뚝"
"264","손"
"265","보따리"
"266","참"
"267","툴툴거리지"
"268","종이가방"
"269","예가"
"270","아니오가"
"271","엄마"
"272","마음"
"273","시간"
"274","데"
"275","보자기"
"276","종이가방"
"277","수"
"278","폼"
"279","나"
"280","물건"
"281","배"
"282","무엇"
"283","가방"
"284","난감한"
"285","일"
"286","것"
"287","거절"
"288","종이가방"
"289","양"
"290","물건"
"291","사람"
"292","나름"
"293","방식"
"294","삶"
"295","기준"
"296","사소한"
"297","행동"
"298","시발점"
"299","나"
"300","종이가방"
"301","내"
"302","기준"
"303","법"
"304","인간관계"
"305","고정"
"306","두"
"307","안"
"308","사람"
"309","사람"
"310","안"
"311","바깥"
"312","자유"
"313","마음"
"314","문"
"315","뒤웅박"
"316","가슴"
"317","것"
"318","불만"
"319","것"
"320","차"
"321","형제들"
"322","이삿짐"
"323","부산"
"324","틈"
"325","어머니"
"326","손"
"327","보퉁이"
"328","짜장면"
"329","엄마"
"330","식구들"
"331","얘기"
"332","때"
"333","안방"
"334","짐"
"335","상이불"
"336","속"
"337","갈빛"
"338","삼베옷"
"339","단정하게"
"340","개켜져"
"341","몇"
"342","년"
"343","전"
"344","윤달"
"345","흘려들었던"
"346","말"
"347","길"
"348","때"
"349","옷"
