"","noun"
"1","박민"
"2","혁"
"3","바"
"4","스"
"5","여기"
"6","코"
"7","바이러스"
"8","허공"
"9","속"
"10","코"
"11","바이러스들이"
"12","코"
"13","바이러스들"
"14","근원지"
"15","왼편"
"16","소리"
"17","입주민"
"18","일주일"
"19","동안"
"20","박씨는"
"21","몸살감기"
"22","아내"
"23","박씨로"
"24","코"
"25","바이러스들"
"26","효과적"
"27","박씨"
"28","몸"
"29","침투"
"30","박씨"
"31","체계적"
"32","면역체계"
"33","무력"
"34","감기"
"35","따위"
"36","박씨로서는"
"37","한"
"38","방"
"39","셈"
"40","감기"
"41","따위"
"42","병원"
"43","부인"
"44","타박"
"45","박씨는"
"46","자존심"
"47","감기"
"48","굴복"
"49","박씨는"
"50","병원"
"51","주사"
"52","약"
"53","분"
"54","진료"
"55","천원"
"56","투덜대긴"
"57","약효"
"58","확실"
"59","박씨"
"60","즉각적"
"61","대처"
"62","자신들"
"63","생"
"64","위협"
"65","바이러스들"
"66","활로"
"67","코"
"68","바이러스"
"69","자신들이"
"70","박씨에게로"
"71","때"
"72","방법"
"73","결론"
"74","박씨"
"75","몸속"
"76","증식한"
"77","자신들"
"78","박씨"
"79","바깥"
"80","숙주"
"81","자신들"
"82","생"
"83","이"
"84","판단"
"85","일"
"86","박씨가"
"87","갑갑"
"88","이유"
"89","마스크"
"90","것"
"91","바이러스들"
"92","호재"
"93","박씨가"
"94","집"
"95","바이러스들은"
"96","박씨가"
"97","년"
"98","전"
"99","명예퇴직"
"100","퇴직금"
"101","전세"
"102","아파트"
"103","수익금"
"104","사실"
"105","당연하게"
"106","바이러스들에게는"
"107","일"
"108","평수"
"109","집"
"110","존재"
"111","오"
"112","박씨와"
"113","박씨"
"114","아내"
"115","뿐"
"116","바이러스들이"
"117","수"
"118","존재"
"119","박씨"
"120","아내"
"121","바이러스들"
"122","그녀"
"123","바이러스"
"124","것"
"125","불가능한"
"126","일"
"127","바이러스들"
"128","절체절명"
"129","위"
"130","소멸"
"131","것"
"132","전전긍긍"
"133","순간"
"134","박씨가"
"135","집"
"136","바이러스들이"
"137","약성분"
"138","때"
"139","박씨가"
"140","경비실"
"141","이유"
"142","하나"
"143","분노"
"144","경비"
"145","마음"
"146","것"
"147","사실"
"148","사건"
"149","시작"
"150","박씨"
"151","때문"
"152","박씨가"
"153","며칠"
"154","전"
"155","홈쇼핑"
"156","구매한"
"157","홍삼진액"
"158","세트"
"159","개"
"160","아파트"
"161","도착"
"162","택배기사"
"163","아파트"
"164","전"
"165","박씨에게"
"166","전화"
"167","택배인데요"
"168","댁"
"169","박씨는"
"170","택배기사"
"171","경비실"
"172","맡기쇼"
"173","라"
"174","짤막하게"
"175","대답"
"176","박씨는"
"177","택배기사"
"178","라"
"179","대답하기"
"180","전"
"181","전화"
"182","시"
"183","경비실"
"184","전화해서"
"185","가져다달라고"
"186","생각"
"187","드라마"
"188","재방송"
"189","낚시방송"
"190","골프방송"
"191","박씨는"
"192","시계"
"193","시"
"194","인터폰"
"195","경비실"
"196","목소리"
"197","수화기"
"198","너머"
"199","경비"
"200","수화기"
"201","너머"
"202","목소리"
"203","글자"
"204","하나하나"
"205","힘"
"206","발음"
"207","단어"
"208","의미"
"209","박씨는"
"210","경비"
"211","느릿한"
"212","태도"
"213","마음"
"214","박씨가"
"215","지점"
"216","분노"
"217","것"
"218","박씨"
"219","요구"
"220","단순"
"221","것"
"222","호"
"223","택배"
"224","하나"
"225","그거"
"226","데"
"227","사실"
"228","박씨는"
"229","만"
"230","전화"
"231","생각"
"232","박씨"
"233","요구"
"234","때문"
"235","박씨는"
"236","요구"
"237","당연한"
"238","것"
"239","생각"
"240","상대"
"241","대답"
"242","박씨"
"243","예상"
"244","것"
"245","이번"
"246","수화기"
"247","너머"
"248","상대"
"249","글자"
"250","하나하나"
"251","힘"
"252","말"
"253","박씨는"
"254","처음"
"255","귀"
"256","의심"
"257","이후"
"258","단어"
"259","의미"
"260","잘못"
"261","이해한"
"262","것"
"263","자신"
"264","머리"
"265","의심"
"266","상대"
"267","한"
"268","말"
"269","의도"
"270","명확"
"271","것"
"272","박씨는"
"273","분노"
"274","것"
"275","주쇼"
"276","박씨가"
"277","말"
"278","상대"
"279","대답"
"280","상대"
"281","단호"
"282","박씨는"
"283","순간"
"284","자신"
"285","당연하게"
"286","것"
"287","사실"
"288","당연한"
"289","것"
"290","의심"
"291","지경"
