"","noun"
"1","화"
"2","클레"
"3","천"
"4","사"
"5","천사"
"6","과거"
"7","천사"
"8","하나"
"9","파국만"
"10","파국"
"11","폐허"
"12","위"
"13","폐허"
"14","그것들을"
"15","천사"
"16","발"
"17","앞"
"18","천사"
"19","자리"
"20","죽"
"21","자"
"22","것들을"
"23","결합"
"24","천국"
"25","폭풍"
"26","때문"
"27","그"
"28","날개"
"29","힘"
"30","폭풍"
"31","천사"
"32","그"
"33","등"
"34","미래"
"35","사이"
"36","천사"
"37","앞"
"38","폐허"
"39","더미"
"40","하늘"
"41","발터"
"42","벤야민이"
"43","말"
"44","년"
"45","월"
"46","기록"
"47","배영종"
"48","신부"
"49","비망록은"
"50","시작"
"51","신부"
"52","사람들"
"53","의외"
"54","그"
"55","일생"
"56","동안"
"57","성당"
"58","아이들"
"59","생각"
"60","뿐"
"61","그림"
"62","음악"
"63","무"
"64","정도"
"65","관심"
"66","때문"
"67","그"
"68","벤야민이"
"69","클레"
"70","그림"
"71","한"
"72","구절"
"73","것"
"74","자체"
"75","뜻밖"
"76","신부"
"77","다음"
"78","단락"
"79","세대"
"80","젊은이들"
"81","둥지"
"82","안달"
"83","그"
"84","자신들이"
"85","새"
"86","곳"
"87","환영"
"88","줄"
"89","착각"
"90","길"
"91","나"
"92","젊은이들"
"93","자신들"
"94","길"
"95","끝"
"96","성공"
"97","그"
"98","허무맹랑한"
"99","죽"
"100","신화"
"101","미완"
"102","실패만"
"103","희망"
"104","실패"
"105","거듭"
"106","끝"
"107","때"
"108","자신들"
"109","길"
"110","않았다"
"111","나"
"112","성공"
"113","바깥"
"114","세상"
"115","그"
"116","바깥"
"117","세상"
"118","실패"
"119","어머니"
"120","이곳"
"121","아이들"
"122","중"
"123","이"
"124","나"
"125","나머지"
"126","아이들"
"127","아랫도리"
"128","불끈댈"
"129","무렵"
"130","어디론가"
"131","안달"
"132","한"
"133","번"
"134","이"
"135","반세기"
"136","보름"
"137","전"
"138","원"
"139","나"
"140","원"
"141","그"
"142","마당"
"143","한가운데"
"144","깨끗한"
"145","셔츠"
"146","린넨"
"147","재킷"
"148","한"
"149","손"
"150","종합음료"
"151","박스"
"152","채"
"153","년"
"154","만"
"155","오랜만"
"156","그"
"157","가만하며"
"158","선선하게"
"159","나"
"160","노년"
"161","그"
"162","소년"
"163","때"
"164","그"
"165","그래서일까"
"166","우리"
"167","척"
"168","아무튼"
"169","년"
"170","세월"
"171","무시"
"172","어색"
"173","회포"
"174","수"
"175","원이"
"176","용건"
"177","간단"
"178","열흘"
"179","이곳"
"180","것"
"181","나"
"182","이유"
"183","그"
"184","것"
"185","숙식비"
"186","대"
"187","내"
"188","나"
"189","원"
"190","숙식비"
"191","생각"
"192","시간"
"193","이곳"
"194","때"
"195","그"
"196","집"
"197","때문"
"198","나"
"199","그"
"200","숙식비"
"201","만큼"
"202","원"
"203","수"
"204","우리"
"205","한동안"
"206","돈"
"207","문제"
"208","두"
"209","실랑이"
"210","문제"
"211","나중"
"212","얘기하기"
"213","합의"
"214","여기"
"215","배영종"
"216","신부"
"217","두"
"218","페이지"
"219","다음"
"220","페이지"
"221","그"
"222","보름간"
"223","년"
"224","파일"
"225","지"
"226","창고"
"227","년"
"228","쥐덫에"
"229","손가락"
"230","뻔"
"231","사족"
"232","신부"
"233","년"
"234","파일"
"235","이"
"236","파일"
"237","존재"
"238","않아서였을"
"239","수"
"240","신부"
"241","파일"
"242","대"
"243","시절"
"244","기록"
"245","작성"
"246","년"
"247","전"
"248","배영종"
"249","신부"
"250","아이둘을"
"251","화재"
"252","현장"
"253","사망한"
"254","후"
"255","나"
"256","그"
"257","유품"
"258","이것"
"259","발견"
"260","그"
"261","뜻"
"262","그"
"263","기록"
"264","바람"
"265","작업"
"266","시작"
"267","원문"
"268","훼손"
"269","노력"
"270","중복"
"271","부분"
"272","삭제"
"273","비문"
"274","수정"
"275","비망록은"
"276","시기상"
"277","부"
"278","구성"
"279","다음"
"280","서론"
"281","마지막"
"282","부분"
"283","발췌한"
"284","것"
"285","나"
"286","파일"
"287","상관"
"288","년도"
"289","아이들"
"290","누구"
"291","증언자"
"292","생존해"
"293","때문"
"294","나"
"295","자신"
"296","아이들"
"297","중"
"298","한"
"299","명"
"300","사실"
"301","원"
"302","전"
"303","나"
"304","기록"
"305","둘"
"306","마음"
"307","이야기"
"308","어디"
"309","매일매일"
"310","때문"
"311","원"
"312","떠나보낸"
"313","지금"
"314","나"
"315","기록"
"316","의무감"
"317","이"
"318","글"
"319","원"
"320","원"
"321","아이들"
"322","그"
"323","기억해"
"324","어른들"
"325","것"
"326","년"
"327","수녀원장"
"328","고아"
"329","친척뻘"
"330","하나"
"331","이후"
"332","몇"
"333","해"
"334","성당"
"335","알음알음"
"336","곳"
"337","아이들"
"338","시작"
"339","때"
"340","한"
"341","해"
"342","명"
"343","아이들"
"344","그때"
"345","고아원"
"346","겸"
"347","성당"
"348","임시방편"
"349","식"
"350","필요"
"351","뒷마당"
"352","창고"
"353","숙박시설"
"354","개조"
"355","수녀들"
"356","자신"
"357","식사"
"358","등분"
"359","아이들"
"360","수"
"361","반백"
"362","명"
"363","육박"
"364","성당"
"365","자체적"
"366","문제"
"367","해결"
"368","것"
"369","불가능"
"370","부엌일"
"371","대"
"372","성당"
"373","숙식"
"374","해결"
"375","통칭"
"376","어머니"
"377","여인"
"378","쌀독"
"379","바닥"
"380","감자"
"381","옥수수"
"382","모두"
"383","시절"
"384","정부"
"385","기관"
"386","지원"
"387","수"
"388","누구"
"389","불평"
"390","수"
"391","끼니"
"392","몇"
"393","덩이"
"394","날들"
"395","아이들"
"396","눈"
"397","아이들"
"398","수녀들"
"399","눈길"
"400","수녀원장"
"401","결단"
"402","필요한"
"403","때"
"404","년"
"405","그녀"
"406","성당"
"407","이상"
"408","아이"
"409","수"
"410","마을"
"411","안팎"
"412","선포"
"413","그"
"414","보호"
"415","아이"
"416","세상"
"417","밖"
"418","한명"
"419","일"
"420","신"
"421","수녀원장"
"422","답"
"423","수"
"424","어쨌거나"
"425","현실적"
"426","이유"
"427","경기"
"428","변두리"
"429","위치한"
"430","소돌"
"431","성당"
"432","문"
"433","년"
"434","만"
"435","그곳"
"436","몇"
"437","해"
"438","세"
"439","명"
"440","아이들"
"441","소돌"
"442","성당"
"443","고아원"
"444","원형"
"445","우리"
"446","중"
"447","부모"
"448","아이"
"449","한"
"450","명"
"451","년"
"452","열두"
"453","살"
"454","성규였다"
"455","그"
"456","부모"
"457","부산"
"458","아들"
"459","전국"
"460","이곳"
"461","너희들"
"462","정말"
"463","것"
"464","성당"
"465","직전"
"466","성규가"
"467","말"
"468","진심"
"469","우리"
"470","어둔"
"471","숲"
"472","것"
"473","숲"
"474","것"
"475","문제"
"476","성규는"
"477","부모"
"478","과자"
"479","부스러기"
"480","숲"
"481","준비"
"482","남"
"483","친구들"
"484","그"
"485","권리"
"486","성규가"
"487","밤"
"488","달"
"489","우리"
"490","널널해진"
"491","잠자리"
"492","위안"
"493","자리"
"494","이상하게"
"495","자리"
"496","성규가"
"497","이전"
"498","밤"
"499","그"
"500","자리"
"501","아이들"
"502","적의"
"503","때문"
"504","어둠"
"505","속"
"506","한"
"507","목소리"
"508","우리"
"509","아버지"
"510","그것"
"511","시작"
"512","변변치"
"513","사연들이"
"514","여기저기"
"515","시작"
"516","우리"
"517","큰누나"
"518","내"
"519","손"
"520","여기"
"521","거"
"522","기억해"
"523","인간"
"524","입"
"525","소리"
"526","철로"
"527","옆"
"528","발견"
"529","우리는"
"530","음지"
"531","씨앗들이"
"532","저"
"533","발"
"534","이곳"
"535","수"
"536","때"
"537","꿈"
"538","기대"
"539","성당"
"540","밖"
"541","세상"
"542","쟁취"
"543","땅"
"544","말"
"545","그릇"
"546","신화"
"547","날"
"548","아이들"
"549","마음"
"550","것"
"551","수"
"552","밤"
"553","바깥"
"554","달"
"555","잠시"
"556","나"
"557","친구들"
"558","부모님"
"559","나"
"560","아버지"
"561","쪽"
"562","친척"
"563","수녀원장"
"564","성당"
"565","담"
"566","내"
"567","나"
"568","두"
"569","살"
"570","때"
"571","일"
"572","이곳"
"573","나"
"574","기억"
"575","최초"
"576","집"
"577","나"
"578","누구"
"579","저주"
"580","사이"
"581","아이들"
"582","사람"
"583","사람"
"584","사람"
"585","사정"
"586","리"
"587","만무"
"588","최소한"
"589","세상"
"590","내"
"591","가혹한"
"592","것"
"593","위안"
"594","수"
"595","잠이"
"596","전"
"597","나"
"598","옆"
"599","자리"
"600","친구"
"601","내"
"602","옆"
"603","손"
"604","배"
"605","위"
"606","원"
"607","그때"
"608","그"
"609","말"
"610","당시"
"611","나"
"612","그"
"613","것"
"614","생각"
"615","생각"
"616","그"
"617","정말"
"618","것"
"619","원"
"620","마흔"
"621","몇"
"622","번째"
"623","아이"
"624","그"
"625","날"
"626","원"
"627","또래"
"628","또래"
"629","키"
"630","수녀원장"
"631","친구"
"632","소개"
"633","불구"
"634","나"
"635","그"
"636","형"
"637","그때"
"638","원"
"639","아홉"
"640","살"
"641","그"
"642","저"
"643","나이"
"644","사람"
"645","원"
"646","성도들"
"647","그"
"648","열"
"649","살"
"650","것"
"651","예상"
"652","얘기"
"653","사람"
"654","원"
"655","저"
