"","noun"
"1","김"
"2","희"
"3","문"
"4","남자"
"5","집"
"6","옆집"
"7","문"
"8","앞"
"9","그"
"10","옆집"
"11","문손잡이"
"12","소리"
"13","나"
"14","조심"
"15","옆집"
"16","사람"
"17","이사"
"18","이후"
"19","습관"
"20","날"
"21","날"
"22","옆집"
"23","문손잡이"
"24","기대"
"25","문"
"26","남자"
"27","문"
"28","고민"
"29","자신"
"30","문"
"31","문안"
"32","문안"
"33","것"
"34","옆집"
"35","안"
"36","구조"
"37","남자"
"38","집"
"39","수"
"40","층"
"41","반지하의"
"42","나란한"
"43","집"
"44","구조"
"45","만큼"
"46","사람"
"47","부지런"
"48","창의적"
"49","복도"
"50","집"
"51","남자"
"52","집"
"53","보러올"
"54","때"
"55","자신"
"56","집"
"57","집"
"58","집"
"59","것"
"60","남자"
"61","휴대폰"
"62","안심해도"
"63","시간"
"64","계단"
"65","두"
"66","개"
"67","반지하의"
"68","집"
"69","반지하"
"70","답지"
"71","채광"
"72","현관"
"73","복도"
"74","이"
"75","편"
"76","두"
"77","개"
"78","방"
"79","자리"
"80","옆"
"81","욕실"
"82","세면대"
"83","욕실"
"84","세탁기"
"85","욕실"
"86","수도"
"87","내"
"88","세탁기"
"89","공간"
"90","수"
"91","집"
"92","단점"
"93","복도"
"94","끝"
"95","주방"
"96","거실"
"97","이름"
"98","옹색한"
"99","공간"
"100","집"
"101","때"
"102","남자"
"103","복도"
"104","책꽂이"
"105","상상"
"106","상상"
"107","계획"
"108","남자"
"109","집"
"110","세"
"111","개"
"112","개"
"113","책꽂이"
"114","거실"
"115","것"
"116","두"
"117","개"
"118","방"
"119","중"
"120","하나"
"121","오"
"122","책꽂이"
"123","책"
"124","책상"
"125","둘"
"126","것"
"127","환"
"128","창"
"129","암막커튼으로"
"130","구체적"
"131","계획"
"132","남자"
"133","집"
"134","중"
"135","남자"
"136","본가"
"137","책"
"138","하나"
"139","남자"
"140","복도"
"141","벽"
"142","집"
"143","한적한"
"144","주택"
"145","골목"
"146","쪽"
"147","조용"
"148","낮"
"149","조용"
"150","밤"
"151","조용"
"152","기대"
"153","남자"
"154","마음"
"155","방"
"156","두"
"157","개"
"158","괴괴한"
"159","침묵"
"160","남자"
"161","방"
"162","한가운데"
"163","책상"
"164","벽면"
"165","책꽂이"
"166","외의"
"167","일상"
"168","방"
"169","두"
"170","방"
"171","하나"
"172","자신"
"173","책"
"174","생각"
"175","이"
"176","생활"
"177","방"
"178","상상"
"179","공상"
"180","망상"
"181","정도"
"182","흥분"
"183","집"
"184","때"
"185","집주인"
"186","신발"
"187","신"
"188","채"
"189","집"
"190","방한가운데"
"191","집주인"
"192","신발"
"193","남자"
"194","신"
"195","필요"
"196","집주인"
"197","집"
"198","사실"
"199","필요"
"200","만큼"
"201","집"
"202","눈"
"203","것"
"204","전부"
"205","이전"
"206","세입자"
"207","집"
"208","고요"
"209","집주인"
"210","주인"
"211","보통"
"212","집주인들"
"213","세입자"
"214","상대"
"215","조용"
"216","열"
"217","내"
"218","집"
"219","설명"
"220","볕"
"221","집"
"222","장마철"
"223","습기"
"224","필요"
"225","말"
"226","여름"
"227","선풍기만"
"228","충분"
"229","만큼"
"230","시원"
"231","말"
"232","말"
"233","외벽"
"234","두툼해서"
"235","외풍"
"236","따뜻한"
"237","덕분"
"238","난방비"
"239","말"
"240","가을"
"241","말"
"242","집"
"243","말"
"244","비슷"
"245","사람"
"246","주거공간"
"247","것"
"248","생각"
"249","거창"
"250","남자"
"251","부동산"
