"","noun"
"1","윤"
"2","목판"
"3","화"
"4","집"
"5","나"
"6","혜진은"
"7","저녁"
"8","반찬"
"9","마트에"
"10","포장"
"11","불고기"
"12","상추만"
"13","사면"
"14","혜진은"
"15","계산대"
"16","포장"
"17","불고기"
"18","때"
"19","개수"
"20","세"
"21","것"
"22","표정"
"23","안타까움"
"24","역력"
"25","손님"
"26","선택한"
"27","물건"
"28","수"
"29","나"
"30","눈"
"31","나"
"32","것"
"33","수"
"34","것"
"35","혜진이"
"36","손짓"
"37","불고기들이"
"38","세계"
"39","그녀가"
"40","나"
"41","물건"
"42","봉투"
"43","말"
"44","그녀"
"45","계산대"
"46","플랫폼"
"47","곳"
"48","레일"
"49","마음"
"50","물건들"
"51","대"
"52","계산대"
"53","자동레일"
"54","아르바이트"
"55","수"
"56","마트에서"
"57","일"
"58","이유"
"59","그것"
"60","조만간"
"61","나"
"62","레일"
"63","위"
"64","거"
"65","수"
"66","지"
"67","그것"
"68","일종"
"69","예행연습"
"70","그녀와"
"71","술"
"72","때"
"73","그녀"
"74","농담"
"75","진담"
"76","수"
"77","말"
"78","얼마"
"79","그녀"
"80","나"
"81","동거"
"82","시작"
"83","속"
"84","봉투"
"85","여섯"
"86","개"
"87","배달"
"88","물건"
"89","식품들"
"90","삼"
"91","원"
"92","이상"
"93","봉투들이"
"94","트렁크"
"95","형제들"
"96","다마스"
"97","그르렁"
"98","잠"
"99","다마스"
"100","노년"
"101","몸"
"102","툴툴거리는"
"103","소리"
"104","나"
"105","마트에"
"106","취직"
"107","수"
"108","일등"
"109","공신"
"110","면접"
"111","날"
"112","매니저"
"113","관계자"
"114","외"
"115","라고"
"116","거창하게"
"117","문"
"118","쪽"
"119","나"
"120","맞이"
"121","다마스가"
"122","아직"
"123","때"
"124","머리"
"125","성급하게"
"126","시작한"
"127","것"
"128","매니저"
"129","이력서"
"130","첫마디"
"131","아버지가"
"132","차"
"133","배달에"
"134","이용"
"135","수"
"136","차"
"137","채용"
"138","가산점"
"139","나는"
"140","생활비"
"141","필요"
"142","아버지"
"143","다마스"
"144","아버지"
"145","소유"
"146","아버지"
"147","언제"
"148","소유권"
"149","주장"
"150","말"
"151","말"
"152","다마스"
"153","수"
"154","그"
"155","때문"
"156","나"
"157","초등학교"
"158","무렵"
"159","아버지"
"160","집"
"161","일"
"162","우리"
"163","집"
"164","일상"
"165","한두"
"166","달"
"167","일"
"168","년"
"169","집"
"170","처음"
"171","아버지"
"172","불행한"
"173","일"
"174","것"
"175","걱정"
"176","엄마"
"177","그"
"178","결국"
"179","집"
"180","막연한"
"181","믿음"
"182","것"
"183","그런"
"184","엄마"
"185","믿음"
"186","깃털"
"187","것"
"188","아버지"
"189","엄마"
"190","임종"
"191","그"
"192","장례식"
"193","마지막"
"194","날"
"195","격"
"196","집"
"197","아버지"
"198","엄마"
"199","이름"
"200","나"
"201","그것"
"202","엄마"
"203","혼자"
"204","세상"
"205","때문"
"206","생각"
"207","다마스"
"208","첫"
"209","번째"
"210","배달지"
"211","주소"
"212","내비게이션"
"213","입력"
"214","야쿠르트"
"215","비"
"216","소세지"
"217","하마"
"218","항균"
"219","행주세트"
"220","플로럴향"
"221","페브리즈"
"222","뽀로로가"
"223","어린이용"
"224","플라스틱"
"225","컵"
"226","고객"
"227","주소"
"228","벨소리"
"229","여자"
"230","문"
"231","머리"
"232","잠"
"233","사람"
"234","창백한"
"235","얼굴"
"236","몇"
"237","시간"
"238","전"
"239","한층"
"240","수척해"
"241","여자"
"242","배달"
"243","것"
"244","아니냐며"
"245","짜증"
"246","표정"
"247","말"
"248","나"
"249","대답"
"250","대"
"251","묵직한"
"252","봉투"
"253","반투명한"
"254","봉투"
"255","사이"
"256","뽀로로가"
"257","여자"
"258","말"
"259","봉투"
"260","안"
"261","문손잡이"
"262","문틈"
"263","사이"
"264","울음소리"
"265","아이"
"266","여자"
"267","마트에"
"268","때"
"269","아이"
"270","수"
"271","것"
"272","뽀로로뿐이었다"
"273","종량제"
"274","봉투"
"275","안"
"276","플라스틱"
"277","컵"
"278","효과"
"279","것"
"280","날"
"281","아파트"
"282","내"
"283","어둠"
"284","속도"
"285","공기"
"286","중"
"287","음식"
"288","냄새"
"289","양손"
"290","한"
"291","개"
"292","봉투"
"293","호"
"294","사람"
"295","포장"
"296","불고기"
"297","호"
"298","사람"
"299","포장"
"300","동태찌개"
"301","창문"
"302","통과한"
"303","불빛들이"
"304","복도"
"305","사각형"
"306","빛"
"307","징검다리"
"308","호"
"309","호"
"310","즈음"
"311","복도"
"312","끝"
"313","어둠"
"314","사람"
"315","두"
"316","명"
"317","수"
"318","만한"
"319","둥그런"
"320","어둠"
"321","끝"
"322","수"
"323","통"
"324","입구"
"325","그것"
"326","이리"
"327","손짓"
"328","것"
"329","그곳"
"330","나"
"331","그것"
"332","길고양이"
"333","것"
"334","척"
"335","호"
"336","여자"
"337","봉투"
"338","방향"
"339","길"
"340","호"
"341","마지막"
"342","봉투"
"343","배달"
"344","뒤"
"345","때"
"346","어둠"
"347","혜진"
"348","손"
"349","비닐봉투"
"350","그녀"
"351","불고기"
"352","상추"
"353","것"
"354","그녀"
"355","직원들"
"356","것"
"357","나"
"358","의례적"
"359","인사"
"360","내"
"361","그녀"
"362","눈"
"363","고개"
"364","나"
"365","그녀"
"366","능청"
"367","연기"
"368","것"
"369","시선"
"370","내일이라뇨"
"371","우리"
"372","말"
"373","것"
"374","나"
"375","혜진을"
"376","생각"
"377","창고"
"378","정리"
"379","오늘"
"380","그녀"
"381","세"
"382","정거장"
"383","후"
"384","버스"
"385","나"
"386","것"
"387","먼저"
"388","밖"
"389","그녀"
"390","안쓰러워서"
"391","적"
"392","동거"
"393","시작"
"394","얼마"
"395","않아서였다"
"396","혼자"
"397","방"
"398","신경"
"399","괜찮아요"
"400","방"
"401","불"
"402","것"
"403","환"
"404","밖"
"405","것"
"406","혜진"
"407","말"
"408","빈말"
"409","그녀"
"410","불"
"411","만큼"
"412","곳"
"413","불"
"414","잠"
"415","수"
"416","귀신"
"417","집"
"418","극장"
"419","식"
"420","어두운"
"421","곳"
"422","배"
"423","때"
"424","배"
"425","안"
"426","나"
"427","것"
"428","동안"
"429","계속"
"430","거예요"
"431","처음"
"432","내"
"433","착각"
"434","줄"
"435","배"
"436","안"
"437","뭔가"
"438","배에"
"439","병"
"440","그녀"
"441","것"
"442","아무것"
"443","표정"
"444","무언가"
"445","표정"
"446","배에"
"447","것"
"448","파리"
"449","벌"
"450","반딧불이"
"451","것들이"
"452","병원"
"453","사람"
"454","생각"
"455","것"
"456","그"
"457","사람"
"458","착각"
"459","나"
"460","그녀"
"461","농담"
"462","생각"
"463","나"
"464","그녀"
"465","말"
"466","나"
"467","심산"
"468","진짜예요"
"469","병원"
"470","적"
"471","걸요"
"472","의사"
"473","그것"
"474","스트레스"
"475","원인"
"476","수"
"477","의사들"
"478","아무것"
"479","때"
"480","최후"
"481","보루"
"482","스트레스"
"483","그녀가"
"484","때"
"485","트렁크"
"486","안"
"487","병원"
"488","진단서"
"489","그녀"
"490","한"
"491","이야기"
"492","증세"
"493","종이"
"494","스트레스로"
"495","배"
"496","무언가"
"497","살"
"498","수"
"499","얘기"
"500","당연하죠"
"501","일"
"502","두"
"503","번째"
"504","의사"
"505","솔직"
"506","배"
"507","속"
"508","것"
"509","정체"
"510","수"
"511","원인"
"512","문제"
"513","해결"
"514","수"
"515","것"
"516","원인을"
"517","찾고"
"518","중"
"519","이야기를"
"520","나"
"521","그녀"
"522","머리"
"523","것"
"524","그녀"
"525","위험"
"526","것"
"527","생각"
"528","도움"
"529","그래서인지"
"530","옆"
"531","그녀"
"532","애틋"
"533","도움이"
"534","필요"
"535","언제"
"536","말"
"537","나"
"538","곁"
"539","그녀가"
"540","고개"
