"","noun"
"1","김지"
"2","포토그래"
"3","기태"
"4","쪽"
"5","검지"
"6","정수리"
"7","시작"
"8","함초롬한"
"9","머리칼"
"10","턱"
"11","어깨"
"12","팔"
"13","열"
"14","개"
"15","손가락"
"16","일자형"
"17","허리"
"18","엉덩이"
"19","몸"
"20","제"
"21","두"
"22","다리"
"23","다리"
"24","끝"
"25","발가락"
"26","사진"
"27","은밀한"
"28","부분들"
"29","손가락"
"30","그"
"31","등"
"32","입체적"
"33","사마귀"
"34","기태"
"35","등"
"36","사마귀"
"37","손가락"
"38","뿌리"
"39","것"
"40","그것"
"41","뿌리"
"42","등뼈"
"43","피부"
"44","나무줄기"
"45","나무줄기"
"46","죽"
"47","삭정이"
"48","기태는"
"49","사마귀"
"50","제거"
"51","사마귀"
"52","말"
"53","것"
"54","나"
"55","사마귀"
"56","미간"
"57","채"
"58","말"
"59","아니야"
"60","불편해"
"61","뭐"
"62","때"
"63","기태는"
"64","침대"
"65","등"
"66","엄살"
"67","사마귀"
"68","내"
"69","말"
"70","사마귀가"
"71","이후"
"72","성감대"
"73","그쪽"
"74","사람들"
"75","등"
"76","흥분"
"77","의자"
"78","등받이"
"79","벽"
"80","제"
"81","서류"
"82","정리"
"83","날"
"84","말"
"85","마"
"86","비아그라가"
"87","니가"
"88","때"
"89","제"
"90","나는"
"91","기태"
"92","사마귀"
"93","버튼"
"94","때"
"95","컴퓨터"
"96","자판"
"97","때"
"98","홈"
"99","지"
"100","때"
"101","그때"
"102","몸"
"103","반응"
"104","기태"
"105","말"
"106","한참"
"107","등"
"108","사마귀"
"109","기태는"
"110","상상"
"111","수"
"112","아마"
"113","등"
"114","사마귀"
"115","사람"
"116","세상"
"117","나"
"118","하나"
"119","거"
"120","그것"
"121","비아그라보다"
"122","페니스"
"123","발기"
"124","기능"
"125","사마귀"
"126","말"
"127","기태가"
"128","나"
"129","음흉하게"
"130","말"
"131","나"
"132","그"
"133","희죽"
"134","사마귀"
"135","타령"
"136","그"
"137","발가벗은"
"138","기태가"
"139","욕실"
"140","나"
"141","침대"
"142","몸"
"143","희부연"
"144","눈"
"145","창밖"
"146","바깥"
"147","풍경"
"148","어슴푸레하다"
"149","건너편"
"150","하이마트"
"151","로고"
"152","흐릿"
"153","눈"
"154","몇"
"155","번"
"156","눈"
"157","오른쪽"
"158","눈"
"159","왼쪽"
"160","눈"
"161","반대"
"162","로고"
"163","선명해지"
"164","눈"
"165","하루"
"166","침대"
"167","천장"
"168","벽지"
"169","문양들"
"170","가득"
"171","하이마트"
"172","로고"
"173","문양들"
"174","손가락"
"175","망막색소변성증"
"176","진단"
"177","거"
"178","달"
"179","전"
"180","야경"
"181","촬영"
"182","차"
"183","출사"
"184","때"
"185","눈"
"186","이상"
"187","거"
"188","곳"
"189","곳"
"190","잠깐"
"191","찰나"
"192","피사체"
"193","응시"
"194","피사체"
"195","장면들"
"196","일쑤"
"197","그전"
"198","때"
"199","그때"
"200","단순한"
"201","야맹증"
"202","생각"
"203","그날"
"204","작업"
"205","방해"
"206","정도"
"207","심각해"
"208","출사"
"209","후"
"210","병원"
"211","공포"
"212","싸인"
"213","내"
"214","전문"
"215","실명"
"216","기간"
"217","사람"
"218","수"
"219","수"
"220","정기적"
"221","내원"
"222","당부"
"223","증상"
"224","원인"
"225","전문"
"226","가족력"
"227","내"
"228","말"
"229","가족"
"230","증상"
"231","수"
"232","단독형"
"233","이상유전자"
"234","말"
"235","나"
"236","그날"
"237","전문의"
"238","실무적"
"239","입술"
"240","이"
"241","병명"
"242","요동"
"243","환자"
"244","전달"
"245","것"
"246","무미건조한"
"247","표정"
"248","기억"
"249","감정"
"250","한"
"251","톨"
"252","채"
"253","그"
"254","음성"
"255","몇"
"256","명"
"257","응급"
"258","환자"
"259","나"
"260","병명"
"261","두려움"
"262","허아비"
"263","의사"
"264","표정"
"265","신경"
"266","머리칼"
"267","기태를"
"268","스물여덟"
"269","몸"
"270","이상"
"271","스물여섯"
"272","몸"
"273","기태가"
"274","채"
"275","촛농"
"276","몸"
"277","송이송이"
"278","관능적"
"279","에로틱하게"
"280","모습"
"281","침대"
"282","기태는"
"283","진열장"
"284","드라이어"
"285","전신거울"
"286","앞"
"287","나"
"288","요란한"
"289","헤어드라이어"
"290","소리"
"291","귀"
"292","진열장"
"293","카메라"
"294","기태를"
"295","셔터"
"296","미쳤어"
"297","나"
"298","옷"
"299","기태가"
"300","나"
"301","미간"
"302","나"
"303","못"
"304","셔터"
"305","기태가"
"306","드라이어"
"307","내"
"308","손"
"309","카메라"
"310","사진"
"311","왜"
"312","섭섭하게"
"313","나"
"314","일별"
"315","기태가"
"316","침대"
"317","카메라"
"318","좀"
"319","툴툴거리는"
"320","내"
"321","기태"
"322","싸늘한"
"323","시선"
"324","기태는"
"325","드라이어"
"326","머리"
"327","나"
"328","고슴도치"
"329","몸"
"330","채"
"331","하이마트"
"332","로고"
"333","쪽"
"334","고개"
"335","드라이어"
"336","소리"
"337","기태"
"338","쪽"
"339","고개"
"340","순간"
"341","기태를"
"342","눈"
"343","드라이어"
"344","그"
"345","뒤태"
"346","선명"
"347","거울"
"348","속"
"349","기태와"
"350","그"
"351","모습"
"352","것"
"353","자세"
"354","모습"
"355","신경"
"356","거울"
"357","바깥"
"358","모습"
"359","기태일"
"360","것"
"361","확신"
"362","거울"
"363","속"
"364","모습"
"365","진짜"
"366","기태일지도"
"367","생각"
"368","그"
"369","모습"
"370","때"
"371","자세"
"372","나"
"373","거울"
"374","기태"
"375","모습"
"376","그"
"377","관계"
"378","날"
"379","기억"
"380","나와"
"381","기태"
"382","동거"
"383","생활"
"384","일"
"385","년"
"386","작년"
"387","이맘때"
"388","친구들마"
"389","기태와"
"390","나"
"391","농담"
"392","반"
"393","진담"
"394","반"
"395","게이"
"396","나"
"397","이상"
"398","관계"
"399","이"
"400","자신"
"401","사진작가"
"402","얼굴"
"403","후"
"404","하루하루"
"405","가시밭길"
"406","것"
"407","힘"
"408","나"
"409","일"
"410","년"
"411","동거"
"412","생활"
"413","기태에게"
"414","이별"
"415","통보"
"416","친구들"
"417","의심"
"418","것"
"419","기태를"
"420","설득"
"421","우리"
"422","기태는"
"423","나"
"424","지"
"425","일주일"
"426","전화"
"427","전화"
"428","문자"
"429","메시지"
"430","시작"
"431","메시지"
"432","내용"
"433","것"
"434","전화"
"435","전화"
"436","한"
"437","번"
"438","새끼"
"439","너"
"440","부탁"
"441","전화"
"442","이상"
"443","할"
"444","나"
"445","여관방"
"446","마지막"
"447","메시지"
"448","마음"
"449","기태에게"
"450","전화"
"451","몇"
"452","번"
"453","밖"
"454","나"
"455","택시"
"456","맥주병"
"457","생활용품들이"
