"","noun"
"1","이화"
"2","천사"
"3","손"
"4","길"
"5","거기"
"6","이잖아요"
"7","엄마"
"8","천사"
"9","아줌마"
"10","우리"
"11","엄마"
"12","놀이공원"
"13","길"
"14","경숙은"
"15","말"
"16","엄마"
"17","나"
"18","엄마"
"19","아줌마"
"20","천사"
"21","아빠"
"22","그랬어요남자는"
"23","욕"
"24","감"
"25","줄"
"26","사람"
"27","썅"
"28","은"
"29","는"
"30","신속하게"
"31","발음함"
"32","상대"
"33","적당한"
"34","모욕감"
"35","충분한"
"36","공포"
"37","그"
"38","택시"
"39","지"
"40","분"
"41","말"
"42","분요"
"43","경숙이"
"44","그때"
"45","남자"
"46","융숭한"
"47","욕"
"48","향연"
"49","시작한"
"50","것"
"51","지독한"
"52","욕"
"53","남자"
"54","언성"
"55","목소리"
"56","위험한"
"57","사람"
"58","경숙은"
"59","생각"
"60","죄송"
"61","죄송하게"
"62","수"
"63","말"
"64","경숙"
"65","불치"
"66","선호"
"67","시작"
"68","그것"
"69","약"
"70","밤"
"71","낮"
"72","명징한"
"73","정신"
"74","것"
"75","일"
"76","밤"
"77","년"
"78","이"
"79","경숙은"
"80","시간"
"81","돈"
"82","남편"
"83","선호"
"84","도움"
"85","것"
"86","사람들"
"87","용기"
"88","밤"
"89","여자"
"90","수"
"91","일"
"92","한계"
"93","것"
"94","이"
"95","택시"
"96","필요한"
"97","손님"
"98","채"
"99","운행"
"100","택시"
"101","연결"
"102","일"
"103","밤"
"104","열한"
"105","시"
"106","새벽"
"107","시"
"108","아무"
"109","사무실"
"110","전화"
"111","모니터"
"112","익명"
"113","편리"
"114","자신"
"115","해당"
"116","것"
"117","것"
"118","것"
"119","일"
"120","시작"
"121","얼마"
"122","않아서였다"
"123","사람"
"124","말"
"125","약속"
"126","경숙이"
"127","손님"
"128","고분"
"129","것"
"130","초"
"131","막말"
"132","전화"
"133","지"
"134","대"
"135","심정"
"136","생각"
"137","누구"
"138","것"
"139","화"
"140","누구"
"141","사람"
"142","소리"
"143","날"
"144","너"
"145","거기"
"146","나"
"147","테"
"148","수화기"
"149","저편"
"150","목소리"
"151","말"
"152","전화"
"153","몇"
"154","시간"
"155","뒤"
"156","남자"
"157","주먹"
"158","경숙"
"159","얼굴"
"160","그녀"
"161","발"
"162","지근지근"
"163","남자"
"164","폭력"
"165","것"
"166","웃음"
"167","때문"
"168","경숙"
"169","웃음소리"
"170","것"
"171","순간"
"172","남자"
"173","발길질"
"174","사무실"
"175","남자"
"176","한참"
"177","경숙은"
"178","웃음"
"179","완벽하게"
"180","것"
"181","불가능"
"182","큭큭"
"183","경숙이"
"184","을"
"185","검색바"
"186","엔터키"
"187","한"
"188","번"
"189","주소"
"190","위치"
"191","정확하게"
"192","수"
"193","인터넷"
"194","세상"
"195","나"
"196","거"
"197","일"
"198","배"
"199","것"
"200","것"
"201","웃음"
"202","다리"
"203","천장"
"204","세상"
"205","우리"
"206","선호"
"207","어디"
"208","것"
"209","경숙은"
"210","시멘트"
"211","바닥"
"212","한기"
"213","우리"
"214","엄마"
"215","꼬마"
"216","목소리"
"217","경숙은"
"218","짜증"
"219","남자"
"220","진탕"
"221","욕"
"222","꼬마"
"223","장난전화"
"224","상대"
"225","급속하게"
"226","두산"
"227","위브더"
"228","니스"
"229","동"
"230","호"
"231","전화선"
"232","연결"
"233","모니터"
"234","화면"
"235","도시"
"236","고급"
"237","아파트"
"238","벽시계"
"239","새벽"
"240","세"
"241","시"
"242","한"
"243","시간"
"244","경숙은"
"245","마음"
"246","꼬마"
"247","전화"
"248","처음"
"249","시간"
"250","전화"
"251","자기"
"252","엄마"
"253","불러달라고"
"254","경숙은"
"255","때"
"256","전화"
"257","어린아이"
"258","말"
"259","얘기"
"260","말"
"261","것"
"262","잠깐"
"263","수화기"
"264","경숙"
"265","손"
"266","멈칫"
"267","꼬마"
"268","목소리"
"269","간절"
"270","말"
"271","단지"
"272","얼굴사진"
"273","사람들"
"274","경숙이"
"275","애원"
"276","말"
"277","잠깐"
"278","한"
"279","번"
"280","경숙과"
"281","선호"
"282","뮤지컬"
"283","뮤지컬"
"284","머쓱"
"285","만큼"
"286","동네"
"287","문화센터"
"288","그것"
"289","허술"
"290","선호"
"291","쪽진"
"292","머리"
"293","며느리"
"294","탈"
"295","배우"
"296","방귀"
"297","뀔"
"298","때"
"299","박수"
"300","공연"
"301","배우"
"302","인사"
"303","무대"
"304","기념사진"
"305","차"
"306","선호"
"307","손부채"
"308","말"
"309","것"
"310","지하"
"311","주차했는데도"
"312","차"
"313","공기"
"314","숨"
"315","바깥"
"316","날씨"
"317","짐작"
"318","경숙은"
"319","에어컨"
"320","최대"
"321","고개"
"322","아이"
"323","시원"
"324","것"
"325","말"
"326","윙크했다"
"327","선호"
"328","입모양"
"329","뽀뽀"
"330","경숙과"
"331","선호"
"332","집"
"333","전"
"334","빵집"
"335","빙수"
"336","포장하기"
"337","동네"
"338","빵집"
"339","팥"
"340","우유"
"341","맛"
"342","깔끔한"
"343","빙수"
"344","그"
"345","입맛"
"346","유명"
"347","프랜차이즈"
"348","요란한"
"349","맛"
"350","사람"
"351","집"
"352","빙수"
"353","시작"
"354","손님"
"355","빵집"
"356","도착"
"357","때"
"358","뒷좌석"
"359","선호"
"360","콧구멍"
"361","숨"
"362","규칙적"
"363","잠"
"364","선호"
"365","선호"
"366","경숙이"
"367","이름"
"368","어깨"
"369","양"
"370","눈썹머리"
"371","밖"
"372","더위"
"373","대단"
"374","경숙은"
"375","선호"
"376","얼굴"
"377","방귀쟁이"
"378","며느리"
"379","양"
"380","입꼬리"
"381","미소"
"382","시동"
"383","차"
"384","찜통"
"385","것"
"386","경숙은"
"387","생각"
"388","자동차"
"389","키"
"390","채"
"391","에어컨"
"392","적당한"
"393","온도"
"394","조수석"
"395","가방"
"396","지갑"
"397","차"
"398","경숙은"
"399","선팅이"
"400","차창"
"401","손차양을"
"402","뒷좌석"
"403","선호"
"404","한"
"405","번"
"406","결심한"
"407","듯"
"408","빵집"
"409","소셜네트워크"
"410","위력"
"411","최근"
"412","몇"
"413","십"
"414","분"
"415","것"
"416","예사"
"417","빵집"
"418","안"
"419","한산했다"
"420","계산대"
"421","빙수"
"422","컵"
"423","계산"
"424","여자"
"425","하나"
"426","경숙은"
"427","여자"
"428","뒤"
"429","삼십"
"430","대"
"431","초반"
"432","여자"
"433","돈"
"434","말"
"435","현금"
"436","영수증요"
"437","전화번호"
"438","팔육이"
"439","아르바이트생"
"440","여자애"
"441","확인"
"442","육"
"443","일"
"444","여자"
"445","말"
"446","경숙은"
"447","밖"
"448","건물"
"449","모퉁이"
"450","위치"
"451","자리한"
"452","가게"
"453","도로변"
"454","경숙"
"455","차"
"456","경숙은"
"457","목"
"458","원피스"
"459","단추"
"460","하나"
"461","여자"
"462","거스름돈"
"463","경숙은"
"464","계산대"
"465","컵"
"466","빙수"
"467","두"
"468","개"
"469","주문"
"470","카드"
"471","손"
"472","위"
"473","전"
"474","여자"
"475","손"
"476","명함"
"477","종이"
"478","이것도요"
"479","열"
"480","번"
"481","열한"
"482","번째"
"483","공짜"
"484","수"
"485","쿠폰"
"486","아르바이트생이"
"487","경숙"
"488","돈"
"489","여자"
"490","쿠폰"
"491","도장"
"492","꾹"
"493","한"
"494","손"
"495","지갑"
"496","손"
"497","빙수"
"498","두"
"499","개"
"500","캐리어"
"501","조심"
"502","차"
"503","곳"
"504","경숙은"
"505","자신"
"506","차"
"507","자리"
"508","상황"
"509","이해"
"510","자신"
"511","차"
"512","아들"
"513","선호도"
"514","선호"
"515","경숙이"
"516","팔월"
"517","아스팔트"
"518","위"
"519","빙수"
"520","보도블록"
"521","우윳빛"
"522","얼음"
"523","얼룩"
"524","살"
"525","통팥이"
"526","무덤"
"527","꼬마"
"528","전화"
"529","계속"
"530","우리"
"531","엄마"
"532","로"
"533","시작"
"534","로"
"535","패턴"
"536","그날"
"537","경숙은"
"538","전화"
"539","꼬마"
"540","흐느낌"
"541","때문"
"542","엮이지"
"543","생각"
"544","아이"
"545","마음"
"546","장난전화"
"547","이유"
"548","장난"
"549","꼬마"
"550","대답"
"551","자신"
"552","이모님"
"553","유치원"
"554","길"
"555","사무실"
"556","하원"
"557","길"
"558","간판"
"559","는"
"560","이"
"561","뜻"
"562","날"
"563","유치원"
"564","사전"
"565","법"
"566","에서"
"567","을"
"568","어떤"
"569","사람"
"570","일정한"
"571","곳"
"572","이라고"
"573","아빠"
"574","시간"
"575","전화"
"576","수"
"577","리"
"578","때문"
"579","꼬마"
"580","얘기"
"581","내"
"582","말"
"583","말"
"584","엄마"
"585","경숙은"
"586","과"
"587","상관"
"588","수"
"589","아빠"
"590","엄마"
"591","천사"
"592","우리"
"593","살"
"594","수"
"595","아줌마"
"596","우리"
"597","엄마"
"598","전화"
"599","한"
"600","거예요"
"601","거기"
"602","이"
"603","꼬마"
"604","자신"
"605","전화"
"606","경숙을"
"607","원망"
"608","말투"
"609","아이"
"610","엄마"
"611","천사"
"612","것"
"613","지"
"614","한편"
"615","수"
"616","선호"
"617","자신"
"618","선물"
"619","정확하게"
"620","배달"
"621","산타"
"622","존재"
"623","석연치"
"624","산타할아버지가"
"625","거짓"
"626","생각지도"
"627","다섯"
"628","살"
"629","수"
"630","나이"
"631","그날"
"632","이후"
"633","경숙은"
"634","날개"
"635","손질"
"636","중"
"637","불쌍한"
"638","사람"
"639","출동"
"640","등"
"641","엄마"
"642","호출해"
"643","줄"
"644","수"
"645","이유"
"646","말"
"647","변명"
"648","아이"
"649","통화"
"650","이"
"651","날"
"652","거듭"
"653","꼬마"
"654","엄마"
"655","경숙과"
"656","대화"
"657","것"
"658","자신"
"659","짝꿍"
"660","특별한"
"661","날"
"662","한복"
"663","유치원"
"664","아빠"
"665","요리"
"666","요상한"
"667","맛"
"668","말"
"669","시시한"
"670","얘기들이"
"671","만"
"672","며칠"
"673","동안"
"674","전화"
"675","아줌마"
"676","낮"
"677","꼬마"
"678","때"
"679","경숙은"
"680","대답"
"681","암막"
"682","커튼"
"683","방"
"684","것"
"685","다였다"
"686","텔레비전"
"687","외출"
"688","몇"
"689","친구"
"690","관계"
"691","남편"
"692","식료품들"
"693","저녁"
"694","것"
"695","집"
"696","일과"
"697","저녁"
"698","시작한"
"699","것"
"700","불과"
"701","얼마"
"702","전"
"703","세상"
"704","경숙"
"705","목표"
"706","오"
"707","살아"
"708","이었다"
"709","죽어질"
"710","때"
"711","이었다"
"712","자식"
"713","엄마"
"714","것"
"715","고통"
"716","것"
"717","죗값을"
"718","것"
"719","생각"
"720","한"
"721","생애"
"722","것"
"723","그것"
"724","선호"
"725","죄"
"726","형벌"
"727","생각"
"728","구미호"
"729","선호"
"730","경숙은"
"731","새엄마"
"732","말"
"733","아버지"
"734","화장실"
"735","사이"
"736","뭉치"
"737","고기"
"738","소스"
"739","입"
"740","경숙을"
"741","새엄마"
"742","구미호"
"743","말"
"744","육회"
"745","경숙을"
"746","아버지"
"747","고기"
"748","부탁해"
"749","단골식당"
"750","경숙은"
"751","말"
"752","뜻"
"753","생각"
"754","젓가락질"
"755","새엄마"
"756","구미호"
"757","구미호"
"758","어린애"
"759","구미호말"
"760","너"
"761","그거"
"762","모습"
"763","구미호"
"764","입술"
"765","경숙은"
"766","입술색"
"767","립스틱"
"768","교무실"
"769","동생"
"770","나"
"771","테"
"772","앞"
"773","옆"
"774","가지"
"775","마"
"776","불길"
"777","얼마"
"778","전"
"779","새엄마"
"780","아기"
