"","noun"
"1","성리"
"2","줄"
"3","놈"
"4","분"
"5","말"
"6","반도체장비"
"7","스핀코터를"
"8","코앞"
"9","나지막"
"10","탄성"
"11","가정집"
"12","전기밥솥"
"13","타원형"
"14","모양새"
"15","소꿉장난"
"16","유치원"
"17","시절"
"18","딸내미"
"19","연상"
"20","은은한"
"21","회색빛"
"22","표면"
"23","위"
"24","파란색"
"25","뚜껑"
"26","뚜껑"
"27","센티"
"28","가량"
"29","물체"
"30","이"
"31","에어척"
"32","음"
"33","여기"
"34","샘플"
"35","코팅"
"36","뚜껑"
"37","장비"
"38","집"
"39","키로"
"40","쌀"
"41","한"
"42","부대"
"43","딸내미"
"44","가슴"
"45","스핀코터를"
"46","채"
"47","나"
"48","생각"
"49","나"
"50","이걸"
"51","수"
"52","장비"
"53","막을"
"54","열어젖힐"
"55","수"
"56","한영테크"
"57","첫"
"58","출근"
"59","날"
"60","나"
"61","사무실"
"62","도착한"
"63","때"
"64","오전"
"65","시"
"66","시각"
"67","년"
"68","직장"
"69","호기심"
"70","기대감"
"71","등"
"72","발걸음"
"73","재촉"
"74","사장"
"75","촌형이"
"76","비밀번호"
"77","문"
"78","열댓평"
"79","실내"
"80","오밀조밀한"
"81","풍경"
"82","한눈"
"83","편"
"84","폭"
"85","미터"
"86","길"
"87","미터"
"88","가량"
"89","작업대"
"90","책상"
"91","두"
"92","개"
"93","일렬"
"94","종대"
"95","왼편"
"96","원탁"
"97","테이블"
"98","책상"
"99","두"
"100","개"
"101","횡"
"102","배치"
"103","사장"
"104","것"
"105","책상"
"106","왼편"
"107","끝"
"108","책상"
"109","옆구리"
"110","자"
"111","출입문"
"112","쪽"
"113","공간"
"114","집기들이"
"115","오밀조밀이"
"116","말"
"117","것"
"118","나"
"119","성"
"120","나는"
"121","스핀코터를"
"122","작업대"
"123","내"
"124","자리"
"125","어디"
"126","편"
"127","끝"
"128","책상"
"129","모서리"
"130","투명"
"131","테이프"
"132","용지가"
"133","문호인"
"134","이사"
"135","환영"
"136","검정"
"137","싸인펜"
"138","글씨"
"139","형"
"140","것"
"141","생각"
"142","웃음"
"143","컴퓨터"
"144","전원"
"145","뒤"
"146","창"
"147","밖"
"148","차선"
"149","도로위로"
"150","차"
"151","도"
"152","저편"
"153","빌딩들"
"154","사이"
"155","아지랑이"
"156","인생"
"157","모른다더니"
"158","나"
"159","두"
"160","한"
"161","말"
"162","형광등"
"163","하나"
"164","갈아끼울"
"165","줄"
"166","만큼"
"167","천하"
"168","기계치"
"169","나"
"170","나"
"171","오십줄에"
"172","공돌이"
"173","생활"
"174","평범한"
"175","공돌이도"
"176","반도체"
"177","장비"
"178","회사"
"179","일"
"180","이"
"181","정말"
"182","소"
"183","부스스"
"184","하품"
"185","일"
"186","나"
"187","글"
"188","주물럭거리며"
"189","오리지널"
"190","문돌이였다"
"191","중고교"
"192","시절"
"193","국어"
"194","역사"
"195","과목"
"196","재미"
"197","수학"
"198","기술"
"199","등"
"200","교과서"
"201","관심"
"202","가지"
"203","자체"
"204","생겨먹었는지"
"205","흥미"
"206","생기질"
"207","한편"
"208","야구"
"209","축구"
"210","배구"
"211","등"
"212","스포츠"
"213","분야"
"214","틈"
"215","스포츠"
"216","전문"
"217","일간지"
"218","주간지"
"219","국내외"
"220","팀"
"221","동향"
"222","판"
"223","유명스타들"
"224","일거수일투족"
"225","체크"
"226","대학"
"227","학과"
"228","적성"
"229","국문과"
"230","캠퍼스생활"
"231","시"
"232","소설"
"233","속"
"234","친구들"
"235","문학"
"236","안주삼아"
"237","권커니"
"238","밤"
"239","와중"
"240","스포츠"
"241","전문지"
"242","손"
"243","야구장"
"244","축구장"
"245","모교팀"
"246","응원하기"
"247","대학"
"248","졸업"
"249","나"
"250","문돌이"
"251","로망"
"252","수"
"253","신문기자시험"
"254","합격"
"255","사회생활"
"256","첫"
"257","장"
"258","스포츠"
"259","매니아"
"260","운명"
"261","나"
"262","입사한"
"263","신문"
"264","종합지"
"265","스포츠지"
"266","나"
"267","취재기자"
"268","편집기자직"
"269","편집기자"
"270","밖"
"271","나"
"272","거"
"273","내"
"274","성격"
"275","천직"
"276","기사"
"277","글쟁이"
"278","열정"
"279","수"
"280","점"
"281","무엇"
"282","편집기자"
"283","주"
"284","업무"
"285","기사"
"286","핵심"
"287","간결한"
"288","제목"
"289","것"
"290","나"
"291","누구"
"292","기자"
"293","퇴근후"
"294","제목"
"295","연구"
"296","고민"
"297","영화"
"298","노래"
"299","소설"
"300","아동"
"301","도서"
"302","근사한"
"303","제목거리"
"304","동료들"
"305","찬사"
"306","제목"
"307","중"
"308","김기태"
"309","김"
"310","전쟁"
"311","양준혁"
"312","양"
"313","침묵"
"314","영화"
"315","것"
"316","는"
"317","노래방"
"318","메모"
"319","것"
"320","이상훈"
"321","내"
"322","홈런"
"323","내게"
"324","거짓말"
"325","라는"
"326","책"
"327","제목"
"328","김용수"
"329","선동열"
"330","어린이용"
"331","속담"
"332","사전"
"333","응용한"
"334","것"
"335","지면"
"336","나"
"337","명작들"
"338","볼땐"
"339","자식"
"340","애정"
"341","동료들"
"342","경쟁지"
"343","기자들"
"344","내"
"345","작품"
"346","모방"
"347","거"
"348","볼땐"
"349","가슴"
"350","뻐근한"
"351","희열"
"352","열흘"
"353","꽃"
"354","달"
"355","차"
"356","년"
"357","프로야구"
"358","해태팀"
"359","몰락"
"360","기사"
"361","제목"
"362","달"
"363","때"
"364","부제"
"365","인용한"
"366","경구"
"367","담당"
"368","취재기자"
"369","자신"
"370","생각지"
"371","것"
"372","나"
"373","엄지"
"374","그"
"375","몇년"
"376","후"
"377","회사"
"378","운명"
"379","한낮"
"380","태양"
"381","인기"
"382","신문"
"383","날"
"384","부턴가"
"385","석양"
"386","지하철"
"387","무료신문들이"
"388","등장"
"389","스포츠신문"
"390","가판시장"
"391","잠식"
"392","인터넷"
"393","매체들"
"394","날"
"395","위세"
"396","사람"
"397","스포츠신문"
"398","사보질"
"399","무료신문"
"400","인터넷"
"401","공짜기사"
"402","돈"
"403","내"
"404","신문"
"405","살"
"406","이유"
"407","자연"
"408","스포츠신문"
"409","광고주들"
"410","이탈"
"411","이"
"412","회사"
"413","가판"
"414","포기"
"415","배달판"
"416","확장"
"417","안간힘"
"418","이번"
"419","혜성"
"420","스마트폰앞에"
"421","무릎"
"422","세상"
"423","뉴스"
"424","이라는"
"425","수식어"
"426","말"
"427","스마트폰은"
"428","스포츠지"
"429","종이신문"
"430","자체"
"431","무용지물"
"432","괴물"
"433","적자"
"434","수렁"
"435","회사"
"436","수"
"437","거"
"438","임금삭감"
"439","구조조정"
"440","사원들"
"441","월급"
"442","반"
"443","근속기간"
"444","사원들"
"445","대상"
"446","틈"
"447","대"
"448","명예퇴직"
"449","실시"
"450","생각"
"451","인원수"
"452","한"
"453","해"
"454","다섯"
"455","번"
"456","실시한"
"457","적"
"458","급여"
"459","인력"
"460","줄"
"461","회사"
"462","사정"
"463","칼바람"
"464","년"
"465","겨울"
"466","회사"
"467","명퇴"
"468","칼"
"469","뽑아들었다"
"470","이번"
"471","명예"
"472","퇴직"
"473","수"
"474","마지막"
"475","기회"
"476","정리해고"
"477","것"
"478","으름장"
"479","쉰"
"480","눈앞"
"481","나이"
"482","나"
"483","사표"
"484","편집부장"
"485","몇년"
"486","중"
"487","이상"
"488","구차"
"489","생각"
"490","머릿속"
"491","난파선"
"492","눈치"
"493","저"
"494","눈치"
"495","거"
"496","어찌보"
"497","죽음"
"498","고통"
"499","나"
"500","입술"
"501","비장한"
"502","각오"
"503","가슴속"
"504","바다"
"505","한조각"
"506","물거품"
"507","죽"
"508","힘"
"509","저"
"510","비옥한"
"511","땅"
"512","두"
"513","살"
"514","촌형에게서"
"515","전화"
"516","거"
"517","희망"
"518","상징"
"519","개나리꽃"
"520","집"
"521","담벼락"
"522","월"
"523","일주일"
"524","전"
"525","일"
"526","년"
"527","쯤엔가"
"528","신문사"
"529","만원"
"530","형"
"531","양복"
"532","말끔하게"
"533","차려입고"
"534","왕래"
"535","촌동생에게"
"536","급전"
"537","모습"
"538","궁색한"
"539","처지"
"540","화학공학과"
"541","출신"
"542","형"
"543","수년째"
"544","일제"
"545","반도체장비"
"546","수입"
"547","유통"
"548","일"
"549","얘기"
"550","한"
"551","뒤"
"552","그후론"
"553","어디론가"
"554","잠적했다는"
"555","얘기"
"556","뿐"
"557","소식"
"558","터"
"559","형"
"560","목소리"
"561","이"
"562","몇"
"563","년만이냐고"
"564","운"
"565","형"
"566","나"
"567","이십년"
"568","것"
"569","대답"
"570","전"
"571","다음"
"572","말"
"573","기뻐해라"
"574","나"
"575","첨단"
"576","반도체장비"
"577","개발"
"578","형"
"579","성격"
"580","라"
"581","생각"
"582","라고"
"583","답"
"584","이번"
"585","호탕한"
"586","목소리"
"587","내"
"588","귓전"
"589","한영테크"
"590","한영테크"
"591","한번"
"592","검색해서"
"593","메인"
"594","화면"
"595","내"
"596","사진"
"597","반도체"
"598","장비"
"599","사진들이"
"600","좌악"
"601","나올거다"
"602","통화는"
"603","일방통행식"
"604","나"
"605","추임새"
"606","뿐"
"607","목소리"
"608","높인던"
"609","형"
"610","술"
"611","말"
"612","나"
"613","동네"
"614","한달음에"
"615","형"
"616","맥주잔"
"617","얘기"
"618","스핀코터라는"
"619","반도체"
"620","장비"
"621","개발하기"
"622","고생"
"623","대목"
"624","눈시울"
"625","요지"
"626","국내"
"627","이공계"
"628","학생들"
"629","연구원"
"630","일본제"
"631","스핀코터는"
"632","성능"
"633","안좋은"
"634","것"
"635","값"
"636","고장"
"637","나"
"638","에이에스받는"
"639","한두"
"640","달"
"641","연구"
"642","중단"
"643","폐단"
"644","점"
"645","착안해"
"646","성능"
"647","국산장비"
"648","개발"
"649","심혈"
"650","모델명"
"651","명품"
"652","국내시장"
"653","초기반응"
"654","기대"
"655","이상"
"656","앞"
"657","국내"
"658","해외시장"
"659","글로벌"
"660","베스트셀러"
"661","것"
"662","형"
"663","스핀코터"
"664","본고장"
"665","일본에"
"666","것"
"667","자금"
"668","거"
"669","포기"
"670","얘기"
"671","세상"
"672","하직"
"673","수면제"
"674","백"
"675","입안"
"676","우겨넣었다가"
"677","사흘만"
"678","얘기"
"679","예전"
"680","나"
"681","두세"
"682","번"
