"","noun"
"1","김민"
"2","수"
"3","플랫"
"4","폼"
"5","사비는"
"6","순서"
"7","복도"
"8","고요함"
"9","문"
"10","소리"
"11","누군가"
"12","사비를"
"13","전"
"14","적"
"15","얼굴"
"16","그"
"17","적의"
"18","사비는"
"19","눈"
"20","생각"
"21","것"
"22","그"
"23","이름"
"24","관료"
"25","학자들"
"26","권위"
"27","공기"
"28","거북"
"29","사비가"
"30","의자"
"31","그들"
"32","동안"
"33","파일"
"34","문서들"
"35","무작위적"
"36","리듬"
"37","자기"
"38","역할"
"39","몰입한"
"40","자"
"41","비난해서"
"42","사비는"
"43","그"
"44","침묵"
"45","무게"
"46","위원"
"47","말"
"48","우리는"
"49","첫째"
"50","근무자들"
"51","파견지"
"52","이탈"
"53","건"
"54","조사하기"
"55","당신"
"56","문제"
"57","우리"
"58","당신"
"59","형식상"
"60","협조"
"61","뿐"
"62","반응할"
"63","틈"
"64","위원"
"65","말"
"66","둘째로"
"67","인간"
"68","반출"
"69","사건"
"70","조사"
"71","거"
"72","경우"
"73","당신"
"74","위치"
"75","기관"
"76","배려"
"77","사비는"
"78","동요"
"79","마음"
"80","작용"
"81","세부사항들"
"82","그"
"83","위원들"
"84","질문"
"85","답"
"86","일정한"
"87","어조"
"88","이"
"89","질문들"
"90","위원들"
"91","질문"
"92","이해"
"93","이탈"
"94","반출"
"95","그것"
"96","사비"
"97","언어"
"98","사비와"
"99","위원회"
"100","서로"
"101","것"
"102","위원회"
"103","사비를"
"104","의심"
"105","그"
"106","만큼"
"107","말"
"108","교묘하게"
"109","말"
"110","생각"
"111","사비는"
"112","그들"
"113","것"
"114","그"
"115","질문거리"
"116","가득"
"117","심문"
"118","계속"
"119","것"
"120","사비는"
"121","구금"
"122","위원회"
"123","권한"
"124","즉석"
"125","다음"
"126","출석"
"127","예고"
"128","서명"
"129","허락"
"130","그"
"131","뒤"
"132","문"
"133","복도"
"134","그"
"135","창문"
"136","광장"
"137","그곳"
"138","그"
"139","골목길"
"140","비밀"
"141","불규칙한"
"142","계단"
"143","곳곳"
"144","그림자들"
"145","골목"
"146","지점"
"147","골목"
"148","사비는"
"149","골목"
"150","때"
"151","주변"
"152","담벼락"
"153","것"
"154","왼편"
"155","불"
"156","상점"
"157","진열대"
"158","사이"
"159","점원"
"160","그녀"
"161","웃음"
"162","준비"
"163","기호"
"164","그녀"
"165","것"
"166","미소"
"167","신비한"
"168","제안"
"169","사비는"
"170","생각"
"171","달콤"
"172","수"
"173","진열대"
"174","술병"
"175","빼곡하다"
"176","사비는"
"177","화려한"
"178","단어들"
"179","덧붙은"
"180","상징들"
"181","색"
"182","형태"
"183","차이"
"184","구별하기"
"185","중요한"
"186","동물들"
"187","도형들"
"188","그"
"189","방향감각"
"190","발"
"191","술병"
"192","것"
"193","땀"
"194","손등"
"195","땀"
"196","인사말"
"197","사비는"
"198","점원"
"199","입"
"200","눈"
"201","수동성"
"202","그녀"
"203","조화"
"204","목소리"
"205","사비는"
"206","사이"
"207","실망"
"208","그"
"209","듯"
"210","말"
"211","듯"
"212","대꾸"
"213","점원"
"214","한발"
