"","noun"
"1","도재"
"2","경"
"3","피에카르스키를"
"4","간판"
"5","상점"
"6","입구"
"7","쪽"
"8","날개"
"9","천사"
"10","조각상"
"11","그곳"
"12","일관성"
"13","수"
"14","허름한"
"15","잡화점"
"16","지"
"17","가득한"
"18","진열장"
"19","축"
"20","눈매"
"21","탓"
"22","어딘지"
"23","난쟁이"
"24","동상"
"25","하나"
"26","내"
"27","시선"
"28","잡아끌었다"
"29","사실"
"30","녀석"
"31","입"
"32","것"
"33","제외"
"34","거리"
"35","산책"
"36","난쟁이"
"37","동상"
"38","다르진"
"39","거리"
"40","녀석들"
"41","독특한"
"42","모습"
"43","사람"
"44","시선"
"45","화재"
"46","복원"
"47","중"
"48","성"
"49","엘리자베스"
"50","성당"
"51","앞"
"52","불"
"53","소방관"
"54","난쟁이"
"55","동상"
"56","노천카페"
"57","부근"
"58","보드카"
"59","맥주"
"60","술주정뱅이"
"61","난쟁이"
"62","동상"
"63","자리"
"64","사람"
"65","손길"
"66","반지르르한"
"67","거리"
"68","녀석들"
"69","행인들"
"70","저마다"
"71","사연"
"72","말"
"73","것"
"74","진열장"
"75","녀석"
"76","이전"
"77","난쟁이"
"78","동상"
"79","분위기"
"80","녀석"
"81","고깔모자"
"82","눌러쓴"
"83","채"
"84","손나발"
"85","불"
"86","듯"
"87","두"
"88","손"
"89","입가"
"90","대"
"91","창밖"
"92","절규"
"93","것"
"94","한편"
"95","누군가"
"96","귓속말"
"97","것"
"98","한"
"99","어정쩡한"
"100","모습"
"101","녀석"
"102","뭐"
"103","말"
"104","것"
"105","나"
"106","상점"
"107","문"
"108","금속"
"109","냄새"
"110","책"
"111","냄새"
"112","코끝"
"113","입구"
"114","쪽"
"115","엽서"
"116","비롯해"
"117","헌책"
"118","따위"
"119","선반"
"120","용도"
"121","수"
"122","잡동사니"
"123","널브러져"
"124","어두침침한"
"125","백열등"
"126","탁자"
"127","위"
"128","자전축"
"129","나사"
"130","지구본"
"131","갸우뚱하게"
"132","너머"
"133","주인"
"134","유령"
"135","얼굴"
"136","나"
"137","상점"
"138","안"
"139","척"
"140","주인"
"141","진열장"
"142","녀석"
"143","무엇"
"144","것"
"145","주인"
"146","대답"
"147","뜻밖"
"148","그"
"149","벙거지"
"150","진열장"
"151","바닥"
"152","청동"
"153","조각"
"154","용접"
"155","문제"
"156","조각"
"157","녀석"
"158","입"
"159","조심"
"160","모습"
"161","데"
"162","녀석"
"163","얼굴"
"164","천진난만한"
"165","것"
"166","것"
"167","그것"
"168","녀석"
"169","입"
"170","빵"
"171","빵"
"172","난쟁이"
"173","기분"
"174","안"
"175","주인"
"176","내"
"177","물건"
"178","있냐며"
"179","친근한"
"180","어투"
"181","여기"
"182","물건"
"183","없소"
"184","물건"
"185","세상"
"186","촛대"
"187","은그릇"
"188","사진첩"
"189","그림"
"190","자물쇠"
"191","저쪽"
"192","구석"
"193","총통"
"194","나리"
"195","연애편지"
"196","거요"
"197","그것"
"198","불쏘시개"
"199","뒤"
"200","데"
"201","제격"
"202","주인"
"203","폴란드인"
"204","장사꾼"
"205","영어"
"206","유창"
"207","작달막한"
"208","청년"
"209","한"
"210","질"
"211","책"
"212","가게"
"213","않았다"
"214","나"
"215","주인"
"216","장광설"
"217","대책"
"218","것"
"219","청년"
"220","책값"
"221","흥정"
"222","동안"
"223","나"
"224","가게"
"225","시차"
"226","탓"
"227","머리"
"228","묵직"
"229","광장"
"230","근처"
"231","위치한"
"232","호텔"
"233","길"
"234","마트에"
"235","샌드위치"
"236","맥주"
"237","한"
"238","팩"
"239","나"
"240","호텔"
"241","샤워"
"242","한"
"243","뒤"
"244","노트북"
"245","몇"
"246","통"
"247","메일"
"248","수신"
"249","가제타"
"250","비보르차"
"251","마이코프스키"
"252","기자"
"253","메일"
"254","동년배"
"255","그"
"256","십여"
"257","년"
"258","전"
"259","영화제"
"260","이후"
"261","안부"
"262","사이"
"263","서울을"
"264","전"
"265","그"
"266","야체크"
"267","피에카르스키에"
"268","부탁"
"269","터"
"270","그"
"271","브로츠와프에"
"272","취재차"
"273","방문"
"274","일"
"275","다음"
"276","날"
"277","식사"
"278","그"
"279","답장"
"280","브로츠와프"
"281","대학"
"282","방문해"
"283","작정"
"284","번거로움"
"285","것"
"286","나"
"287","답장"
"288","이"
"289","박"
"290","류드밀라"
"291","여사"
"292","조카"
"293","율리아가"
"294","메일"
"295","확인"
"296","카를로비"
"297","바"
"298","영화제"
"299","참석"
"300","폴란드에"
"301","계획"
"302","메일"
"303","것"
"304","보름"
"305","전"
"306","일"
"307","박"
"308","류드밀라"
"309","여사"
"310","분명"
"311","피에카르스키에"
"312","소식"
"313","그녀"
"314","조카"
"315","메일"
"316","예상치"
"317","내용"
"318","박"
"319","류드밀라"
"320","여사"
"321","여든여섯"
"322","타계한"
"323","박"
"324","류드밀라"
"325","여사"
"326","거"
"327","재작년"
"328","긴"
"329","을"
"330","촬영하기"
"331","카자흐스탄"
"332","카라간다에"
"333","방문"
"334","때"
"335","고려인"
"336","아이들"
"337","몇"
"338","편"
"339","동화"
"340","집필한"
"341","경력"
"342","그녀"
"343","한평생"
"344","강제이주"
"345","역사"
"346","연구"
"347","재야"
"348","학자"
"349","그녀"
"350","러시아어"
"351","유창하게"
"352","구사"
"353","인터뷰"
"354","때"
"355","한국어"
"356","사용"
"357","촬영"
"358","당시"
"359","그녀"
"360","수집"
"361","각종"
"362","기록물"
"363","증언"
"364","내"
"365","바"
"366","것"
"367","사실"
"368","크렘린"
"369","독재자"
"370","강제이주"
"371","정책"
"372","시행한"
"373","년"
"374","그녀"
"375","여섯"
"376","살"
"377","그녀"
"378","막냇동생은"
"379","우수리스크"
"380","카라간다"
"381","지역"
"382","이동"
"383","열차"
"384","화물칸"
"385","아사해"
"386","시베리아"
"387","판"
"388","모친"
"389","오빠"
"390","카라간다에"
"391","도착한"
"392","후"
"393","학질"
"394","일"
"395","년"
"396","채"
"397","세상"
"398","그녀"
"399","부친"
"400","만주"
"401","연해주"
"402","일대"
"403","항일무장투쟁"
"404","가담"
"405","이유"
"406","강제이주"
"407","직후"
"408","간첩죄"
"409","체포"
"410","정치범"
"411","수용소"
"412","실종"
"413","천애"
"414","불모지"
"415","그녀"
"416","한"
"417","살"
"418","터울"
"419","동생"
"420","간난신고"
"421","고려인"
"422","바"
"423","참혹한"
"424","것"
"425","훗날"
"426","그녀"
"427","부친"
"428","코틀라스"
"429","강제수용소"
"430","괴혈병"
"431","사망"
"432","사실"
"433","뒤"
"434","그녀"
"435","고려인"
"436","실종자"
"437","집필"
"438","착수"
"439","삼십"
"440","년"
"441","세월"
"442","동안"
"443","그녀"
"444","답사"
"445","발굴"
"446","정리한"
"447","고려인"
"448","실종자"
"449","는"
"450","미완성"
"451","채"
"452","실종자"
"453","일일"
"454","작업"
"455","것"
"456","불구"
"457","그녀"
"458","연구"
"459","러시아와"
"460","중앙아시아"
"461","등지"
"462","고려인"
"463","자료들"
"464","다큐멘터리"
"465","제작"
"466","과정"
"467","도움"
"468","그녀"
"469","촬영"
"470","부분"
"471","절반"
"472","이상"
"473","도려낼"
"474","수"
"475","그녀"
"476","증언"
"477","기록들"
"478","신뢰"
"479","고모"
"480","얘기"
"481","율리아가"
"482","박"
"483","류드밀라"
"484","여사"
"485","무릎"
"486","담요"
"487","말"
"488","박"
"489","류드밀라"
"490","여사"
"491","지난해"
"492","마지막"
"493","인터뷰"
"494","때"
"495","다큐멘터리"
"496","기획의도"
"497","이야기"
"498","인터뷰"
"499","중단"
"500","수"
"501","그날"
"502","마찬가지"
"503","그녀"
"504","내"
"505","문서"
"506","탁자"
"507","피에카르스키에"
"508","소식"
"509","것"
"510","궤짝"
"511","손수건"
"512","싸인"
"513","물건"
"514","그것"
"515","피에카르스키가"
"516","보르쿠타"
"517","수용소"
"518","이송되기"
"519","전"
"520","그녀"
"521","하모니카"
"522","그녀"
"523","말"
"524","그"
"525","하모니카"
"526","연주"
"527","실력"
"528","아리랑"
"529","비롯해"
"530","민요"
"531","나"
"532","수"
"533","박"
"534","류드밀라"
"535","여사"
"536","손"
"537","다큐멘터리"
"538","제작"
"539","대"
"540","그"
"541","수소문"
"542","약속"
"543","어디"
"544","접근"
"545","엄두"
"546","나"
"547","무모하게"
"548","그"
"549","백"
"550","살"
"551","노령"
"552","두"
"553","사람"
"554","재회"
"555","장담"
"556","수"
"557","피에카르스키가"
"558","실존"
"559","인물"
"560","의심"
"561","나위"
"562","박"
"563","류드밀라"
"564","여사"
"565","러시아"
"566","문서보관소"
"567","요청"
"568","확보한"
"569","자료"
"570","그"
"571","카라간다"
"572","정치범"
"573","수용소"
"574","농업"
"575","교정"
"576","노동"
"577","수용소"
"578","우랄산맥"
"579","북단"
"580","보르쿠타"
"581","수용소"
"582","이송"
