"","noun"
"1","허채"
"2","파티"
"3","파"
"4","티"
"5","아버지"
"6","파지"
"7","발톱"
"8","수염"
"9","풀"
"10","수북"
"11","여름"
"12","옷"
"13","몸"
"14","고약한"
"15","냄새"
"16","이마"
"17","머리카락"
"18","주름"
"19","골"
"20","광대뼈"
"21","정도"
"22","볼"
"23","파"
"24","아버지"
"25","아버지"
"26","발견한"
"27","사람"
"28","동네"
"29","노숙"
"30","사람"
"31","재개발"
"32","예정지"
"33","이곳"
"34","사람"
"35","집"
"36","빈집"
"37","동네"
"38","그"
"39","아버지"
"40","노숙"
"41","아버지"
"42","며칠째"
"43","무료급식소"
"44","동네"
"45","뒤"
"46","것"
"47","얼굴"
"48","교문"
"49","앞"
"50","손"
"51","자상"
"52","모습"
"53","수"
"54","세상"
"55","것"
"56","악착"
"57","두"
"58","손"
"59","채"
"60","배낭"
"61","속"
"62","사진"
"63","사진"
"64","뒤"
"65","김은혜"
"66","이름"
"67","전화번호"
"68","것"
"69","통화"
"70","때"
"71","딸"
"72","네"
"73","나"
"74","딸"
"75","뼈"
"76","살"
"77","딸"
"78","지경"
"79","아버지"
"80","방치"
"81","수"
"82","그렇군요"
"83","어르신"
"84","모습"
"85","발견"
"86","연락처"
"87","것"
"88","외상"
"89","흔적"
"90","타살"
"91","정황"
"92","조사"
"93","필요하시"
"94","현장"
"95","보존"
"96","이곳"
"97","죽음"
"98","몇"
"99","번"
"100","발견"
"101","듯"
"102","파출소"
"103","순경"
"104","짐작"
"105","말"
"106","쇳덩이"
"107","돈"
"108","것들은"
"109","쓸모"
"110","콘크리트"
"111","나무틀"
"112","가구들"
"113","남"
"114","허름한"
"115","빈집"
"116","바닥"
"117","종이상자"
"118","어젯밤"
"119","폭우"
"120","빗물"
"121","새"
"122","아버지"
"123","상자"
"124","앙상하게"
"125","팔목"
"126","수술"
"127","자국"
"128","언제"
"129","것"
"130","모습"
"131","것"
"132","묵직한"
"133","것"
"134","가슴"
"135","눈물"
"136","딸"
"137","통곡"
"138","아니에요"
"139","병원"
"140","아버지"
"141","여기"
"142","둘"
"143","수"
"144","현기증"
"145","나"
"146","온몸"
"147","그때"
"148","전화벨"
"149","실장님"
"150","어디"
"151","그룹"
"152","사모님"
"153","약속시각"
"154","재촉"
"155","윤"
"156","대리"
"157","전화"
"158","아버지"
"159","발견"
"160","연락"
"161","주"
"162","여사님"
"163","약속"
"164","모그룹"
"165","사모님"
"166","주선"
"167","그룹"
"168","회장"
"169","팔순"
"170","파티"
"171","우리"
"172","회사"
"173","기획"
"174","진행하게"
"175","국회의원"
"176","장인"
"177","급"
"178","실장"
"179","나"
"180","진행"
"181","중"
"182","자택"
"183","가든파티"
"184","준비"
"185","것"
"186","만만치"
"187","파티"
"188","며칠"
"189","주"
"190","여사"
"191","몇"
"192","가지"
"193","컨셉을"
"194","변경"
"195","구급차"
"196","아버지"
"197","병원"
"198","병원"
"199","동안"
"200","아버지"
"201","손가락"
"202","평생"
"203","대패질"
"204","못"
"205","손"
"206","나"
"207","때"
"208","이마"
"209","위험한"
"210","길"
"211","내"
"212","손"
"213","따뜻한"
"214","손"
"215","주먹"
"216","채"
"217","아버지"
"218","손가락"
"219","구급대원"
"220","모습"
"221","안쓰럽게"
"222","손가락"
"223","아버지"
"224","의사"
"225","심장마비"
"226","사인"
"227","나"
"228","동"
"229","장례식장"
"230","마련"
"231","호적"
"232","딸"
"233","상주"
"234","나"
"235","아버지"
"236","거"
"237","여덟"
"238","살"
