,1990,1991,1992,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
영화,0,0,0,0,0,0,7,6,3,4,6,9,10,4,0,0,6,5,8,4,21,10,41,15,21,8,18,36,7,29
인터넷,0,0,0,0,0,0,0,0,0,0,2,1,4,1,0,0,5,12,7,1,21,21,29,19,16,6,18,11,12,11
핸드폰,0,0,0,0,0,0,0,0,4,2,22,25,0,1,0,2,4,15,0,10,13,10,27,19,15,5,12,17,18,10
택배,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,4,0,4,11,7,1,30,1,12,26,2,4,9
모니터,0,0,0,0,0,0,0,5,0,1,1,2,1,0,3,1,13,2,9,2,11,6,7,6,10,1,6,8,3,21
커피,0,0,0,0,0,0,9,12,11,17,17,18,24,0,0,2,17,25,4,4,7,13,59,12,18,44,36,22,18,50
편의점,0,0,0,0,0,0,0,11,0,0,1,0,0,0,0,0,1,16,8,2,5,10,12,6,9,12,5,16,10,24
카페,0,0,0,0,0,0,2,2,0,8,2,12,17,2,0,0,8,1,5,0,3,6,8,8,15,34,14,9,5,21
드라마,0,0,0,0,0,0,0,2,0,1,2,2,1,1,0,0,0,4,2,1,3,10,3,2,10,5,1,5,1,4
