,1990,1991,1992,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
죽음,1,2,0,1,0,0,5,8,7,33,21,15,18,6,2,0,13,10,19,7,19,44,24,29,30,24,14,68,34,23
청년,1,0,0,0,0,0,2,16,23,1,3,1,1,0,0,0,21,5,2,3,1,1,2,7,11,4,1,24,2,2
농촌,0,0,0,0,0,0,0,1,1,0,2,1,0,0,0,0,0,0,0,0,1,0,0,1,3,1,0,0,0,1
치매,0,0,0,0,0,0,0,0,0,0,0,4,3,0,0,0,0,0,1,0,4,4,2,0,4,2,8,2,5,1
세월,3,0,0,0,5,1,8,2,5,7,20,15,6,1,1,0,12,5,1,2,5,10,9,15,9,11,4,11,7,9
병,2,0,0,5,4,3,11,15,4,10,13,14,16,0,4,2,15,12,10,14,17,25,15,12,28,53,16,30,42,25
환자,0,0,0,0,0,0,0,2,2,3,10,3,9,0,1,3,43,3,0,8,20,28,17,17,30,1,68,15,6,11
중년,1,0,0,0,0,0,0,2,0,1,2,5,1,4,1,1,11,3,24,5,5,4,5,3,5,4,1,5,12,11
노모,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,3,0,0,2,1,0,63,84,0,0,0
농민,0,0,0,0,0,0,0,3,0,0,1,2,0,0,0,0,0,0,0,0,1,1,0,1,1,0,0,0,0,1
할아버지,0,0,0,0,0,0,0,0,0,44,1,2,22,5,0,3,5,13,0,11,25,3,6,5,17,38,51,13,15,6
고령화,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
묘,0,0,0,0,0,0,8,3,1,3,4,3,3,1,0,1,6,4,0,0,1,3,4,84,8,6,10,10,4,6
장례식,0,0,0,0,0,0,8,0,0,4,2,1,10,0,0,0,6,1,0,0,3,7,42,1,9,15,4,32,3,5
안방,0,0,0,0,0,0,1,1,3,6,6,8,1,0,0,1,3,5,2,10,12,3,16,3,3,11,6,15,13,20
경운기,0,0,0,0,0,0,1,3,1,1,1,0,4,0,0,0,0,0,0,0,0,59,0,0,19,0,2,0,0,0
무덤,0,0,0,0,0,0,3,0,0,8,4,2,1,0,2,0,4,9,1,2,8,2,8,16,2,18,2,10,4,5
영감,0,0,0,0,0,0,0,158,10,1,5,0,1,0,0,0,0,1,0,1,14,1,1,1,1,2,2,4,6,3
