,1990,1991,1992,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
삶,0,0,0,2,1,2,36,6,45,26,23,47,19,1,1,3,38,17,36,20,36,38,40,34,27,76,40,53,21,26
문제,0,1,0,8,11,0,9,9,10,19,34,4,11,2,3,3,15,28,14,14,46,25,43,52,115,49,40,41,45,29
현실,0,0,0,2,1,0,5,5,1,7,4,3,17,2,1,3,9,3,2,2,7,29,7,13,12,18,8,31,5,17
인간,1,2,0,2,2,0,15,10,16,33,18,18,12,1,0,2,19,22,6,27,44,18,23,50,18,32,21,50,25,17
사회,0,0,0,2,0,0,0,3,1,5,1,3,2,0,0,1,3,4,3,0,1,6,5,9,1,8,4,9,7,10
일상,2,1,0,1,0,0,4,1,3,3,6,3,2,0,0,2,12,3,4,2,13,10,8,14,7,15,12,16,13,10
존재,0,0,0,3,0,0,12,11,12,27,12,20,25,10,1,8,14,17,11,28,43,28,24,39,43,79,34,36,24,17
살아가,0,0,0,0,0,0,6,2,2,6,7,7,15,4,6,4,7,6,10,2,8,12,4,18,9,20,3,10,10,3
내면,0,0,0,0,0,1,1,1,1,6,0,0,0,0,0,4,0,1,0,2,1,1,3,8,1,0,2,2,3,2
불안,1,0,0,3,1,0,4,10,11,11,11,13,8,4,1,3,10,24,11,11,19,13,20,18,15,8,20,15,16,35
인생,3,0,0,0,0,0,8,5,17,14,10,10,13,0,1,10,23,4,9,2,23,17,21,21,21,18,5,18,22,17
개인,0,0,0,0,0,1,0,0,0,1,8,0,0,0,1,0,5,3,3,1,1,6,2,5,3,8,7,3,1,1
고독,0,0,0,0,0,0,2,1,0,0,1,1,2,0,0,0,0,0,3,0,5,2,10,5,1,0,0,1,0,1
감정,0,0,0,2,3,0,12,4,9,22,17,14,4,1,0,9,5,16,9,5,21,21,17,26,22,20,17,41,28,15
성찰,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,2,0,0,1,0,0
생활,0,1,0,2,2,0,8,12,2,12,31,15,13,5,1,2,15,10,7,8,11,25,18,24,27,20,30,28,29,9
자살,0,0,0,0,0,0,0,3,2,9,2,2,5,0,4,0,6,0,0,2,26,9,12,14,8,19,2,22,50,7
서울,0,0,0,0,0,0,33,27,3,11,18,12,23,19,0,9,12,3,4,4,38,37,6,18,14,14,14,17,18,16
현대인,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,2,0,1,0,0
자유,0,0,0,0,0,0,3,5,2,7,9,12,11,1,0,5,5,1,10,3,10,8,9,22,9,23,2,7,8,6
타인,0,0,0,0,0,0,0,0,3,22,0,4,5,1,0,0,5,2,0,0,7,2,7,13,7,4,1,4,7,6
일상적,0,0,0,0,0,0,0,1,0,1,1,1,1,0,0,0,1,0,1,1,0,1,0,3,1,3,0,1,0,0
직장,0,0,0,0,0,0,1,6,7,8,8,3,16,0,0,2,9,2,3,7,14,20,15,17,11,10,14,23,18,9
계단,0,0,0,0,2,0,5,12,17,11,18,10,10,6,1,81,9,6,20,10,28,17,58,34,22,21,33,51,58,17
버스,2,0,0,0,4,1,23,19,2,13,71,27,16,3,0,1,11,12,20,45,38,95,35,30,17,25,50,116,129,52
어휘,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,2,0,0,0,0
감각적,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,2,0,0,0,2,0,0,0,0,2,0,1,0,0
실존,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,0,0,0,0,1,0,2,1,2,1,0
회사,0,0,0,5,0,0,9,27,1,26,57,19,23,5,0,21,14,16,30,30,21,107,52,75,46,54,19,98,59,75
실업,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,3,0,0,0,1,0,0,0,0,0,0,0,0,0
아파트,3,0,0,0,3,0,1,45,14,37,37,39,13,9,0,0,17,16,10,26,39,35,79,42,32,36,44,25,12,41
아르바이트,1,0,0,0,2,0,2,2,2,0,1,0,2,0,0,0,5,13,3,4,13,8,16,3,18,2,8,7,25,12
개인적,0,0,0,2,0,0,1,0,0,0,2,1,0,0,1,0,1,2,1,1,2,2,1,0,0,0,0,0,0,2
사장,0,0,0,38,0,0,2,49,15,23,13,7,29,1,7,2,12,21,8,7,21,278,29,68,51,15,48,35,78,33
사무실,0,0,0,1,0,2,2,16,7,15,11,1,10,0,1,15,4,1,14,2,17,171,19,43,7,8,8,28,24,16
대표,0,0,0,6,0,0,0,0,0,5,9,0,0,0,0,1,1,0,1,1,8,1,226,2,43,2,0,4,5,0
과장,0,0,0,7,0,0,1,27,0,4,1,10,26,5,0,5,7,5,2,0,5,60,102,2,3,20,7,44,12,6
출근,1,0,0,0,0,0,2,5,14,5,15,11,8,0,0,5,5,4,11,10,12,14,29,18,7,28,19,28,17,22
부장,0,0,0,0,0,0,3,41,0,0,2,34,0,3,0,0,11,0,1,4,9,3,38,12,43,2,0,14,14,2
홀로,0,0,0,0,0,1,1,2,1,6,2,6,4,0,0,0,2,1,0,2,6,3,11,7,12,5,15,13,7,9
